geoid,census_block_id
'530330067001001',19548
'530330069001009',12736
'530330116003013',13272
'530330116005021',13288
'530330116005023',13278
'530339901000020',51408
'530330261003007',24163
'530330261004009',51599
'530330261004027',7038
'530330262001029',12912
'530330262001065',16971
'530330262001147',1202
'530330296021019',2691
'530330296014001',10957
'530330296013008',25567
'530330296013014',25567
'530330120003019',15218
'530330115002007',9517
'530330115002009',9520
'530330120002009',1158
'530330121002005',21662
'530330120002020',15218
'530330121001023',1606
'530330121002014',9427
'530330201001006',1309
'530330121002012',693
'530330121002006',20565
'530330120001017',13099
'530330011001021',26513
'530339901000030',51371
'530330041006021',8296
'530330066002013',14094
'530330067001014',8579
'530330267001002',22133
'530330267001003',22133
'530330267003006',9990
'530330268014004',3805
'530330015002005',20225
'530330015002013',20222
'530330032006000',2543
'530330285001001',15416
'530330097024013',11324
'530330032004017',6158
'530330016002005',2953
'530330015001011',21950
'530330016002016',22242
'530330056003018',7380
'530330056004014',7373
'530330056001005',4599
'530330058014038',22995
'530330057006009',22720
'530330056005039',11076
'530330116006005',14280
'530330058021000',1550
'530330058021008',1550
'530330057005009',19914
'530330058022005',12573
'530330103001006',21502
'530330103002006',16868
'530330111014002',16919
'530330101001028',20776
'530330102001002',20778
'530330102004022',6492
'530330102003005',12551
'530330296023017',11408
'530330042005021',26323
'530330008002010',19446
'530330009001011',19443
'530330024002002',22284
'530330039001013',2441
'530330042001018',16153
'530330022004014',24061
'530330093002030',24431
'530330030001001',15391
'530330058014013',7697
'530330286003002',16008
'530330288013002',2245
'530330288024005',1824
'530330290032016',17954
'530330112002026',16350
'530330294031019',18471
'530330294033001',4281
'530330292051007',162
'530330295023002',11505
'530330298022016',25280
'530330298022004',19773
'530330296015003',10957
'530330296012005',18726
'530330101001016',20757
'530330294062030',8693
'530330268021009',3805
'530330268011010',9119
'530330275001001',18337
'530330268024009',3816
'530330293071009',15125
'530330208001001',813
'530330292063023',21132
'530330292031012',6980
'530330297003007',12848
'530330297003062',7321
'530330292031068',23165
'530330292031017',22008
'530330292031041',12864
'530330292032002',8591
'530330297003003',12852
'530330292031079',27700
'530330297003017',185
'530330297003022',27703
'530330297004010',146
'530330016002020',22236
'530330016002002',2956
'530330058013004',12606
'530330056001003',8289
'530330121001003',1860
'530330056005040',17813
'530330056002006',4865
'530330093003166',70
'530330093003165',24396
'530330288022022',1390
'530330284033016',23683
'530330288022000',51336
'530330102001043',6495
'530330102001038',18302
'530330102002013',18297
'530330103002010',16898
'530330102003009',16895
'530330102003008',22446
'530330296022010',7490
'530330040001036',1254
'530330262001070',12907
'530330058023039',24319
'530330022002003',2466
'530330042004029',13073
'530330042002002',12686
'530330042002010',22174
'530330039002012',26557
'530330022004023',24056
'530330040002003',26544
'530330054002034',9891
'530330054002032',51394
'530330295021023',20382
'530330093001029',1672
'530330292061035',3738
'530330292053007',26856
'530330294083011',9155
'530330292061112',7569
'530330292061013',6710
'530330292051015',5620
'530330282001008',334
'530330070001006',16270
'530330093001037',24385
'530330291011035',72
'530330112001029',25006
'530330044003009',26291
'530330070001015',21212
'530330292063008',161
'530330293034005',3413
'530330117004001',25488
'530330298015004',12487
'530330297004004',149
'530330058022004',14687
'530330058023054',24320
'530330297003028',27704
'530330297003019',12861
'530330297003000',12865
'530330292031055',26712
'530330052002020',19571
'530330285003006',11027
'530330213001007',24595
'530330058022012',13155
'530330297004031',15196
'530330298013013',6827
'530330110011000',16917
'530330016002012',2958
'530330016002000',2956
'530330016002008',25676
'530330056004003',5562
'530330284024041',5173
'530330283003022',51336
'530330290013002',20566
'530330206004004',18287
'530330108002010',17526
'530330289022003',22657
'530330290014010',13685
'530330290032002',17945
'530330289023001',11776
'530330073003034',3449
'530330093002017',24368
'530330044003001',26291
'530330022002014',20663
'530330022004024',2039
'530330022001016',8962
'530330109002041',11182
'530330109002004',11182
'530330109002058',9172
'530330040002005',26551
'530330039002009',18260
'530330042001011',16167
'530330042001015',16159
'530330054003026',9886
'530330057001020',24313
'530330005003015',7348
'530330283003052',5265
'530330291023014',26428
'530330283003088',1823
'530330294081008',12001
'530330054002004',19493
'530330064002009',7280
'530330298022005',17352
'530330117002013',1863
'530330292042003',9742
'530330110022020',17256
'530330110022018',17254
'530330110022032',17248
'530330116001016',26835
'530330099001015',1817
'530330276001008',9797
'530330112001012',2756
'530330261004017',7601
'530330263001017',2286
'530330119005002',23111
'530330270002008',25432
'530330274004011',7872
'530330035001016',51372
'530330016003016',16623
'530330031001012',21736
'530330031002015',20235
'530330064002005',7280
'530330063003004',7229
'530330067001013',12256
'530330043013009',490
'530330008002019',19449
'530330290013003',11016
'530330015002007',17460
'530330207003007',22098
'530330290014009',13685
'530330290014012',13675
'530330290041030',24030
'530330290041034',24035
'530330291022004',15210
'530330043013018',12030
'530330043021004',23182
'530330025002008',293
'530330038002005',26803
'530330009001013',19437
'530330268013002',25333
'530330093003111',21538
'530330104021009',18682
'530330109002063',7507
'530330040002017',5434
'530330042001006',16162
'530330042001005',5435
'530330116003000',221
'530330094002053',26377
'530330067004026',4129
'530330210005003',9400
'530330283003021',51336
'530330012004003',15512
'530330036002000',51374
'530330288023006',4710
'530330293052003',2725
'530330095003029',27785
'530330035002002',27424
'530330292031037',26724
'530330114011008',18036
'530330112002048',23711
'530330260011027',19416
'530330201003008',23619
'530330006003011',15853
'530330264001028',48
'530330093001019',24387
'530330093001014',24384
'530330262001123',51331
'530330284024001',5172
'530330278001001',15609
'530330279006004',24256
'530330279006013',10209
'530330279006016',20267
'530330279005004',27090
'530330279005008',19787
'530330275001020',8958
'530330275003017',9584
'530330279001028',10343
'530330279001010',27813
'530330279001030',10200
'530330279004012',15615
'530330274001003',25429
'530330274001004',22631
'530330274001013',9191
'530330275002013',426
'530330097022012',15661
'530330049005018',21557
'530330075004009',21680
'530330093002058',24441
'530330087001025',24071
'530330039001004',18957
'530330041002030',27260
'530330041002018',27261
'530330203002014',12193
'530330288012032',24524
'530330288012028',24524
'530330288011008',24524
'530330288011016',4717
'530330289014008',4262
'530330289012013',10998
'530330289012005',4260
'530330289011010',21765
'530330291021003',8456
'530330097022014',15661
'530330097023010',12725
'530330097023002',25687
'530330024003002',26797
'530330042005005',10115
'530330038001007',2384
'530330038001005',23855
'530330265002013',25329
'530330265002012',15229
'530330093003187',17838
'530330104021005',24096
'530330109001016',11706
'530330109001007',17618
'530330109002094',4631
'530330042001012',16169
'530330041004010',20966
'530330041004003',19862
'530330027002010',12742
'530330288021005',2246
'530330282002008',355
'530330262001140',10034
'530330297002022',15987
'530330070006011',1421
'530330086002013',51423
'530330078002007',2067
'530330206003005',11354
'530330045002018',51384
'530330291021005',533
'530330007004017',14986
'530330063004004',11593
'530330117003008',19124
'530330054004019',10688
'530330297004055',51352
'530330267002001',8568
'530330275002001',3811
'530330268022000',22178
'530330296021007',12003
'530330264001033',51596
'530330286005028',18010
'530330292031057',26709
'530330297003038',18570
'530330297001001',10298
'530330297001004',26730
'530330297001027',169
'530330294071006',17209
'530330294073013',3980
'530330294031018',18472
'530330294082006',9141
'530330294082004',9141
'530330275002017',20053
'530330280003007',9407
'530330279002007',6250
'530330092002033',20704
'530330278003005',1414
'530330078001055',27773
'530330094003018',15042
'530330287004008',25079
'530330062001019',14782
'530330091001004',25841
'530330291021007',11482
'530330284021005',21018
'530330284021006',21021
'530330284023005',14258
'530330284024058',14260
'530330284023002',20206
'530330284022010',17631
'530330283002006',21027
'530330289011011',16237
'530330290012008',11014
'530330290012004',8980
'530330098004020',25687
'530330098005012',1942
'530330098003008',1940
'530330038002013',2386
'530330043012012',26760
'530330043022005',23187
'530330114023011',18038
'530330114023002',27119
'530330093003204',17840
'530330109002029',11181
'530330109002053',11181
'530330109002008',20813
'530330109001023',11705
'530330007003006',22678
'530330042001021',16149
'530330041004013',20971
'530330066001023',51406
'530330061001009',10664
'530330048003021',23893
'530330215003016',5930
'530330093002042',24458
'530330096001001',26948
'530330283001000',21009
'530330104012028',12137
'530330265003009',4085
'530330066001031',10860
'530330290011004',16633
'530330215004007',13799
'530330298014012',13950
'530330013001003',15814
'530330057005008',4577
'530330096001003',21861
'530330102003014',16897
'530330104023019',11556
'530330293044009',13771
'530330120002005',1158
'530330106001015',395
'530330108001006',17502
'530330108001007',17501
'530330108001034',11419
'530330293073013',1837
'530330054004018',10689
'530330032006019',1970
'530330287003012',21929
'530330287001015',15583
'530330293041005',14889
'530330273002002',5202
'530330282001004',234
'530330284023017',21034
'530330284031000',23147
'530330098002006',12407
'530330098002008',12410
'530330098004006',5061
'530330098004018',5061
'530330098004015',5079
'530330098003012',27007
'530330114021000',19964
'530330114022012',27119
'530330114022008',27119
'530330266001017',22133
'530330062001054',16209
'530330213002003',19092
'530330213002005',17633
'530330213002013',8525
'530330040001031',26541
'530330117003021',3038
'530330204011015',1732
'530330204021008',6096
'530330215004013',14459
'530330204013014',2418
'530330264004011',4101
'530330112001011',13043
'530330297004056',236
'530330297003023',27699
'530330048003009',13359
'530339901000016',18057
'530339901000027',51412
'530330081002000',3443
'530330053022003',6046
'530330273003003',5157
'530330009002012',17461
'530330110022016',17244
'530330297004027',15196
'530330284021007',21020
'530330268024017',18332
'530330268023005',886
'530330093003108',21536
'530330100011011',15930
'530330078002016',2067
'530330104024019',14437
'530330117003002',267
'530330117003006',271
'530330031005009',2548
'530330031004015',15120
'530330031005010',1238
'530330031004027',15120
'530330031005025',1238
'530330031005016',25666
'530330031005022',1238
'530330288012018',18967
'530330288012021',24524
'530330264003008',26599
'530330093003094',21534
'530330272001027',23820
'530330283001007',12091
'530330298023004',17347
'530330073002007',3485
'530330105004000',5079
'530330098003001',27001
'530330098003018',51437
'530330098003029',51437
'530330113002012',16617
'530330265002017',25329
'530330113004002',11431
'530330113005014',11431
'530330113003003',16605
'530330053023011',8295
'530330002002010',18620
'530330002002009',18621
'530330001005004',7906
