geoid,census_block_id
'530330112002067',23722
'530330275001012',9793
'530330279005001',19078
'530330284023012',21038
'530330286003006',16009
'530330287001000',1417
'530330288022024',1387
'530330290042011',10580
'530330291022015',22513
'530330295033006',10303
'530330293072010',13830
'530330295033009',11385
'530330093003162',23839
'530330093001005',22746
'530330074023008',21310
'530330057001013',5414
'530330119004003',17047
'530330006003013',15854
'530330006003003',15856
'530330100011022',7742
'530330208003001',5919
'530330287002010',25132
'530330296021009',2689
'530330292061122',6979
'530330117003000',19126
'530330117001008',17323
'530330041002026',15644
'530330102001041',18296
'530330279004008',10341
'530330279003007',10341
'530330268011014',9121
'530330032007001',18265
'530330031004021',15121
'530330032006026',51381
'530330032006028',22906
'530330032004002',6171
'530330264002012',4768
'530330031003014',24007
'530330031003009',24000
'530330033005006',24003
'530330030004006',6504
'530330119004000',17060
'530330119003009',17061
'530330272002042',51327
'530330073001003',22810
'530330106005014',25192
'530330111011001',14281
'530330111012000',18511
'530330111022008',5700
'530330111022005',5695
'530330102002025',12552
'530330113001022',25302
'530330214003000',19147
'530330215001008',13811
'530330204024002',19211
'530330205003014',22510
'530330109002111',15770
'530330112002061',20998
'530330043013015',8968
'530330214002013',19191
'530330007001011',17551
'530330001003003',7908
'530330109001010',14905
'530330112002020',23723
'530330112001021',16349
'530330298011012',18606
'530330274003026',6252
'530330053023040',8295
'530330284024012',5173
'530330092002009',24366
'530330279001018',10336
'530330264005011',21469
'530330262001138',17705
'530330262001160',13988
'530330283003066',5265
'530330050003011',10521
'530330001001023',7913
'530330293035009',1614
'530330288011011',4265
'530330287004009',25079
'530330278001008',20567
'530330287004003',25079
'530330287002000',25109
'530330271002006',4785
'530330271002031',4075
'530330273003023',14713
'530330281002006',11522
'530330268012009',1747
'530330268011023',9125
'530330268021021',24534
'530330265003015',4088
'530330265003005',4091
'530330265003017',4086
'530330268023015',25071
'530330268023014',25070
'530330274003001',7872
'530330270002004',17157
'530330270003006',4105
'530330032007012',18269
'530330032005001',24104
'530330032001006',15079
'530330032002003',19930
'530330019003017',16428
'530330267004014',13352
'530330268021019',24531
'530330047004001',14489
'530330032003012',5875
'530330033005011',23995
'530330033005003',23988
'530330033003013',14484
'530330263002022',938
'530330263002039',939
'530330262001011',11803
'530330001001019',7930
'530330298023008',19070
'530330056005041',17811
'530330097013022',4823
'530330097012002',380
'530330097023008',12724
'530330096004004',26942
'530330102002018',26593
'530330111021009',5684
'530330111022009',5697
'530330111024002',5701
'530330296013006',16754
'530330211001001',17490
'530330211001017',17492
'530330204023006',22038
'530330213003016',19089
'530330214001019',19159
'530330050001029',1730
'530330268011004',25328
'530330112002042',23712
'530330112002022',23728
'530330281002003',18969
'530330272002004',3972
'530330288012008',5173
'530330283001009',21024
'530330288022042',1394
'530330290014016',17789
'530330289013019',11008
'530330290014002',11019
'530330291023032',26425
'530330297002033',15987
'530330286005011',15741
'530330293033021',11723
'530330285003004',15415
'530330295023005',409
'530330040001015',1247
'530330262001145',1204
'530330293052005',3662
'530330270002005',17153
'530330270001001',17144
'530330293072031',1834
'530330293072018',1847
'530330270003008',4104
'530330279005006',15657
'530330278003011',1415
'530330279004011',19787
'530330279004010',19787
'530330058014010',14654
'530330047004011',14512
'530330047004000',14488
'530330047004018',14595
'530330263002036',940
'530330263002028',937
'530330273001002',8199
'530330273001000',8203
'530330282001030',51331
'530330097012001',24205
'530330097011013',15655
'530330096004002',26929
'530330096005021',26920
'530330096001006',26944
'530330117003011',15073
'530330117003025',272
'530330110013007',17271
'530330205002003',21418
'530330048003008',13360
'530330048003001',13363
'530330048003012',23888
'530330048001019',25387
'530330002006002',22212
'530330002004010',22830
'530330002006014',22221
'530330050001012',22840
'530330050001026',22850
'530330112002041',23718
'530330112001031',25007
'530330112003004',23708
'530330294051007',14746
'530330294081005',9156
'530330295023006',410
'530330214001018',19159
'530330297004050',190
'530330292051012',5620
'530330292063020',8350
'530330292062000',21135
'530330294051000',4724
'530330058021006',1544
'530330117001014',11517
'530330058012010',4056
'530330062003009',11591
'530330049005011',21556
'530330293042004',13770
'530330214001017',19159
'530330095003043',8258
'530330104024001',2998
'530330036002017',15173
'530330042004008',26237
'530330081001019',16054
'530330286005019',15735
'530330286001001',21914
'530330286001003',21913
'530330286003018',21905
'530330030002013',12715
'530330030004000',6504
'530330030004008',6504
'530330030004012',23985
'530330291021017',27795
'530330291021012',27794
'530330056004009',7412
'530330057003003',25654
'530330097011004',24280
'530330097014019',7498
'530330096004022',26978
'530330096004019',26929
'530330096004011',26929
'530330096004018',26926
'530330117001004',19117
'530330111012015',5185
'530330117003024',25137
'530330117002024',25139
'530330117002020',25591
'530330048002014',22434
'530330048002000',23971
'530330048003041',13358
'530330048003038',7113
'530330002006020',22232
'530330059005000',26914
'530330069001002',51402
'530330049002024',9892
'530330060003022',14114
'530330035003023',27398
'530330050003010',24580
'530330050002007',13872
'530330112001027',25031
'530330075004011',9326
'530330093002021',26221
'530330292061054',18587
'530330262001015',88
'530330280001008',5173
'530330282002011',355
'530330280003001',9405
'530330104012003',19757
'530330201001000',14457
'530330036001039',26820
'530330202002003',15195
'530330203004003',20849
'530330203004002',20848
'530330203003005',23625
'530330203004012',12042
'530330204012009',21524
'530330204012010',21525
'530330208001006',22150
'530330208002002',23621
'530330207003001',22574
'530330036004000',27470
'530330036004003',15161
'530330207001002',3897
'530330209001012',1729
'530330210004013',21392
'530330004012007',4013
'530330290013005',11024
'530330105002005',12544
'530330105002004',12544
'530330105002000',12544
'530330047002080',10852
'530330286003021',21908
'530330060004008',10713
'530330112002027',11845
'530330057004011',2977
'530330057002005',2977
'530330057002010',2977
'530330057003004',25654
'530330057003011',25654
'530330056003030',7369
'530330284032000',16760
'530330298014009',6832
'530330298014013',14229
'530330298021012',6853
'530330264003009',14737
'530330101003013',8601
'530330117002008',268
'530330096002013',13600
'530330097021000',20283
'530330111023001',7854
'530330111013001',13754
'530330059003010',5121
'530330049001005',27364
'530330049001010',27370
'530330049004006',25662
'530330050002006',21558
'530330054004002',10521
'530330054004010',10523
'530330213003001',24606
'530330214001013',24593
'530330005002009',13009
'530330005002016',13559
'530330005002006',13006
'530330005002018',13564
'530330263001007',116
'530330006004010',15816
'530330201002008',23596
'530330201002009',23608
'530330201002023',23631
'530330201002016',23631
'530330018003008',16068
'530330208003009',17918
'530330209003002',6462
'530330202001007',26846
'530330202004002',2672
'530330295035001',15362
'530330093003125',51438
'530330056004032',7409
'530330119002001',720
'530330293033000',16330
'530330098003013',51437
'530330201003009',1312
'530330049002010',10680
'530330297004030',17609
'530330297001018',25457
'530330121002007',692
'530330058023064',24323
'530330016003015',14708
'530330285003005',16317
'530330035003000',3871
'530330286005009',15736
'530330272002002',23779
'530330271002026',5152
'530330271002030',4784
'530330271002037',4786
'530330056003033',7395
'530330103004007',9036
'530330103004011',14126
'530330098001020',12378
'530330098001015',15605
'530330098005003',25151
'530330111014008',16919
'530330102004006',16891
'530330118005001',2152
'530330060004001',2525
'530330059003015',23023
'530330059005002',12978
'530330049004009',13874
'530330049004010',10517
'530330022003007',20656
'530330024001011',1981
'530330054004023',12297
'530330060004009',10716
'530330215003024',1598
'530330213001017',8532
'530330008001004',19081
'530330008001007',19081
'530330106004018',14789
'530330105003009',24214
'530330106006006',24224
'530330105004010',24155
'530330105002011',24210
'530330106001002',18692
'530330106002007',24228
'530330106006011',24224
'530330106003004',4413
'530330106004020',20009
'530330106003019',20007
'530330106003006',14192
'530330106003002',4416
'530330111024007',14012
'530330118003003',18686
'530330041001019',27258
'530330102001017',18292
'530330102002004',12550
'530330102002030',26348
'530330111021006',5687
'530330118003007',1172
'530330118003006',23110
'530330119001018',4041
'530330260015011',24287
'530330261003010',24699
'530330261003006',19045
'530330262001020',17185
'530330262001044',10350
'530330286001006',18010
'530330278001004',20271
'530330093001041',24383
'530330262001180',15749
'530330292061002',18011
'530330053022006',6053
'530330292043009',27057
'530330293062004',25183
'530330294051002',4733
'530330047002005',14501
'530330030003015',2510
'530330272001001',51326
'530330273003009',5156
'530330273004006',23795
'530330273003021',21879
'530330281002023',51332
'530330281002000',344
'530330056005009',7431
'530330056005044',21362
'530330047004015',14508
'530330057002014',1550
'530330103004010',9036
'530330101002019',25263
'530330117001006',19114
'530330118005007',11540
'530330118005010',11542
'530330119003005',2126
'530330059005015',15651
'530330059005020',27181
'530330043012000',10114
'530330024002005',22280
'530330039001006',2444
'530330039001003',21545
'530330060003000',20682
'530330060002013',20684
'530330014004013',51616
'530330067001002',4570
'530330069004000',22999
'530330060001004',19553
'530330260012003',19382
'530330260012000',11312
'530330260014007',24288
'530330295033007',1004
'530330297005008',15366
'530330296011005',26108
'530330295021018',25423
'530330106001018',395
'530330105001015',51439
'530330105001005',5084
'530330106001017',395
'530330106001022',395
'530330106001025',13303
'530330115003001',13323
'530330116002003',26837
'530330116002007',26841
'530330116005000',215
'530330116005002',26693
'530330116003004',13328
'530330116003014',13275
'530330116002001',26843
'530330116003016',13269
'530330115003018',14155
'530330293061009',2728
'530330294071007',17208
'530330293044006',5138
'530330294051008',14745
'530330214001023',19213
'530330265003013',4107
'530330002005005',5968
'530330016003013',16623
'530330030003005',17626
'530330030003004',17627
'530330056002015',20356
'530330015001003',14811
'530330031005006',1970
'530330015002014',20223
'530330285003000',1008
'530330285002022',27645
'530330284024002',5172
'530330053021012',6046
'530330056002019',20360
'530330056002024',16499
'530330056001009',20350
'530330056001007',4602
'530330056005020',12463
'530330056005014',11073
'530330057002024',1549
'530330058021015',1548
'530330058023025',1558
'530330103005009',21502
'530330103001003',20742
'530330103001011',9051
'530330102004015',16891
'530330261001002',2147
'530330261002002',5839
'530330119002007',1171
'530330119002013',1171
'530330260015014',24716
'530330038001013',23857
'530330038001011',2387
'530330042005002',10118
'530330042005015',26319
'530330022003020',2465
'530330024001004',2461
'530330024001003',2462
'530330022004008',24065
'530330060003013',7808
'530330060002025',20688
'530330042004014',26259
'530330060002040',9021
'530330060002031',9020
'530330049002016',51395
'530330219051003',4927
'530330222012011',10470
'530330323164001',25936
'530330323175013',16461
'530330323252016',3246
'530330255003002',2415
'530330237003026',3410
'530330234012041',25180
'530330229022011',10434
'530330236012024',13629
'530330226063015',5445
'530330224001001',6524
'530330222031012',15824
'530330323263001',9296
'530330323221002',5996
'530330323221001',5997
'530330222023008',15246
'530330250035005',9490
'530330228013003',5540
'530330323192000',5951
'530330254004018',23435
'530330251023005',5841
'530330258043002',13210
'530330251022009',8472
'530330319075010',7215
'530330255001001',26571
'530330218021026',18979
'530330218042036',2857
'530330323193011',3141
'530330219061000',4938
'530330219054009',5520
'530330222024004',5766
'530330323213002',17307
'530330219052005',5520
'530330220053024',18896
'530330223002009',13565
'530330224006007',16079
'530330323271007',19359
'530330323262046',16084
'530330323262010',23588
'530330221021025',27179
'530330220013014',9277
'530330222033008',16082
'530330323203001',5950
'530330229011003',1521
'530330229011006',1519
'530330229011007',3591
'530330230002013',13539
'530330229012009',27606
'530330232023001',14041
'530330231001001',16594
'530330231002010',19292
'530330323221023',3655
'530330323262048',16086
'530330323133001',3235
'530330323283004',12773
'530330323262039',16088
'530330323162000',9270
'530330229012010',3592
'530330253021041',23406
'530330238043002',16399
'530330245001000',2087
'530330244001027',3414
'530330228031024',23950
'530330319042012',11165
'530330319062020',19128
'530330323282011',4407
'530330247023014',14907
'530330319041049',14897
'530330256013002',7803
'530330228031021',7699
'530330226051006',14376
'530330226051027',14376
'530330323192014',5473
'530330323151009',1291
'530330315021031',206
'530330312042004',5235
'530330316041013',22556
'530330322103076',18102
'530330322133000',26078
'530330322142021',23359
'530330322083039',24049
'530330321041006',15470
'530330321041026',16361
'530330322113014',18930
'530330300032010',1433
'530330304032012',16271
'530330303102000',6952
'530330309011031',871
'530330302012004',51347
'530330302013023',21375
'530330303091007',26865
'530330300032001',16292
'530330303061022',15950
'530330303124002',25799
'530330304032018',23335
'530330303042015',6007
'530330304011029',51585
'530330303042027',16276
'530330304042002',18346
'530330299023019',18961
'530330226063019',25734
'530330227023017',24109
'530330323231001',2053
'530330253021021',23416
'530330229025014',19682
'530330224001015',18888
'530330226031001',14994
'530330226064010',5736
'530330220032002',5718
'530330243002021',20257
'530330234042013',24041
'530330229021002',12295
'530330226042021',1300
'530330257022009',13187
'530330323212002',13265
'530330323112000',4457
'530330253013082',253
'530330253022000',721
'530330256013021',19009
'530330256021029',8208
'530330221012004',5945
'530330252005013',2315
'530330251014001',17406
'530330251014008',5648
'530330323191007',2009
'530330225001018',51489
'530330241002000',9898
'530330232021002',7513
'530330249023015',7661
'530330249022001',21804
'530330323133008',27325
'530330253022007',3833
'530330254004017',23438
'530330256013001',8752
'530330255002004',2412
'530330255002005',25478
'530330251012003',1888
'530330255002000',2302
'530330252005029',2315
'530330251012005',1904
'530330251022008',5309
'530330255003006',2331
'530330257021003',26754
'530330258031011',23488
'530330323071016',23338
'530330323112010',6081
'530330222032021',27448
'530330224006020',4561
'530330224006014',18895
'530330241002005',2892
'530330323282009',4408
'530330229022010',14767
'530330219052006',23026
'530330220051005',15525
'530330244002001',3855
'530330249034016',13779
'530330218022013',2422
'530330246023014',17133
'530330323111005',2030
'530330250063008',25219
'530330222021014',17875
'530330323073031',855
'530330249031019',12556
'530330236013017',51628
'530330323171010',11238
'530330250011015',12267
'530330246022022',13496
'530330218031004',3275
'530330260023014',9378
'530330234031032',51627
'530330315012094',6943
'530330313022039',1084
'530330313023003',986
'530330313012011',6879
'530330315021241',6876
'530330312052018',16946
'530330312043013',15341
'530330322103072',18099
'530330322112007',5386
'530330322112003',5865
'530330322111000',5384
'530330322032000',2596
'530330322084006',1651
'530330322072001',2359
'530330322101066',51631
'530330295021004',5491
'530330292061052',16675
'530330210005004',11356
'530330298013003',12070
'530330298014002',18610
'530330298024002',1788
'530330298025004',25710
'530330290035007',22951
'530330299021000',1103
'530330306001002',9104
'530330306003024',320
'530330307001013',9713
'530330307001018',10259
'530330311003012',11052
'530330300031012',15352
'530330303132018',51278
'530330299011002',19130
'530330303131007',8655
'530330310002006',19650
'530330303063005',26163
'530330299023025',21649
'530330303091002',9696
'530330299013003',1783
'530330303142008',25623
'530330303141017',26899
'530330305032011',27148
'530330226062004',5634
'530330220033000',300
'530330323174004',6558
'530330323211004',9604
'530330253023024',24760
'530330323271039',11633
'530330256023008',24649
'530330249021028',8270
'530330226052017',1991
'530330227021008',4403
'530330220011013',22112
'530330228031012',7714
'530330250061019',13506
'530330323131010',8370
'530330323262037',15535
'530330223001019',19366
'530330219061014',8327
'530330219041025',14381
'530330323213025',14373
'530330323161003',11318
'530330239001011',21314
'530330239001017',21470
'530330323163021',17869
'530330323172011',9528
'530330319031017',23492
'530330256021024',24643
'530330248002053',14152
'530330250061016',9504
'530330252005016',2309
'530330238041000',8372
'530330250032013',19657
'530330230004019',25762
'530330231001010',19295
'530330230001011',25767
'530330323181000',12582
'530330319062012',3131
'530330241004002',27055
'530330241002014',8934
'530330242001007',13532
'530330240004038',18623
'530330241004011',8929
'530330241004016',26515
'530330240004018',20155
'530330224003007',6600
'530330224006018',4564
'530330236033007',27102
'530330236044007',51470
'530330236044008',24712
'530330236043000',1949
'530330236042018',1956
'530330248002002',51460
'530330323175008',23963
'530330240001011',51480
'530330235003014',51465
'530330234012023',51466
'530330234042019',51473
'530330234031009',51627
'530330235003022',51465
'530330323153034',5752
'530330319091001',7487
'530330323212010',13265
'530330252003003',2306
'530330247013004',21807
'530330224002000',16836
'530330242002014',12576
'530330323271034',14066
'530330323074021',6079
'530330236033003',17442
'530330224002024',6606
'530330312024025',4659
'530330312025037',4195
'530330315021025',14879
'530330314004011',4628
'530330314003018',12436
'530330315011008',12887
'530330312043022',8664
'530330315021098',621
'530330315021234',596
'530330316032007',15998
'530330312024001',17333
'530330314001046',25420
'530330315021187',1092
'530330316031031',1125
'530330322121003',18943
'530330321023011',16373
'530330321022082',675
'530330322131016',3356
'530330322131012',25584
'530330321033021',16787
'530330322083057',11575
'530330321022039',8228
'530330057001003',51396
'530330110013013',26075
'530330118002009',23077
'530330276003014',7027
'530330288021009',1369
'530330292053001',22894
'530330292063009',7572
'530330292044003',6997
'530330297004024',15196
'530330296022002',9986
'530330012004011',15520
'530330110022027',17257
'530330040001004',1254
'530330042003000',5440
'530330110021021',51447
'530330104023015',18994
'530330107021005',23681
'530330058014044',14629
'530330304013047',11862
'530330300062004',4676
'530330308011009',6920
'530330304043011',18353
'530330305011117',13
'530330311002010',15337
'530330300033010',5722
'530330301002005',3074
'530330302022018',4219
'530330303103021',3511
'530330303041033',11857
'530330303041018',11852
'530330308011035',5123
'530330305011103',51590
'530330305044006',21
'530330311003022',13825
'530330306001000',9109
'530330299023000',1101
'530330323092020',1263
'530330230002012',16599
'530330323134005',3884
'530330323071009',3307
'530330323271070',26037
'530330226031009',16831
'530330236012012',26763
'530330226052016',1991
'530330323194006',5464
'530330323132029',3881
'530330232011008',10568
'530330256021021',3012
'530330218021015',17282
'530330256023007',21488
'530330250033007',10402
'530330250034012',9490
'530330243002011',19374
'530330227023011',9257
'530330239003049',12653
'530330243001008',739
'530330234013013',51467
'530330234041007',9860
'530330234041020',51627
'530330253012025',16975
'530330257021016',11526
'530330218022027',51526
'530330250061011',3673
'530330253011005',16986
'530330257015000',51356
'530330234012007',3406
'530330233003013',1218
'530330248002009',11936
'530330248002017',11946
'530330256022005',20581
'530330249012007',24934
'530330253013010',4305
'530330253021015',23407
'530330253013063',23402
'530330253013001',4619
'530330252002008',16520
'530330253013033',4620
'530330253013039',7327
'530330252002016',310
'530330253013027',7340
'530330254004002',15969
'530330254004010',23428
'530330256013024',21428
'530330254001024',8750
'530330253022016',244
'530330250051004',8504
'530330224005001',3230
'530330249014004',8804
'530330323072024',9462
'530330319041034',11163
'530330258051003',15428
'530330239003008',3854
'530330323152002',11245
'530330323151019',4411
'530330323253014',783
'530330227031021',9250
'530330227031020',9250
'530330234031027',9861
'530330323271014',19356
