county_id,tract,block_group,TOTPOP14,HHPOP14,GQPOP14,HHS14,HU14,TOTPOP15,HHPOP15,GQPOP15,HHS15,HU15
33,100,1,1264.293,1264.293,0,534.6027824,566.314,1291.898,1291.898,0,543.7016535,571.451
33,100,2,1520.802,1508.802,12,765.2482843,834.478,1547.245,1535.257,11.988,774.0531909,834.95
33,100,3,1489.459,1483.459,6,783.5054981,834.98,1516.51,1510.516,5.994,792.7755379,836.804
33,100,4,1754.566,1754.566,0,944.8529395,1014.097,1814.28,1814.28,0,955.6092078,1014.205
33,100,5,954.531,925.531,29,576.5091315,637.992,973.712,944.741,28.971,584.3672343,639.426
33,200,1,1100.039,1085.039,15,435.7470532,456.091,1113.514,1098.529,14.985,439.1470013,456.047
33,200,2,1378.342,1375.342,3,560.4079826,589.996,1396.547,1393.55,2.997,565.1777194,589.996
33,200,3,1651.702,1644.702,7,867.9884051,905.734,1668.897,1661.904,6.993,872.3287651,903.884
33,200,4,1067.119,1063.119,4,549.1315209,577.611,1089.359,1085.363,3.996,559.0033135,584.888
33,200,5,1345.929,1331.929,14,680.2107172,701.353,1352.402,1338.416,13.986,679.1566614,698.264
33,200,6,1332.556,1306.556,26,536.0988328,557.65,1346.004,1320.03,25.974,538.9964808,557.741
33,300,1,1283.077,1278.077,5,499.6391685,513.029,1335.982,1330.987,4.995,517.7617291,530.252
33,300,2,1367.107,1363.107,4,612.5197938,657.689,1383.024,1379.028,3.996,616.3689205,657.444
33,401,1,3021.781,3014.781,7,1692.864478,2032.584,3094.99,3087.997,6.993,1713.837586,2032.714
33,401,2,1464.509,1376.509,88,676.1350345,719.381,1564.4,1476.489,87.911,735.74839,775.553
33,401,3,1286.288,1253.288,33,913.2357029,1063.631,1312.601,1279.635,32.966,924.2709783,1063.995
33,402,1,1231.606,1056.606,175,535.9386758,569.619,1246.704,1071.882,174.822,540.4351423,570.183
33,402,2,948.871,935.871,13,414.2428447,432.361,959.445,946.458,12.987,416.8112514,432.47
33,402,3,1212.469,1212.469,0,587.7559243,614.955,1227.408,1227.408,0,591.8541385,614.629
33,402,4,1502.369,1421.369,81,813.4134408,842.999,1523.16,1442.242,80.918,820.4576131,842.964
33,500,1,1251.974,1236.974,15,509.1188529,522.834,1263.461,1248.476,14.985,511.3505013,522.646
33,500,2,879.339,871.339,8,362.5216745,371.221,890.908,882.916,7.992,365.4067675,372.587
33,500,3,1064.888,1064.888,0,432.890374,454.999,1082.261,1082.261,0,437.780899,455.95
33,600,1,1421.475,1417.475,4,545.7295932,556.546,1423.069,1419.073,3.996,544.7017944,555.707
33,600,2,1194.723,1181.723,13,612.1839735,636.844,1170.846,1157.859,12.987,591.6801226,624.448
33,600,3,1439.525,1434.525,5,651.6446861,673.06,1440.873,1435.878,4.995,649.0346242,669.244
33,600,4,1562.414,1562.414,0,711.1559298,728.37,1583.842,1583.842,0,716.8730191,729.072
33,600,5,823.743,807.743,16,302.7792807,314.819,837.349,821.365,15.984,306.5817604,316.132
