county,juris,industry,emp_all
53,Steilacoom,11,106
53,Sumner,11,787
53,Tacoma,11,9216
53,Unincorporated,11,5579
53,University Place,11,770
53,Wilkeson,11,0
61,Arlington,11,763
61,Bothell,11,498
61,Brier,11,30
61,Darrington,11,-99
61,Edmonds,11,1638
61,Everett,11,4629
61,Gold Bar,11,7
61,Granite Falls,11,90
61,Index,11,-99
61,Lake Stevens,11,641
61,Lynnwood,11,2613
61,Marysville,11,1065
61,Mill Creek,11,882
61,Monroe,11,648
61,Mountlake Terrace,11,554
61,Mukilteo,11,570
61,Snohomish,11,451
61,Stanwood,11,243
61,Sultan,11,169
61,Unincorporated,11,4832
61,Woodway,11,35
99,Region,11,166271
33,Algona,12,21
33,Auburn,12,3237
33,Beaux Arts,12,2
33,Bellevue,12,3470
33,Black Diamond,12,62
33,Bothell,12,468
33,Burien,12,567
33,Carnation,12,53
33,Clyde Hill,12,37
33,Covington,12,223
33,Des Moines,12,434
33,Duvall,12,100
33,Enumclaw,12,287
33,Federal Way,12,1774
33,Hunts Point,12,3
33,Issaquah,12,833
33,Kenmore,12,144
33,Kent,12,3318
33,Kirkland,12,6068
33,Lake Forest Park,12,90
33,Maple Valley,12,238
33,Medina,12,29
33,Mercer Island,12,275
33,Newcastle,12,70
33,Normandy Park,12,30
33,North Bend,12,123
33,Pacific,12,74
33,Redmond,12,983
33,Renton,12,7143
33,Sammamish,12,324
33,SeaTac,12,4609
33,Seattle,12,49374
33,Shoreline,12,2405
33,Skykomish,12,13
33,Snoqualmie,12,643
33,Tukwila,12,2903
33,Unincorporated,12,4069
33,Woodinville,12,163
33,Yarrow Point,12,4
35,Bainbridge Island,12,863
35,Bremerton,12,15794
35,Port Orchard,12,1059
35,Poulsbo,12,607
35,Unincorporated,12,8429
53,Auburn,12,22
53,Bonney Lake,12,210
53,Buckley,12,741
53,Carbonado,12,6
53,DuPont,12,89
53,Eatonville,12,86
53,Edgewood,12,67
53,Fife,12,858
53,Fircrest,12,52
53,Gig Harbor,12,268
53,Lakewood,12,4423
53,Milton,12,63
53,Orting,12,256
53,Puyallup,12,547
53,Roy,12,26
53,Ruston,12,20
53,South Prairie,12,10
53,Steilacoom,12,115
53,Sumner,12,238
53,Tacoma,12,13213
53,Unincorporated,12,12679
53,University Place,12,531
53,Wilkeson,12,7
61,Arlington,12,842
61,Bothell,12,276
61,Brier,12,43
61,Darrington,12,49
61,Edmonds,12,407
61,Everett,12,7370
61,Gold Bar,12,16
61,Granite Falls,12,71
61,Index,12,8
61,Lake Stevens,12,251
61,Lynnwood,12,990
61,Marysville,12,781
61,Mill Creek,12,242
61,Monroe,12,1885
61,Mountlake Terrace,12,272
61,Mukilteo,12,182
61,Snohomish,12,387
61,Stanwood,12,266
61,Sultan,12,52
61,Unincorporated,12,6811
61,Woodway,12,13
99,Region,12,177154
33,Auburn,13,3347
33,Bellevue,13,4481
33,Black Diamond,13,62
33,Bothell,13,1996
33,Burien,13,1018
33,Carnation,13,175
33,Clyde Hill,13,174
33,Covington,13,735
33,Des Moines,13,1598
33,Duvall,13,246
33,Enumclaw,13,632
33,Federal Way,13,2199
33,Issaquah,13,922
33,Kenmore,13,566
33,Kent,13,2855
33,Kirkland,13,2323
33,Lake Forest Park,13,144
33,Maple Valley,13,829
33,Medina,13,62
33,Mercer Island,13,680
33,Newcastle,13,275
33,Normandy Park,13,73
33,North Bend,13,187
33,Pacific,13,94
33,Redmond,13,1378
33,Renton,13,2900
33,Sammamish,13,1700
33,SeaTac,13,749
33,Seattle,13,40163
33,Shoreline,13,2094
33,Skykomish,13,27
33,Snoqualmie,13,716
33,Tukwila,13,509
33,Unincorporated,13,5685
33,Woodinville,13,372
35,Bainbridge Island,13,643
35,Bremerton,13,1710
35,Port Orchard,13,549
35,Poulsbo,13,469
35,Unincorporated,13,3475
53,Auburn,13,74
53,Bonney Lake,13,619
53,Buckley,13,282
53,Carbonado,13,34
53,DuPont,13,160
53,Eatonville,13,264
53,Edgewood,13,251
53,Fife,13,415
53,Fircrest,13,95
53,Gig Harbor,13,532
53,Lakewood,13,2674
53,Milton,13,145
53,Orting,13,424
53,Puyallup,13,1962
53,Roy,13,49
53,Steilacoom,13,274
53,Sumner,13,589
53,Tacoma,13,6185
53,Unincorporated,13,8812
53,University Place,13,840
53,Wilkeson,13,51
61,Arlington,13,802
61,Bothell,13,966
61,Brier,13,141
61,Darrington,13,94
61,Edmonds,13,901
61,Everett,13,3169
61,Gold Bar,13,59
61,Granite Falls,13,350
61,Index,13,12
61,Lake Stevens,13,1376
61,Lynnwood,13,1944
61,Marysville,13,1326
61,Mill Creek,13,403
61,Monroe,13,534
61,Mountlake Terrace,13,473
61,Mukilteo,13,759
61,Snohomish,13,475
61,Stanwood,13,758
61,Sultan,13,237
61,Unincorporated,13,4611
99,Region,13,132933
33,Algona,2,105
33,Auburn,2,5220
33,Bellevue,2,7433
33,Black Diamond,2,118
33,Bothell,2,1385
33,Burien,2,1221
33,Carnation,2,52
33,Clyde Hill,2,-99
33,Covington,2,664
33,Des Moines,2,537
33,Duvall,2,143
33,Enumclaw,2,607
33,Federal Way,2,2148
33,Issaquah,2,659
33,Kenmore,2,532
33,Kent,2,8054
33,Kirkland,2,3691
33,Lake Forest Park,2,218
33,Maple Valley,2,673
33,Medina,2,18
33,Mercer Island,2,536
33,Milton,2,8
33,Newcastle,2,82
33,Normandy Park,2,63
33,North Bend,2,407
33,Pacific,2,516
33,Redmond,2,3097
33,Renton,2,4032
33,Sammamish,2,398
33,SeaTac,2,2051
33,Seattle,2,26070
33,Shoreline,2,971
33,Skykomish,2,0
33,Snoqualmie,2,371
33,Tukwila,2,3012
33,Unincorporated,2,6424
33,Woodinville,2,2015
33,Yarrow Point,2,-99
35,Bainbridge Island,2,561
35,Bremerton,2,583
35,Port Orchard,2,368
35,Poulsbo,2,238
35,Unincorporated,2,3655
53,Auburn,2,147
53,Bonney Lake,2,326
53,Buckley,2,328
53,Carbonado,2,-99
53,DuPont,2,-99
53,Eatonville,2,15
53,Edgewood,2,634
53,Fife,2,1789
53,Fircrest,2,90
53,Gig Harbor,2,509
53,Lakewood,2,1741
53,Milton,2,474
53,Orting,2,107
53,Pacific,2,748
53,Puyallup,2,2272
53,Roy,2,20
53,Ruston,2,-99
53,South Prairie,2,21
53,Steilacoom,2,52
53,Sumner,2,2658
53,Tacoma,2,4635
53,Unincorporated,2,9611
53,University Place,2,403
61,Arlington,2,1543
61,Bothell,2,530
61,Brier,2,87
61,Darrington,2,-99
61,Edmonds,2,825
61,Everett,2,4057
61,Gold Bar,2,-99
61,Granite Falls,2,69
61,Index,2,0
61,Lake Stevens,2,1099
61,Lynnwood,2,1677
61,Marysville,2,1816
61,Mill Creek,2,533
61,Monroe,2,1042
61,Mountlake Terrace,2,714
61,Mukilteo,2,1677
61,Snohomish,2,619
61,Stanwood,2,73
61,Sultan,2,77
61,Unincorporated,2,11334
61,Woodway,2,12
99,Region,2,143404
33,Algona,3,1089
33,Auburn,3,7563
33,Bellevue,3,3116
33,Black Diamond,3,17
33,Bothell,3,1243
33,Burien,3,143
33,Carnation,3,-99
33,Clyde Hill,3,-99
33,Covington,3,63
33,Des Moines,3,122
33,Duvall,3,69
33,Enumclaw,3,252
33,Federal Way,3,399
33,Issaquah,3,719
33,Kenmore,3,100
33,Kent,3,16372
33,Kirkland,3,1871
33,Lake Forest Park,3,7
33,Maple Valley,3,68
33,Medina,3,7
33,Mercer Island,3,79
33,Newcastle,3,72
33,Normandy Park,3,6
33,North Bend,3,320
33,Pacific,3,-99
33,Redmond,3,6557
33,Renton,3,16047
33,Sammamish,3,85
33,SeaTac,3,534
33,Seattle,3,24286
33,Shoreline,3,136
33,Snoqualmie,3,534
33,Tukwila,3,6531
33,Unincorporated,3,2372
33,Woodinville,3,2475
35,Bainbridge Island,3,482
35,Bremerton,3,1078
35,Port Orchard,3,104
35,Poulsbo,3,94
35,Unincorporated,3,1024
53,Auburn,3,-99
53,Bonney Lake,3,47
53,Buckley,3,-99
53,DuPont,3,77
53,Edgewood,3,-99
53,Fife,3,1348
53,Fircrest,3,0
53,Gig Harbor,3,296
53,Lakewood,3,928
53,Milton,3,-99
53,Orting,3,-99
53,Pacific,3,72
53,Puyallup,3,1000
53,South Prairie,3,-99
53,Steilacoom,3,-99
53,Sumner,3,2762
53,Tacoma,3,5204
53,Unincorporated,3,5096
53,University Place,3,68
61,Arlington,3,2485
61,Bothell,3,3226
61,Brier,3,0
61,Darrington,3,217
61,Edmonds,3,125
61,Everett,3,-99
61,Gold Bar,3,-99
61,Granite Falls,3,81
61,Lake Stevens,3,38
61,Lynnwood,3,571
61,Marysville,3,1271
61,Mill Creek,3,65
61,Monroe,3,1550
61,Mountlake Terrace,3,150
61,Mukilteo,3,2655
61,Snohomish,3,233
61,Stanwood,3,161
61,Sultan,3,282
61,Unincorporated,3,8961
99,Region,3,166333
33,Algona,4,468
33,Auburn,4,8347
33,Bellevue,4,10035
