census_block_group_id,faz_id
1051,3600
997,3600
1122,3505
1222,3130
1223,3130
1229,3130
1224,3130
1230,3130
1227,3130
1011,3706
1013,3706
913,4130
917,4005
929,3825
452,5916
451,5916
477,5815
478,5815
482,5916
394,5825
1040,3600
1042,3600
1225,3130
373,6113
355,6010
924,3900
957,3905
926,3900
923,4110
516,5915
927,3905
403,5925
426,5925
918,4005
928,3905
1226,3130
1048,3600
1280,3200
1118,3505
1119,3505
893,4110
865,4130
866,4130
891,4110
868,4130
894,4110
517,5915
383,6114
380,6114
372,6113
385,6114
89,6226
414,5720
1141,3030
726,5020
634,5515
284,6124
1479,5425
1477,5425
1476,5425
1317,3427
774,4900
1292,6900
859,4120
493,5815
1231,3130
1233,3130
668,5306
1487,5425
1478,5425
1261,3200
1030,3046
454,5916
801,4400
802,4400
510,5715
533,5715
531,5715
960,3705
959,3705
992,3905
990,3705
994,3905
991,3705
993,3905
532,5715
850,4210
1367,3320
460,5720
1158,3045
277,6123
269,6123
270,6123
1059,3415
1363,3320
404,5720
407,5720
418,5720
425,5826
410,5720
413,5720
1128,3505
740,4506
464,5720
462,5720
463,5720
166,6215
677,5305
1239,3120
192,6213
1106,3426
1384,4300
636,5306
409,5720
411,5720
483,5916
480,5916
915,4130
967,3815
389,6010
902,4110
905,4110
901,4110
872,4120
98,6224
961,3705
1413,4605
336,6114
214,6213
839,4225
1401,4607
1400,4607
1422,4607
1421,4607
1516,6606
837,4225
1034,3046
1288,3200
554,6420
884,4210
886,4210
1218,3030
1219,3030
1196,3010
1080,3414
1078,3414
158,6215
1385,4300
1184,3010
1183,3010
55,6325
551,6420
1202,3010
1200,3010
1043,3600
1063,3415
963,3825
1508,6605
596,5535
595,5535
591,5535
600,5535
599,5535
598,5535
1201,3010
1294,6900
1885,706
1870,2910
673,5305
1264,3200
1291,6900
1262,3200
1293,6900
408,5720
1392,4605
978,6930
1297,3310
1268,3425
1299,3310
1290,6900
1541,6910
974,6930
1334,3413
1329,3413
1355,3330
1353,3330
1357,3330
124,6316
936,3816
937,3816
535,5715
941,3816
529,5915
841,4225
1381,3330
1538,6506
1530,6506
1524,6505
1543,6910
1544,6910
185,6316
184,6316
797,4400
798,4400
732,5020
724,5020
741,4506
1399,4607
1396,4607
1520,6505
1542,6910
348,6020
103,6325
105,6325
104,6325
107,6325
1482,5425
1481,5425
1484,5425
1500,5425
1443,5426
1444,5426
1486,5425
1485,5425
1480,5425
1514,6605
1446,5426
1515,6606
539,6410
541,6410
569,6410
542,6410
540,6410
567,6410
566,6410
597,5535
593,5535
