record_id,county_id,"county_building_use_code","county_building_use_description",generic_building_use_1,building_type_id,"building_type_name",record_count
1,33,"102","Barn, General Purpose (102)",8,1," agriculture",1
2,33,"113","Loafing Shed (113)",8,1," agriculture",6
3,33,"305","BARN (305)",8,1," agriculture",35
4,33,"315","CREAMERY (315)",8,1," agriculture",4
5,33,"316","DAIRY (316)",8,1," agriculture",14
6,33,"378","STABLE (378)",8,1," agriculture",34
7,33,"477","FARM UTILITY BUILDING (477)",8,1," agriculture",41
8,33,"479","Farm Utility Storage Shed (479)",8,1," agriculture",2
9,35,"Barn","COMMERCIAL",8,1," agriculture",8
10,35,"Barn, Hog","COMMERCIAL",8,1," agriculture",1
11,35,"Barn, Sheep","COMMERCIAL",8,1," agriculture",1
12,35,"Cold Storage, Farm","COMMERCIAL",8,1," agriculture",2
13,35,"Farm Implement Building","COMMERCIAL",8,1," agriculture",1
14,35,"Farm Sun Shade Shelter","COMMERCIAL",8,1," agriculture",1
15,35,"Farm Utility Storage Shed","COMMERCIAL",8,1," agriculture",1
16,35,"Milkhouse","COMMERCIAL",8,1," agriculture",1
17,53,"316","Dairy Milking Parlor",8,1," agriculture",5
18,53,"378","Stable",8,1," agriculture",440
19,53,"397","Barn",8,1," agriculture",1660
20,53,"398","Shed - Hay",8,1," agriculture",2
21,53,"399","Shed - Sheep",8,1," agriculture",1
22,53,"400","Shed - Poultry",8,1," agriculture",19
23,53,"401","Shed - Equipment",8,1," agriculture",5
24,53,"402","Shed - Cattle",8,1," agriculture",1
25,53,"428","Horse Arena",8,1," agriculture",169
26,53,"430","Farm Utility Building",8,1," agriculture",8
27,53,"478","Farm Utility Loafing Shed",8,1," agriculture",9
28,53,"479","Farm Utility Storage - Loafing",8,1," agriculture",1
29,53,"959","Agricultural",8,1," agriculture",262
30,53,"1101","Barns (Two-Story) - Special Purpose",8,1," agriculture",1
31,53,"1440","Milkhouse",8,1," agriculture",2
32,33,"173","Church Educational Wing (173)",7,2," civic",42
33,33,"301","ARMORY (301)",7,2," civic",3
34,33,"302","AUDITORIUM (302)",7,2," civic",103
35,33,"308","CHURCH WITH SUNDAY SCHOOL (308)",7,2," civic",153
36,33,"309","CHURCH (309)",7,2," civic",1106
37,33,"473","Material Shelter (473)",7,2," civic",18
38,33,"481","MUSEUM (481)",7,2," civic",44
39,33,"482","CONVENTION CENTER (482)",7,2," civic",11
40,33,"514","Community Center (514)",7,2," civic",36
41,33,"537","Lodge (537)",7,2," civic",2
42,33,"574","VISITOR CENTER (574)",7,2," civic",12
43,33,"985","Senior Center (985)",7,2," civic",4
44,35,"Armory","COMMERCIAL",7,2," civic",2
45,35,"Auditorium","COMMERCIAL",7,2," civic",3
46,35,"Church","COMMERCIAL",7,2," civic",179
47,35,"Church w/ Sunday School","COMMERCIAL",7,2," civic",16
48,35,"Community Center","COMMERCIAL",7,2," civic",21
49,35,"Convention Center","COMMERCIAL",7,2," civic",3
50,35,"Fellowship Hall","COMMERCIAL",7,2," civic",4
51,35,"Field Houses","COMMERCIAL",7,2," civic",3
52,35,"Fraternal Building","COMMERCIAL",7,2," civic",7
53,35,"Library or Museum","COMMERCIAL",7,2," civic",10
54,35,"Lodge","COMMERCIAL",7,2," civic",15
55,35,"Museum","COMMERCIAL",7,2," civic",3
56,35,"Rectory","COMMERCIAL",7,2," civic",3
57,35,"Visitor Center","COMMERCIAL",7,2," civic",1
58,53,"309","Church",7,2," civic",18
59,53,"323","Fraternal Building",7,2," civic",3
60,53,"348","Rectory",7,2," civic",2
61,53,"514","Community Recreation Center",7,2," civic",4
62,53,"516","Fellowship Halls",7,2," civic",1
63,53,"954","Religious Service",7,2," civic",641
64,61,"CHURCH","Church",7,2," civic",429
65,61,"FLWSHP","Fellowship Hall",7,2," civic",8
66,61,"FRATRNL","Fraternal Building",7,2," civic",1
67,61,"MUSEUM","Museum",7,2," civic",3
68,61,"SCCLUB","Senior Clubhouse Center",7,2," civic",1
69,61,"SUNDSCHL","Church w/ Sunday School",7,2," civic",3
70,61,"VISITOR","Visitor Center",7,2," civic",2
71,33,"135","Greenhouse, Hoop, Arch-Rib, Small (135)",4,3," commercial",3
72,33,"141","Greenhouse, Hoop, Arch-Rib, Medium (141)",4,3," commercial",11
73,33,"303","AUTOMOBILE SHOWROOM (303)",4,3," commercial",57
74,33,"304","BANK (304)",4,3," commercial",330
75,33,"318","DEPARTMENT STORE (318)",4,3," commercial",22
76,33,"319","DISCOUNT STORE (319)",4,3," commercial",202
77,33,"320","DISPENSARY (320)",4,3," commercial",3
78,33,"332","HOTEL, LIMITED (332)",4,3," commercial",85
79,33,"336","LAUNDROMAT (336)",4,3," commercial",43
80,33,"340","MARKET (340)",4,3," commercial",83
81,33,"342","MORTUARY (342)",4,3," commercial",44
82,33,"343","MOTEL, LIMITED (343)",4,3," commercial",142
83,33,"349","FAST FOOD RESTAURANT (349)",4,3," commercial",439
84,33,"350","RESTAURANT, TABLE SERVICE (350)",4,3," commercial",1097
85,33,"353","RETAIL STORE (353)",4,3," commercial",2799
86,33,"384","BARBER SHOP (384)",4,3," commercial",70
87,33,"408","Service Station (408)",4,3," commercial",5
88,33,"410","AUTOMOTIVE CENTER (410)",4,3," commercial",65
89,33,"412","NEIGHBORHOOD SHOPPING CENTER (412)",4,3," commercial",12
90,33,"413","COMMUNITY SHOPPING CENTER (413)",4,3," commercial",10
91,33,"414","REGIONAL SHOPPING CENTER (414)",4,3," commercial",9
92,33,"419","CONVENIENCE MARKET (419)",4,3," commercial",215
93,33,"423","MINI-LUBE GARAGE (423)",4,3," commercial",49
94,33,"434","Car Wash - Self Serve (434)",4,3," commercial",34
95,33,"435","Car Wash - Drive Thru (435)",4,3," commercial",37
96,33,"436","Car Wash - Automatic (436)",4,3," commercial",26
97,33,"441","COCKTAIL LOUNGE (441)",4,3," commercial",8
98,33,"442","BAR/TAVERN (442)",4,3," commercial",112
99,33,"446","SUPERMARKET (446)",4,3," commercial",138
100,33,"455","AUTO DEALERSHIP, COMPLETE (455)",4,3," commercial",96
101,33,"458","WAREHOUSE DISCOUNT STORE (458)",4,3," commercial",71
102,33,"490","KENNELS (490)",4,3," commercial",13
103,33,"499","Dry Cleaners-Laundry (499)",4,3," commercial",10
104,33,"508","Car Wash - Canopy (508)",4,3," commercial",3
105,33,"511","Drug Store (511)",4,3," commercial",18
106,33,"513","Regional Discount Shopping Center (513)",4,3," commercial",2
107,33,"515","Casino (515)",4,3," commercial",10
108,33,"528","GARAGE, SERVICE REPAIR (528)",4,3," commercial",1433
109,33,"529","SNACK BAR (529)",4,3," commercial",75
110,33,"530","CAFETERIA (530)",4,3," commercial",29
111,33,"531","MINI-MART CONVENIENCE STORE (531)",4,3," commercial",310
112,33,"532","FLORIST SHOP (532)",4,3," commercial",1
113,33,"533","WAREHOUSE FOOD STORE (533)",4,3," commercial",7
114,33,"534","WAREHOUSE SHOWROOM STORE (534)",4,3," commercial",64
115,33,"578","Mini-Bank (578)",4,3," commercial",1
116,33,"594","Hotel, Full Service (594)",4,3," commercial",15
117,33,"595","Hotel, Limited Service (595)",4,3," commercial",26
118,33,"841","HOTEL, FULL SERVICE (841)",4,3," commercial",104
119,33,"842","HOTEL, SUITE (842)",4,3," commercial",87
120,33,"843","MOTEL, FULL SERVICE (843)",4,3," commercial",5
121,33,"844","MOTEL, SUITE (844)",4,3," commercial",43
122,33,"846","CONDO, RETAIL (846)",4,3," commercial",108
123,33,"853","CONDO HOTEL, LIMITED SERVICE (853)",4,3," commercial",3
124,33,"860","LINE RETAIL (860)",4,3," commercial",788
125,35," ","COMMERCIAL",4,3," commercial",3505
126,35,"Auto Service","COMMERCIAL",4,3," commercial",61
127,35,"Auto Showroom","COMMERCIAL",4,3," commercial",19
128,35,"Bank","COMMERCIAL",4,3," commercial",61
129,35,"Bed & Breakfast Inn","COMMERCIAL",4,3," commercial",1
130,35,"Bookstore - Schools","COMMERCIAL",4,3," commercial",1
131,35,"Bowling Alley","COMMERCIAL",4,3," commercial",3
132,35,"Car Wash Auto","COMMERCIAL",4,3," commercial",5
133,35,"Car Wash Canopy","COMMERCIAL",4,3," commercial",2
134,35,"Car Wash, Drive-Thru","COMMERCIAL",4,3," commercial",5
135,35,"Car Wash, Self-Serve","COMMERCIAL",4,3," commercial",7
136,35,"Casino","COMMERCIAL",4,3," commercial",1
137,35,"Commercial Garage","COMMERCIAL",4,3," commercial",4
138,35,"Community Shopping Center","COMMERCIAL",4,3," commercial",16
139,35,"Complete Auto Dealership","COMMERCIAL",4,3," commercial",13
140,35,"Convenience Market","COMMERCIAL",4,3," commercial",90
141,35,"Department Store","COMMERCIAL",4,3," commercial",4
142,35,"Dining/Lounge","COMMERCIAL",4,3," commercial",1
143,35,"Discount","COMMERCIAL",4,3," commercial",26
144,35,"Drugstore","COMMERCIAL",4,3," commercial",9
145,35,"Fast Food Restaurant","COMMERCIAL",4,3," commercial",40
146,35,"Fast Food Restaurant MSBB","COMMERCIAL",4,3," commercial",9
147,35,"Fitness Center","COMMERCIAL",4,3," commercial",8
148,35,"General Commercial","COMMERCIAL",4,3," commercial",42
149,35,"General Retail","COMMERCIAL",4,3," commercial",448
150,35,"Greenhouse Shade Shelter","COMMERCIAL",4,3," commercial",10
151,35,"Hotel, Limited Service","COMMERCIAL",4,3," commercial",1
152,35,"Hotel/Motel Service","COMMERCIAL",4,3," commercial",3
153,35,"Hotel/Motel Unit","COMMERCIAL",4,3," commercial",25
154,35,"Kennel Animal Care","COMMERCIAL",4,3," commercial",5
155,35,"Laundromat","COMMERCIAL",4,3," commercial",11
156,35,"Lumber Storage Bldg, Vertical","COMMERCIAL",4,3," commercial",3
157,35,"Lumber Storage Shed, Horiz.","COMMERCIAL",4,3," commercial",3
158,35,"Market","COMMERCIAL",4,3," commercial",3
159,35,"Mini-Lube Garage","COMMERCIAL",4,3," commercial",6
160,35,"Mini-Mart Convenience Store","COMMERCIAL",4,3," commercial",1
161,35,"Mortuary","COMMERCIAL",4,3," commercial",4
162,35,"Motel Room, 1 Sty-Single Row","COMMERCIAL",4,3," commercial",4
163,35,"Motel Room, 2 Sty-Single Row","COMMERCIAL",4,3," commercial",4
164,35,"Motel, Extended Stay","COMMERCIAL",4,3," commercial",1
165,35,"Neighborhood Shopping Center","COMMERCIAL",4,3," commercial",39
166,35,"Regional Shopping Center","COMMERCIAL",4,3," commercial",7
167,35,"Resturant","COMMERCIAL",4,3," commercial",106
168,35,"Service Garage","COMMERCIAL",4,3," commercial",98
169,35,"Service Station with Bays","COMMERCIAL",4,3," commercial",1
170,35,"Small Shop","COMMERCIAL",4,3," commercial",49
171,35,"Snack Bar","COMMERCIAL",4,3," commercial",6
172,35,"Supermarket","COMMERCIAL",4,3," commercial",19
173,35,"Tavern/Bar","COMMERCIAL",4,3," commercial",30
174,35,"Warehouse Discount Store","COMMERCIAL",4,3," commercial",7
175,35,"Warehouse Showroom Store","COMMERCIAL",4,3," commercial",3
176,53,"227","Complete Auto Dealership",4,3," commercial",1
177,53,"228","Kennel",4,3," commercial",2
178,53,"304","Bank",4,3," commercial",167
179,53,"318","Department Store",4,3," commercial",1
180,53,"319","Discount Store",4,3," commercial",8
181,53,"325","Service Garage",4,3," commercial",16
182,53,"326","Storage Garage",4,3," commercial",4
183,53,"332","Hotel",4,3," commercial",3
184,53,"342","Mortuary",4,3," commercial",1
185,53,"343","Motel",4,3," commercial",1
186,53,"350","Restaurant",4,3," commercial",5
187,53,"408","Service Station",4,3," commercial",6
188,53,"410","Automotive Center",4,3," commercial",3
189,53,"419","Convenience Store",4,3," commercial",2
190,53,"423","Mini Lube Garage",4,3," commercial",2
191,53,"434","Car Wash - Self Service",4,3," commercial",1
192,53,"442","Bar/Tavern",4,3," commercial",2
193,53,"515","Casinos",4,3," commercial",1
194,53,"529","Snack Bar",4,3," commercial",12
195,53,"710","New Auto Dealer",4,3," commercial",110
196,53,"730","Auto Related",4,3," commercial",823
197,53,"740","Misc Services",4,3," commercial",248
198,53,"760","Restaurant",4,3," commercial",539
199,53,"761","Fast Food",4,3," commercial",169
200,53,"770","Retail Stand Alone",4,3," commercial",1661
201,53,"773","Strip/Flex",4,3," commercial",324
202,53,"774","C-Store w/Gas",4,3," commercial",541
203,53,"775","Big Box",4,3," commercial",104
204,53,"870","Motel",4,3," commercial",154
205,53,"871","Hotel Full Service",4,3," commercial",25
206,61,"ANCHOR","Mall Anchor Department Store",4,3," commercial",3
207,61,"AUTOSERV","Auto Service",4,3," commercial",168
208,61,"AUTOSHOW","Auto Showroom",4,3," commercial",44
209,61,"BANK","Bank",4,3," commercial",166
210,61,"BARBER","Barber Shop",4,3," commercial",1
211,61,"CARWASH","Car Wash Auto",4,3," commercial",16
212,61,"COMBLDG","NA",4,3," commercial",117
213,61,"COMGAR","Commercial Garage",4,3," commercial",394
214,61,"COMSHOP","Community Shopping Center",4,3," commercial",15
215,61,"CONVMRKT","Convenience Market",4,3," commercial",236
216,61,"CWSLFSRV","Car Wash, Self-Serve",4,3," commercial",2
217,61,"DEPTSTOR","Department Store",4,3," commercial",11
218,61,"DINING","Dining/Lounge",4,3," commercial",334
219,61,"DISCOUNT","Discount",4,3," commercial",127
220,61,"DRUGS","Drugstore",4,3," commercial",15
221,61,"FASTFDMS","Fast Food Restaurant MSBB",4,3," commercial",17
222,61,"FASTFOOD","Fast Food Restaurant",4,3," commercial",70
223,61,"FUNEHOME","Funeral Home",4,3," commercial",10
224,61,"GENRET","General Retail",4,3," commercial",1821
225,61,"HOSERV","Hotel/Motel Service",4,3," commercial",32
226,61,"HOUNIT","Hotel/Motel Unit",4,3," commercial",80
227,61,"LAUNDRY","Laundromat",4,3," commercial",2
228,61,"MARKET","Market",4,3," commercial",1
229,61,"MORTUARY","NA",4,3," commercial",1
230,61,"MOTEL1SR","Motel Room, 1 Sty-Single Row",4,3," commercial",3
231,61,"MOTELES","Motel, Extended Stay",4,3," commercial",1
232,61,"NBHSHOP","Neighborhood Shopping Center",4,3," commercial",51
233,61,"REGDISC","Regional Discount Shopping Ctr",4,3," commercial",4
234,61,"REGSHOP","Regional Shopping Center",4,3," commercial",44
235,61,"RESTURNT","NA",4,3," commercial",7
236,61,"SERVGAR","NA",4,3," commercial",38
237,61,"SERVICE","Service Station",4,3," commercial",6
238,61,"SERVICEB","Service Station with Bays",4,3," commercial",3
239,61,"SMSHOP","Small Shop",4,3," commercial",50
240,61,"SNACK","Snack Bar",4,3," commercial",1
241,61,"SUPRMRKT","Supermarket",4,3," commercial",68
242,61,"VETHOSP","NA",4,3," commercial",3
243,61,"WHSSHOW","Warehouse Showroom Store",4,3," commercial",1
244,33,"800","Condo Res",2,4," condo_residential",2760
245,35,"Condo - Tenant","DWELLING",2,4," condo_residential",2
246,53,"114","Condo - Separate Unit",2,4," condo_residential",1182
247,53,"862","Condo Low Rise",2,4," condo_residential",3543
248,53,"863","Condo High Rise",2,4," condo_residential",1105
249,53,"864","Condo Apartment Low Rise",2,4," condo_residential",358
250,53,"865","Condo Apartment High Rise",2,4," condo_residential",298
251,61,"51","Condo - Owner",2,4," condo_residential",16150
252,61,"52","Condo - Tenant",2,4," condo_residential",545
253,61,"53","Condo - Other",2,4," condo_residential",15
254,33,"322","FIRE STATION (STAFFED) (322)",7,5," government",157
