'Block','WAC','Jobs10'
'530350912041002','CNS07',482
'530330323091001','CNS05',479
'530330081002009','CNS10',478
'530330323133001','CNS09',478
'530610535071003','CNS05',477
'530330006004018','CNS16',476
'530330272001004','CNS08',476
'530330314001040','CNS10',476
'530530611004010','CNS07',474
'530330284032000','CNS18',472
'530539400021000','CNS15',471
'530330081002026','CNS10',467
'530330081002036','CNS12',467
'530330279003024','CNS16',467
'530610414001000','CNS09',467
'530330297003021','CNS20',465
'530610531011003','CNS15',463
'530610534004005','CNS17',461
'530330082001020','CNS14',460
'530330082001021','CNS12',460
'530330082001003','CNS16',459
'530330238042000','CNS12',459
'530330081002034','CNS14',458
'530330072001054','CNS20',457
'530610413042022','CNS05',457
'530610535043018','CNS16',457
'530330081002024','CNS12',455
'530330262001156','CNS07',455
'530330297003022','CNS20',455
'530330053013000','CNS07',454
'530330081002002','CNS07',454
'530350905012020','CNS16',454
'530330323191013','CNS05',452
'530530733013049','CNS08',452
'530610418113008','CNS09',452
'530330084003006','CNS20',451
'530330225004000','CNS07',450
'530330081002012','CNS10',449
'530330093002016','CNS04',446
'530330073003023','CNS12',445
'530330308011054','CNS07',444
'530330061004005','CNS10',443
'530330081002033','CNS12',443
'530530614002003','CNS15',442
'530330262001187','CNS07',441
'530330272002044','CNS15',441
'530330303141010','CNS20',440
'530610518023004','CNS12',440
'530330071002001','CNS18',439
'530330303132016','CNS07',439
'530330006003006','CNS04',438
'530330093002030','CNS17',438
'530330237003028','CNS16',438
'530330272002025','CNS08',438
'530330218021028','CNS03',437
'530330228031012','CNS05',437
'530610519252001','CNS05',437
'530330012004010','CNS07',436
'530330262001162','CNS07',436
'530330317062016','CNS07',436
'530330099004003','CNS08',433
'530330274003007','CNS07',433
'530330262001156','CNS05',432
'530610522083002','CNS16',432
'530330228033006','CNS09',45700
'530330082001003','CNS19',22580
'530610419031003','CNS05',16897
'530330109001048','CNS05',9275
'530610419031001','CNS05',9054
'530330067002027','CNS15',7991
'530330253013034','CNS05',7202
'530330085002000','CNS16',6078
'530330085003001','CNS16',6077
'530330253013007','CNS05',5138
'530530614001000','CNS15',5095
'530530614003023','CNS16',4816
'530330081001033','CNS20',4623
'530330109002088','CNS05',4394
'530330094005004','CNS07',4363
'530530616011030','CNS20',4315
'530330219031017','CNS16',4241
'530330082001004','CNS12',4235
'530330082001004','CNS06',4178
'530330041004008','CNS16',4004
'530330083001003','CNS16',3959
'530330053022002','CNS15',3828
'530330082001004','CNS14',3765
'530330322083049','CNS13',3451
'530330085001023','CNS20',3374
'530330066001041','CNS12',3365
'530530734071033','CNS15',3341
'530330300062004','CNS15',3339
'530330238041000','CNS07',3299
'530330234013012','CNS05',3296
'530330279003001','CNS15',3039
'530330323091041','CNS15',3020
'530330093002063','CNS13',2969
'530530614001012','CNS20',2950
'530610514001003','CNS15',2742
'530330237003042','CNS16',2605
'530610407002005','CNS20',2515
'530330284024041','CNS08',2511
'530330262001000','CNS15',2473
'530330081002039','CNS20',2430
'530330218033005','CNS15',2395
'530330236012011','CNS15',2354
'530330100012000','CNS16',2340
'530530614003002','CNS16',2302
'530330082001021','CNS14',2235
'530530714103000','CNS15',2235
'530330082001022','CNS10',2220
'530350912011035','CNS15',2204
'530330272001014','CNS16',2195
'530350803001014','CNS16',2170
'530330084001007','CNS15',2101
'530330308011022','CNS05',2081
'530330321033006','CNS15',2048
'530330082001021','CNS19',2024
'530330262001124','CNS07',2014
'530330306004000','CNS15',2004
'530330073002018','CNS13',1917
'530330238042008','CNS14',1916
'530330081002034','CNS12',1906
'530610529053005','CNS15',1871
'530530611004000','CNS16',1817
'530330253013011','CNS05',1816
'530610510001011','CNS10',1779
'530610419043007','CNS15',1760
'530330081002046','CNS20',1758
'530530626002027','CNS07',1722
'530330204012011','CNS15',1718
'530610419011004','CNS05',1716
'530330248003006','CNS09',1704
'530530719012006','CNS15',1686
'530530734051010','CNS16',1686
'530330082001020','CNS12',1682
'530330258061010','CNS16',1632
'530330081002039','CNS03',1621
'530330082001003','CNS07',1616
'530330234012036','CNS15',1608
'530539400022031','CNS17',1594
'530330081001035','CNS08',1591
'530610401003000','CNS16',1560
'530330084002013','CNS16',1552
'530330080011002','CNS08',1532
'530530615004012','CNS16',1518
'530330081002028','CNS20',1464
'530610401003001','CNS16',1463
'530330071001012','CNS08',1462
'530350922001015','CNS20',1443
'530330082001022','CNS12',1437
'530330093001037','CNS08',1421
'530330236012016','CNS20',1393
'530330082001022','CNS14',1380
'530330080011000','CNS20',1371
'530330073003010','CNS16',1368
'530330082001004','CNS09',1364
'530330085001022','CNS10',1363
'530330081002036','CNS03',1346
'530530715044014','CNS15',1316
'530610519222002','CNS05',1303
'530350923002016','CNS15',1302
'530330238043007','CNS12',1299
'530330080021000','CNS20',1298
'530330071002001','CNS17',1294
'530330081002020','CNS10',1271
'530330303132024','CNS16',1256
'530330209001009','CNS20',1252
'530530718071000','CNS08',1248
'530539400022003','CNS08',1219
'530610524023002','CNS15',1208
'530610407003000','CNS20',1207
'530330071001011','CNS08',1205
'530330288021026','CNS08',1202
'530330295022002','CNS15',1183
'530330284024041','CNS20',1178
'530330238012014','CNS12',1163
'530530612001013','CNS14',1152
'530530733014026','CNS15',1143
'530330295022013','CNS15',1141
'530330226051000','CNS14',1136
'530330019001002','CNS16',1135
'530330089003008','CNS16',1132
'530330288021013','CNS08',1125
'530530725053007','CNS15',1118
'530330073003029','CNS13',1103
'530330092002025','CNS20',1089
'530330081001033','CNS12',1083
'530330311004012','CNS17',1063
'530330262001124','CNS18',1062
'530330093003153','CNS04',1045
'530610515003000','CNS15',1024
'530530721074010','CNS15',1016
'530330082001004','CNS10',1012
'530330238041000','CNS18',1010
'530330323133001','CNS05',1008
'530330093003162','CNS08',1002
'530530718053001','CNS16',999
'530610522091002','CNS20',989
'530330081002026','CNS12',969
'530330248003011','CNS09',966
'530330304013021','CNS14',964
'530350811002000','CNS15',956
'530330081002038','CNS10',953
'530330081002039','CNS08',948
'530530733013016','CNS08',945
'530330234032001','CNS09',938
'530530616011060','CNS16',938
'530330284024004','CNS08',934
'530350806005005','CNS15',934
'530330288021003','CNS08',922
'530330320031011','CNS15',922
'530330073001014','CNS16',920
'530330234012036','CNS16',909
'530330099004003','CNS05',902
'530330226051000','CNS05',897
'530330262001072','CNS14',885
'530530712073001','CNS07',885
'530530715042020','CNS15',884
'530330237003014','CNS12',878
'530330047001017','CNS10',875
'530530617005006','CNS20',875
'530330303141007','CNS14',872
'530330082001004','CNS19',870
'530330073001025','CNS12',868
'530330273002002','CNS08',865
'530330308011007','CNS07',865
'530330292061112','CNS13',855
'530330305012018','CNS16',843
'530359401002010','CNS17',842
'530330080013026','CNS09',828
'530330295022000','CNS15',824
'530330238042001','CNS13',822
'530610419031000','CNS05',822
'530530615004014','CNS16',820
'530530617001017','CNS16',811
'530530607005012','CNS15',805
'530330082001004','CNS04',800
'530330081001028','CNS20',797
'530350905023000','CNS15',787
'530610533014090','CNS15',783
'530330203005004','CNS07',772
'530539400022020','CNS09',772
'530330238042008','CNS12',770
'530330093003025','CNS12',767
'530330238042000','CNS10',767
'530330084002000','CNS16',764
'530330304011033','CNS13',758
'530330081001000','CNS12',749
'530530712073008','CNS07',748
'530330073002023','CNS13',747
'530530703132035','CNS08',747
'530530723103009','CNS15',746
'530330082001020','CNS10',737
'530330262001117','CNS14',736
'530330323092002','CNS20',731
'530330283003000','CNS05',430
'530610504021001','CNS16',429
'530330323133001','CNS12',428
'530350805001033','CNS20',426
'530330238043005','CNS18',424
'530330093002016','CNS17',423
'530330321031026','CNS10',423
'530610517012012','CNS07',423
'530330082001022','CNS13',421
'530330218021028','CNS09',420
'530330292061157','CNS05',420
'530330220052002','CNS07',419
'530330292061026','CNS04',419
'530330093002045','CNS17',418
'530330305011017','CNS17',418
'530530733013001','CNS04',418
'530610526053011','CNS15',418
'530330095002056','CNS05',417
'530610410002019','CNS16',417
'530330279003025','CNS16',415
'530610401002013','CNS20',414
'530530728002036','CNS12',413
'530610519252001','CNS10',411
'530330073003029','CNS12',410
'530330094005004','CNS16',410
'530330082001018','CNS12',409
'530330312025008','CNS18',409
'530530714063019','CNS05',408
'530330284024054','CNS08',406
'530330047004013','CNS13',405
'530350905023006','CNS15',404
'530530617005006','CNS19',404
'530330288021011','CNS08',403
'530330289012000','CNS16',402
'530350918001014','CNS07',402
'530330093003152','CNS06',401
'530530721091043','CNS15',401
'530539400101013','CNS08',401
'530330035003000','CNS17',400
'530530602001088','CNS06',400
'530530626001012','CNS05',400
'530330262001173','CNS12',399
'530610517012008','CNS20',399
'530330237001034','CNS14',398
'530530719011036','CNS07',398
'530330082001019','CNS18',397
'530330305011014','CNS06',397
'530539400091014','CNS04',397
'530330072001037','CNS09',396
'530330006004005','CNS16',395
'530330081002031','CNS12',394
'530330279002000','CNS06',392
'530330230003003','CNS12',390
'530330262001145','CNS05',390
'530330072001072','CNS09',389
'530330218021011','CNS06',387
'530330253013017','CNS06',385
'530539400021017','CNS08',385
'530530714113007','CNS07',384
'530610413042015','CNS12',384
'530530634005002','CNS07',383
'530330081002030','CNS10',382
'530330264005006','CNS06',382
'530330237001042','CNS05',381
'530330049002024','CNS09',379
'530330237001030','CNS13',379
'530330258061019','CNS16',379
'530530718072003','CNS16',376
'530330237001042','CNS16',375
'530619400012001','CNS09',374
'530330080013027','CNS08',372
'530539400071005','CNS20',372
'530330071001018','CNS09',371
'530330081002009','CNS12',371
'530330220032006','CNS16',371
'530330238041007','CNS14',369
'530330238042008','CNS10',369
'530330274002012','CNS16',369
'530330073003017','CNS09',368
'530330109002067','CNS14',368
'530330112001032','CNS04',367
'530330303131004','CNS18',367
'530330238032006','CNS12',366
'530530609052001','CNS16',366
'530610420061004','CNS05',366
'530330237001042','CNS08',364
'530330262001145','CNS08',364
'530330295033016','CNS07',364
'530330081002030','CNS19',363
'530330238011002','CNS18',363
'530610419041002','CNS07',362
'530610514002004','CNS09',362
'530530616011035','CNS20',360
'530330328003421','CNS17',359
'530539400101026','CNS06',359
'530330073003013','CNS09',358
'530330081002034','CNS10',358
'530330218021011','CNS09',358
'530330238012014','CNS13',358
'530330253023050','CNS07',357
'530330262001055','CNS20',357
'530330263001010','CNS18',356
'530610526053015','CNS07',356
'530330234012016','CNS09',355
'530330305031002','CNS14',355
'530530704032003','CNS15',354
'530330238032001','CNS12',353
'530610517021000','CNS10',352
'530350912041024','CNS16',350
'530530626001008','CNS14',350
'530610419011004','CNS04',350
'530330093002031','CNS18',346
'530330113001000','CNS05',346
'530330288012000','CNS18',346
'530610519261011','CNS14',345
'530330007001003','CNS07',343
'530330073001024','CNS07',343
'530330073001025','CNS04',343
'530350903002000','CNS12',343
'530610519252001','CNS07',343
'530330080014005','CNS14',342
'530330081002010','CNS12',342
'530330080011003','CNS08',341
'530330085002008','CNS16',341
'530330300062004','CNS07',341
'530330303141000','CNS07',341
'530610538022007','CNS15',340
'530330059001001','CNS08',339
'530330086003014','CNS16',339
'530330112001032','CNS08',339
'530530611005003','CNS07',339
'530330323092001','CNS16',338
'530610519252001','CNS13',338
'530330073003019','CNS15',337
'530330219031019','CNS16',337
'530330240001028','CNS12',337
'530610413042015','CNS08',337
'530330073003029','CNS10',336
'530330081002005','CNS14',336
'530330262001149','CNS07',336
'530530614003041','CNS16',336
'530330059003002','CNS18',335
'530330072001068','CNS10',335
'530330236031001','CNS04',335
'530330238032001','CNS14',335
'530330262001155','CNS14',335
'530330321031032','CNS07',335
'530330012005011','CNS16',334
'530330253013014','CNS07',334
'530530721053005','CNS16',334
'530530702073014','CNS16',333
'530610519253004','CNS05',333
'530610528051002','CNS07',333
'530330072001036','CNS14',332
'530330083001010','CNS16',332
'530330292061110','CNS08',332
'530610514002013','CNS16',332
'530330090001008','CNS05',331
'530330323132016','CNS07',330
'530530733011004','CNS05',330
'530610404003004','CNS09',330
'530530731111005','CNS14',329
'530330081002012','CNS12',328
'530330081001000','CNS10',327
'530330249012030','CNS14',326
'530350811001009','CNS16',326
'530530734041010','CNS20',326
'530330207002003','CNS07',325
'530330299023010','CNS14',324
'530530733013035','CNS04',324
'530330081002039','CNS18',323
'530330227012005','CNS12',323
'530330323091044','CNS09',323
'530530724082005','CNS16',322
'530330090002003','CNS16',321
'530530616011062','CNS10',321
'530530725053019','CNS14',321
'530330001003002','CNS07',320
'530330082001002','CNS07',320
