'faz_id','sector_id','home_based_jobs'
2216.00,10,9.00
2216.00,11,64.00
2216.00,12,16.00
2225.00,1,24.00
2225.00,2,71.00
2225.00,3,94.00
2225.00,4,48.00
2225.00,5,102.00
2225.00,7,432.00
2225.00,8,13.00
2225.00,9,28.00
2225.00,10,3.00
2225.00,11,22.00
2910.00,3,16.00
2925.00,1,32.00
2925.00,2,40.00
2925.00,3,39.00
2925.00,4,31.00
2925.00,5,47.00
2925.00,7,148.00
2925.00,8,27.00
2925.00,9,61.00
2925.00,11,6.00
2926.00,1,39.00
2926.00,2,102.00
2926.00,3,94.00
2926.00,4,55.00
2926.00,5,95.00
2926.00,7,252.00
2926.00,8,64.00
2926.00,9,149.00
2926.00,10,2.00
2926.00,11,14.00
2926.00,12,24.00
2927.00,3,6.00
2927.00,5,6.00
2927.00,7,117.00
2927.00,8,5.00
2927.00,9,11.00
2927.00,10,2.00
2927.00,11,14.00
2927.00,12,6.00
2935.00,4,47.00
2935.00,5,6.00
2935.00,7,181.00
2935.00,8,169.00
2935.00,9,392.00
2936.00,4,39.00
2936.00,5,6.00
2936.00,7,55.00
2936.00,8,13.00
2936.00,9,28.00
2936.00,10,3.00
2936.00,11,28.00
2936.00,12,16.00
2940.00,1,16.00
2940.00,3,16.00
2940.00,4,16.00
2940.00,5,16.00
2940.00,7,205.00
2940.00,8,14.00
2940.00,9,33.00
2940.00,12,16.00
3010.00,1,31.00
3010.00,2,126.00
3010.00,3,125.00
3010.00,4,39.00
3010.00,5,93.00
3010.00,7,370.00
3010.00,8,86.00
3010.00,9,202.00
3010.00,10,7.00
3010.00,11,50.00
3010.00,12,40.00
3020.00,2,63.00
3020.00,4,118.00
3020.00,5,71.00
3020.00,7,108.00
3020.00,8,59.00
3020.00,9,138.00
3020.00,10,3.00
3020.00,11,22.00
3020.00,12,47.00
3030.00,1,55.00
3030.00,2,95.00
3030.00,3,102.00
3030.00,4,56.00
3030.00,5,148.00
3030.00,7,343.00
3030.00,8,55.00
3030.00,9,127.00
3030.00,11,6.00
3030.00,12,16.00
3045.00,2,40.00
3045.00,3,48.00
3045.00,4,40.00
3045.00,7,418.00
3045.00,8,26.00
3045.00,9,61.00
3045.00,10,2.00
3045.00,11,14.00
3045.00,12,110.00
3046.00,3,31.00
3046.00,5,93.00
3046.00,7,187.00
3046.00,8,51.00
3046.00,9,121.00
3046.00,11,6.00
3110.00,3,6.00
3110.00,4,6.00
3110.00,7,24.00
3110.00,8,17.00
3110.00,9,39.00
3120.00,2,22.00
3120.00,3,24.00
3120.00,4,174.00
3120.00,5,40.00
3120.00,7,133.00
3120.00,8,21.00
3120.00,9,45.00
3120.00,12,16.00
3130.00,3,71.00
3130.00,4,24.00
3130.00,7,157.00
3130.00,8,24.00
3130.00,9,55.00
3200.00,1,110.00
3200.00,2,142.00
3200.00,3,132.00
3200.00,4,40.00
3200.00,7,281.00
3200.00,8,31.00
3200.00,9,72.00
3200.00,10,3.00
3200.00,11,22.00
3200.00,12,55.00
3310.00,1,31.00
3310.00,2,6.00
3310.00,3,165.00
3310.00,4,63.00
3310.00,5,158.00
3310.00,7,472.00
3310.00,8,27.00
3310.00,9,61.00
3310.00,10,2.00
3310.00,11,14.00
3310.00,12,6.00
3320.00,1,31.00
3320.00,2,92.00
3320.00,3,156.00
3320.00,4,94.00
3320.00,5,72.00
3320.00,7,503.00
3320.00,8,35.00
3320.00,9,78.00
3320.00,10,2.00
3320.00,11,14.00
3330.00,1,16.00
3330.00,2,126.00
3330.00,3,103.00
3330.00,4,150.00
3330.00,5,71.00
3330.00,7,211.00
3330.00,8,13.00
3330.00,9,28.00
3330.00,11,6.00
3413.00,2,24.00
3413.00,3,40.00
3413.00,4,63.00
3413.00,5,24.00
3413.00,7,94.00
3413.00,8,10.00
3413.00,9,22.00
3413.00,10,2.00
3413.00,11,14.00
3414.00,2,39.00
3414.00,3,77.00
3414.00,4,118.00
3414.00,5,47.00
3414.00,7,195.00
3414.00,8,70.00
3414.00,9,160.00
3414.00,10,3.00
3414.00,11,28.00
3415.00,2,24.00
3415.00,3,76.00
3415.00,4,46.00
3415.00,5,47.00
3415.00,7,337.00
3415.00,8,73.00
3415.00,9,166.00
3415.00,10,2.00
3415.00,11,14.00
3416.00,2,16.00
3416.00,3,134.00
3416.00,4,38.00
3416.00,5,55.00
3416.00,7,284.00
3416.00,8,49.00
3416.00,9,111.00
3416.00,10,8.00
3416.00,11,65.00
3416.00,12,16.00
3425.00,2,158.00
3425.00,3,221.00
3425.00,4,48.00
3425.00,5,48.00
3425.00,7,93.00
3425.00,8,32.00
3425.00,9,72.00
3425.00,12,24.00
3426.00,2,94.00
3426.00,3,31.00
3426.00,4,22.00
3426.00,5,40.00
3426.00,7,252.00
3426.00,8,32.00
3426.00,9,72.00
3426.00,10,6.00
3426.00,11,50.00
3426.00,12,16.00
3427.00,1,24.00
3427.00,3,182.00
3427.00,4,87.00
3427.00,5,79.00
3427.00,7,448.00
3427.00,8,38.00
3427.00,9,88.00
3427.00,10,3.00
3427.00,11,22.00
3505.00,1,24.00
3505.00,2,24.00
3505.00,3,31.00
3505.00,4,16.00
3505.00,5,103.00
3505.00,7,268.00
3505.00,8,57.00
3505.00,9,128.00
3505.00,10,2.00
3505.00,11,14.00
3600.00,3,39.00
3600.00,4,118.00
3600.00,7,141.00
3600.00,8,13.00
3600.00,9,28.00
3600.00,12,16.00
3705.00,2,47.00
3705.00,4,40.00
3705.00,5,63.00
3705.00,7,100.00
3705.00,8,68.00
3705.00,9,155.00
3705.00,12,47.00
3706.00,2,40.00
3706.00,3,63.00
3706.00,4,24.00
3706.00,5,53.00
3706.00,7,172.00
3706.00,8,10.00
3706.00,9,22.00
3706.00,12,16.00
3815.00,2,47.00
3815.00,3,24.00
3815.00,4,55.00
3815.00,5,16.00
3815.00,7,258.00
3815.00,8,34.00
3815.00,9,78.00
3815.00,10,2.00
3815.00,11,14.00
3815.00,12,16.00
3816.00,2,32.00
3816.00,3,40.00
3816.00,5,40.00
3816.00,7,139.00
3816.00,8,30.00
3816.00,9,67.00
3816.00,12,24.00
3825.00,3,79.00
3825.00,4,24.00
3825.00,7,151.00
3825.00,8,27.00
3825.00,9,61.00
3825.00,10,3.00
3825.00,11,22.00
3825.00,12,16.00
3900.00,3,16.00
3900.00,4,16.00
3900.00,7,24.00
3905.00,4,6.00
3905.00,5,16.00
3905.00,7,29.00
3905.00,8,5.00
3905.00,9,11.00
3905.00,10,2.00
3905.00,11,14.00
4005.00,2,39.00
4005.00,3,40.00
4005.00,5,16.00
4005.00,7,306.00
4005.00,8,44.00
4005.00,9,100.00
4110.00,3,110.00
4110.00,4,16.00
4110.00,7,330.00
4110.00,8,22.00
4110.00,9,50.00
4110.00,12,71.00
4120.00,2,6.00
4120.00,3,16.00
4120.00,4,87.00
4120.00,7,339.00
4120.00,8,19.00
4120.00,9,44.00
4130.00,2,55.00
4130.00,3,71.00
4130.00,4,24.00
4130.00,7,133.00
4130.00,8,40.00
4130.00,9,89.00
4130.00,10,3.00
4130.00,11,22.00
4130.00,12,16.00
4210.00,2,24.00
4210.00,3,188.00
4210.00,4,16.00
4210.00,5,24.00
4210.00,7,336.00
4210.00,8,17.00
4210.00,9,39.00
4225.00,1,71.00
4225.00,2,63.00
4225.00,3,40.00
4225.00,4,181.00
4225.00,5,48.00
4225.00,7,480.00
4225.00,8,10.00
4225.00,9,22.00
4226.00,1,16.00
4226.00,3,165.00
4226.00,4,63.00
4226.00,7,425.00
4226.00,8,11.00
4226.00,9,27.00
4230.00,2,16.00
4230.00,3,39.00
4230.00,4,71.00
4230.00,5,6.00
4230.00,7,141.00
4230.00,8,21.00
4230.00,9,45.00
4300.00,1,6.00
4300.00,2,31.00
4300.00,3,24.00
4300.00,4,31.00
4300.00,5,16.00
4300.00,7,55.00
4300.00,10,6.00
4300.00,11,57.00
4400.00,1,39.00
4400.00,2,86.00
4400.00,3,110.00
4400.00,4,126.00
4400.00,5,132.00
4400.00,7,810.00
4400.00,8,38.00
4400.00,9,83.00
4400.00,10,12.00
4400.00,11,93.00
4400.00,12,71.00
4505.00,2,48.00
4505.00,3,79.00
4505.00,4,62.00
