census_block_group_id,faz_id
1,3600
2,3600
3,3505
4,3130
5,3130
6,3130
7,3130
8,3130
9,3130
10,3706
11,3706
12,4130
13,4005
16,3905
15,3825
18,5916
19,5916
20,5815
21,5815
22,5916
23,5825
24,3600
25,3600
26,3130
27,6113
28,6010
29,3900
30,3905
31,3900
14,4110
32,5915
33,5925
34,5925
35,4005
36,3905
37,5916
38,3600
39,3200
40,3505
41,3505
57,4110
58,4130
59,4130
60,4110
61,4130
62,4110
63,5915
64,6114
65,6114
66,6113
67,6114
68,6226
69,5720
70,3030
71,5020
72,5515
73,6124
74,5425
42,5425
45,6900
46,5916
47,4400
48,4400
103,5720
102,5720
112,3426
113,4300
114,5306
115,5720
116,5720
117,5916
118,5916
119,4130
120,3815
238,6410
235,6410
237,6410
234,6410
236,6410
232,6410
233,6410
239,6410
161,5535
157,5535
156,5535
229,5426
317,6410
318,6410
75,5425
76,3427
77,4900
78,6900
79,4120
80,5815
81,3130
82,3130
83,5306
84,5425
85,5425
43,3200
44,3046
49,5715
50,5715
51,5715
52,5715
53,5715
54,3705
55,3705
56,3905
86,3705
87,3905
88,3705
89,3905
90,5715
91,4210
92,3320
93,5720
94,3045
95,3045
96,6123
97,6123
1129,3415
98,3320
99,5720
100,5720
101,5826
104,3505
105,4506
107,5720
108,6215
109,5305
110,3120
111,6213
121,6010
122,4110
123,4110
124,4110
125,4120
126,6224
127,3705
128,4605
129,6114
130,6213
131,4225
132,4607
133,4607
134,6606
135,3046
136,6420
137,4210
138,3030
139,3010
140,3414
141,3414
142,6215
143,4300
144,4300
145,3010
146,3010
147,3010
148,6325
149,6420
150,3010
151,3010
152,3600
153,3415
154,3825
155,6605
158,7316
159,5535
160,5535
162,5535
163,3010
164,5720
165,3200
166,706
167,706
168,2910
169,5305
170,3200
171,6900
172,3200
173,6900
174,4605
175,6930
176,3310
177,3425
178,3310
179,6900
180,6910
181,6930
182,3413
183,3413
184,3330
185,3330
186,3330
187,6316
188,3816
189,3816
190,5715
191,3816
194,4225
195,3330
196,6506
197,6506
198,6505
199,6910
200,6910
201,6316
202,6316
204,4400
205,4400
206,5020
207,5020
209,4607
210,4607
211,4607
212,6505
213,6910
214,4605
215,6020
216,6325
217,6325
218,6325
219,6325
221,5425
222,5425
223,5425
224,5425
225,5426
226,5426
227,5425
228,6605
230,6606
231,6606
240,5535
241,5546
242,5546
243,7435
244,6605
245,6410
246,3110
247,5716
248,3426
249,6226
250,6226
251,5720
252,3825
253,3825
255,3816
256,5720
257,5720
258,5720
259,5720
260,5720
261,5925
262,5925
263,5415
264,6213
406,6605
265,6410
266,3427
267,3427
268,6326
269,6326
270,3200
271,5305
272,5545
273,6115
274,6123
275,4400
276,4400
277,4120
278,3815
279,6506
280,3415
281,6420
282,3030
283,3200
284,3200
285,6113
286,3427
287,6420
288,4605
289,5720
290,6930
291,3415
292,3505
294,6113
295,3706
296,5535
297,5600
298,5535
299,5305
300,5545
301,4225
302,4210
303,5205
304,5205
305,6326
306,5916
307,5426
308,5426
309,6126
310,5600
769,3310
311,3415
312,6226
313,6124
314,6123
315,5826
316,6115
319,3200
320,806
321,3030
322,3425
323,3310
324,3310
325,6113
326,5715
334,6505
387,3020
426,6125
389,6125
431,3505
432,3505
476,3030
486,5720
487,3825
539,6114
327,5915
328,5915
329,5915
330,5915
331,5915
332,4210
333,4225
335,5020
336,4506
337,5020
338,4506
339,4607
340,4607
341,6325
342,6325
343,6325
344,6325
220,6226
345,6226
346,5425
347,5425
348,5425
349,5425
350,5426
351,5305
352,6410
353,6410
354,6410
355,5535
356,6420
357,5546
358,5546
359,4706
360,3815
361,4506
362,3426
363,4005
364,4005
365,3110
366,5525
367,5916
368,3705
369,3705
370,3705
371,6123
372,3414
1298,3110
373,3815
374,3706
375,6020
376,6124
377,3045
378,5010
379,4820
380,5515
381,5515
382,3045
383,4225
384,6115
385,4230
386,5100
388,3020
390,5535
391,6223
392,6020
393,5525
394,3425
395,3120
396,3120
397,3120
829,6215
398,4607
399,6114
400,3705
401,4606
402,3320
403,5010
404,5546
405,6605
407,3030
771,3505
408,6113
410,3825
411,3825
412,6410
413,6410
414,4120
415,5415
416,5020
417,5415
418,6124
1145,6114
419,6225
420,5020
421,5020
422,4810
423,5205
424,4210
428,3030
429,6020
430,3045
433,6124
434,3120
435,4300
436,5535
437,3706
438,5306
439,4606
440,3415
441,6124
442,4226
443,4225
444,5415
445,4810
446,5715
447,4606
448,4606
449,6420
450,3130
451,4706
452,4820
453,6410
454,4900
455,6225
456,6410
457,6224
458,3426
459,7435
460,4706
461,5600
462,5305
463,5010
464,3110
465,4210
581,3415
466,5515
468,6123
469,3020
470,4230
471,5925
473,6124
474,6126
475,3120
477,3426
478,3120
479,3426
480,3120
481,4605
482,3415
483,6410
484,6213
485,6420
488,4605
927,5546
489,3816
490,6505
491,5425
492,4606
493,4606
494,806
495,3200
496,5826
497,3427
498,3030
499,3030
500,3030
501,3030
502,3030
503,3425
504,3310
505,4400
506,4400
507,3705
508,3415
509,3330
510,6113
511,6325
512,5915
513,4210
514,4210
515,4210
516,4300
517,3330
518,6910
519,5720
520,6114
521,5010
522,5010
523,6020
524,6316
525,6226
526,6226
527,5425
