'block_id','sector_id','number_of_jobs'
' 53033008100200','3',1.00
' 53033008100200','6',11.00
' 53033008100200','7',45.00
' 53033008100200','8',2.00
' 53033008100201','12',22.00
' 53033008100201','13',56.00
' 53033008100201','14',535.00
' 53033008100201','15',8.00
' 53033008100201','16',1.00
' 53033008100201','17',3.00
' 53033008100201','2',8.00
' 53033008100201','3',4.00
' 53033008100201','6',19.00
' 53033008100201','7',40.00
' 53033008100204','13',13.00
' 53033008100204','17',20.00
' 53033008100204','3',1.00
' 53033008200100','11',6.00
' 53033008200100','12',207.00
' 53033008200100','13',1.00
' 53033008200100','14',3.00
' 53033008200100','16',1.00
' 53033008200100','17',2.00
' 53033008200100','6',1.00
' 53033008200100','7',1.00
' 53033008200101','13',1.00
' 53033008300200','14',3.00
' 53033008400300','14',1.00
' 53033008400300','16',10.00
' 53033008600101','11',1.00
' 53033009100101','13',46.00
' 53033009100200','11',3.00
' 53033009100200','12',22.00
' 53033009100200','13',86.00
' 53033009100200','14',4.00
' 53033009100200','17',27.00
' 53033009100200','2',43.00
' 53033009100200','6',7.00
' 53033009100200','7',25.00
' 53033009100200','8',72.00
' 53033009200100','11',7.00
' 53033009200100','12',14.00
' 53033009200100','13',97.00
' 53033009200100','14',1.00
' 53033009200100','16',1.00
' 53033009200100','17',23.00
' 53033009200100','2',39.00
' 53033009200100','6',7.00
' 53033009200100','7',15.00
' 53033009200100','8',51.00
' 53033009200201','15',1.00
' 53033009200202','17',1.00
' 53033009300102','7',1.00
' 53033009300104','11',1.00
' 53033009300104','13',3.00
' 53033009300104','16',33.00
' 53033009300104','2',9.00
' 53033009300104','3',8.00
' 53033009300104','6',1.00
' 53033009300104','7',2.00
' 53033009300202','11',13.00
' 53033009300202','12',30.00
' 53033009300202','13',189.00
' 53033009300202','14',5.00
' 53033009300202','17',27.00
' 53033009300202','2',77.00
' 53033009300202','6',15.00
' 53033009300202','7',44.00
' 53033009300202','8',112.00
' 53033009300203','13',8.00
' 53033009300203','17',1.00
' 53033009300203','18',6.00
' 53033009300204','13',15.00
' 53033009300204','14',2.00
' 53033009300304','12',1.00
' 53033009300304','17',20.00
' 53033009300304','6',25.00
' 53033009300304','8',1.00
' 53033009300308','13',1.00
' 53033009300308','6',3.00
' 53033009300308','8',2.00
' 53033009300312','3',6.00
' 53033009300312','6',1.00
' 53033009300312','8',1.00
' 53033009300316','13',1.00
' 53033009300316','14',1.00
' 53033009300317','13',3.00
' 53033009300317','17',2.00
' 53033009300317','3',14.00
' 53033009300317','6',41.00
' 53033009300317','7',1.00
' 53033009300318','13',10.00
' 53033009300318','3',4.00
' 53033009300318','6',54.00
' 53033009400203','16',6.00
' 53033009400203','7',7.00
' 53033009500105','13',3.00
' 53033009500105','14',1.00
' 53033009500105','17',3.00
' 53033009500401','12',6.00
' 53033009500401','7',4.00
' 53033009800302','17',2.00
' 53033009900101','14',3.00
' 53033009900300','6',1.00
' 53033009900300','7',1.00
' 53033009900400','13',112.00
' 53033009900400','16',1.00
' 53033009900400','2',2.00
' 53033009900400','3',10.00
' 53033009900400','6',1.00
' 53033009900400','8',4.00
' 53033010001300','17',1.00
' 53033010300501','17',12.00
' 53033010300501','2',17.00
' 53033010702300','17',1.00
' 53033010800101','2',1.00
' 53033010800101','3',2.00
' 53033010800101','6',1.00
' 53033010900102','8',2.00
' 53033010900207','2',3.00
' 53033010900207','6',44.00
' 53033010900207','8',3.00
' 53033010900210','14',2.00
' 53033010900210','2',12.00
' 53033010900210','3',5.00
' 53033010900210','6',1.00
' 53033010900210','7',4.00
' 53033010900210','8',19.00
' 53033011002101','15',12.00
' 53033011002101','17',4.00
' 53033011002101','8',8.00
' 53033011101401','14',8.00
' 53033011200201','16',6.00
' 53033011200201','17',1.00
' 53033011200201','3',1.00
' 53033011401200','14',16.00
' 53033011401200','16',8.00
' 53033011401200','17',4.00
' 53033011401200','7',44.00
' 53033011402102','12',3.00
' 53033011402102','14',2.00
' 53033011402102','16',5.00
' 53033011402102','17',2.00
' 53033011402102','7',33.00
' 53033011402200','17',5.00
' 53033011600501','3',1.00
' 53033011800601','12',5.00
' 53033011800601','13',1.00
' 53033020200300','13',1.00
' 53033020300100','11',2.00
' 53033020300100','17',2.00
