'block_id','sector_id','number_of_jobs'
'530330044004000','14',15.00
'530330044004000','17',2.00
'530330044004000','6',2.00
'530330044004000','7',5.00
'530330044004001','12',12.00
'530330044004001','14',27.00
'530330044004001','16',2.00
'530330044004001','7',5.00
'530330044004004','12',3.00
'530330044004004','13',3.00
'530330044004004','14',19.00
'530330044004004','16',2.00
'530330044004004','17',3.00
'530330044004004','7',5.00
'530330044004005','12',33.00
'530330044004005','13',4.00
'530330044004005','14',4.00
'530330044004005','17',2.00
'530330044004005','2',9.00
'530330044004005','3',1.00
'530330044004005','7',5.00
'530330044004006','17',68.00
'530330044004008','15',25.00
'530330044004008','16',11.00
'530330044004009','12',5.00
'530330044004009','14',47.00
'530330044004009','15',1.00
'530330044004009','17',14.00
'530330044004009','6',1.00
'530330045001000','13',2.00
'530330045001000','16',7.00
'530330045001000','17',3.00
'530330045001001','16',1.00
'530330045001003','14',23.00
'530330045001004','13',9.00
'530330045001004','17',1.00
'530330045001005','12',4.00
'530330045001005','17',6.00
'530330045001006','17',1.00
'530330045001008','13',40.00
'530330045001008','14',9.00
'530330045001008','17',1.00
'530330045001008','7',1.00
'530330045001009','14',2.00
'530330045001009','15',110.00
'530330045001009','16',3.00
'530330045001009','17',1.00
'530330045002005','2',2.00
'530330045002006','17',1.00
'530330045002009','12',2.00
'530330045002009','17',1.00
'530330045002012','11',2.00
'530330045002012','13',13.00
'530330045002012','2',4.00
'530330045002014','17',1.00
'530330045002020','17',1.00
'530330045002020','2',1.00
'530330045002022','17',4.00
'530330045002022','6',1.00
'530330045002026','13',1.00
'530330045002028','6',1.00
'530330046001000','17',26.00
'530330046001002','12',4.00
'530330046001016','13',1.00
'530330046001016','17',3.00
'530330046001016','2',1.00
'530330046001018','17',3.00
'530330046001024','13',1.00
'530330046001024','17',2.00
'530330046001025','13',12.00
'530330046001025','17',2.00
'530330046001026','6',2.00
'530330046002001','12',1.00
'530330046002001','6',1.00
'530330046002005','13',1.00
'530330046002006','12',1.00
'530330046002007','2',12.00
'530330046002008','13',36.00
'530330046002008','14',16.00
'530330046002008','17',2.00
'530330046002009','16',2.00
'530330046002009','3',6.00
'530330046002010','2',7.00
'530330046002011','17',1.00
'530330046002011','2',1.00
'530330046002011','6',1.00
'530330046002012','11',2.00
'530330046002012','17',4.00
'530330046002015','17',1.00
'530330046002015','6',4.00
'530330046002016','13',4.00
'530330046002016','14',18.00
'530330046002016','17',1.00
'530330046002017','13',1.00
'530330046002017','14',22.00
'530330046002017','16',3.00
'530330046002017','7',10.00
'530330046002018','13',1.00
'530330046002018','14',21.00
'530330046002018','17',18.00
'530330046002018','6',2.00
'530330046002019','13',7.00
'530330046002019','6',2.00
'530330046003000','13',4.00
'530330046003000','17',2.00
'530330046003001','17',4.00
'530330046003001','2',3.00
'530330046003010','7',5.00
'530330047001002','11',4.00
'530330047001002','17',2.00
'530330047001003','13',3.00
'530330047001003','17',1.00
'530330047001003','6',1.00
'530330047001004','17',1.00
'530330047001006','6',2.00
'530330047001008','17',1.00
'530330047001009','13',6.00
'530330047001009','17',1.00
'530330047001012','17',4.00
'530330047001013','16',2.00
'530330047001014','14',7.00
'530330047001014','16',7.00
'530330047001014','7',3.00
'530330047001015','14',59.00
'530330047001015','15',8.00
'530330047001015','2',41.00
'530330047001015','7',11.00
'530330047001017','11',1.00
'530330047001017','12',875.00
'530330047001017','13',10.00
'530330047001017','14',2.00
'530330047001017','16',1.00
'530330047001017','18',1.00
'530330047002000','12',1.00
'530330047002002','13',11.00
'530330047002002','17',1.00
'530330047002002','2',13.00
'530330047002002','3',248.00
'530330047002004','17',2.00
'530330047002004','3',7.00
'530330047002004','6',6.00
'530330047002004','7',5.00
'530330047002005','12',2.00
'530330047002005','14',42.00
'530330047002005','16',20.00
'530330047002005','7',5.00
'530330047002006','12',8.00
'530330047002006','13',7.00
'530330047002006','3',2.00
'530330047002007','3',37.00
'530330047002007','6',1.00
'530330047002007','7',42.00
'530330047002009','12',65.00
'530330047002009','13',1.00
'530330047002009','2',9.00
'530330047002009','3',18.00
'530330047002009','6',1.00
'530330047002010','1',46.00
'530330047002010','12',1.00
'530330047002010','13',6.00
'530330047002010','16',6.00
'530330047002010','17',4.00
'530330047002010','6',1.00
'530330047002011','14',33.00
'530330047002011','17',1.00
'530330047002011','3',35.00
'530330047002013','2',31.00
'530330047002013','6',22.00
'530330047002014','17',18.00
'530330047002014','3',6.00
'530330047002014','6',15.00
'530330047002016','17',1.00
'530330047002019','13',14.00
'530330047002019','17',1.00
'530330047002019','2',1.00
'530330047002020','13',20.00
'530330047002020','17',8.00
'530330047002020','2',52.00
'530330047002020','6',14.00
'530330047002022','12',3.00
'530330047002022','13',1.00
'530330047002022','17',4.00
'530330047002022','2',12.00
'530330047002022','3',6.00
'530330047002022','6',14.00
'530330047002022','7',19.00
'530330047002025','17',4.00
'530330047002025','6',4.00
'530330047002026','2',3.00
'530330047002031','1',3.00
'530330047002031','11',11.00
'530330047002031','13',3.00
'530330047002031','17',94.00
'530330047002031','3',55.00
'530330047002031','6',16.00
'530330047002032','17',3.00
'530330047002032','2',7.00
'530330047002032','3',17.00
'530330047002033','11',1.00
'530330047002033','13',11.00
'530330047002033','17',4.00
'530330047002033','2',3.00
'530330047002034','17',3.00
'530330047002034','2',2.00
'530330047002035','17',18.00
'530330047002035','3',3.00
'530330047002035','6',7.00
'530330047002035','7',2.00
'530330047002038','17',6.00
'530330047002038','3',26.00
'530330047002038','7',9.00
'530330047002039','17',10.00
'530330047002039','2',5.00
'530330047002039','3',13.00
'530330047002039','6',3.00
'530330047002042','11',1.00
'530330047002042','12',2.00
'530330047002042','13',284.00
'530330047002042','14',7.00
'530330047002042','17',48.00
'530330047002045','2',6.00
'530330047002045','7',19.00
'530330047002047','13',3.00
'530330047002047','17',6.00
'530330047002047','2',65.00
'530330047002047','3',4.00
'530330047002047','6',10.00
'530330047002048','13',5.00
'530330047002048','2',20.00
'530330047002051','14',37.00
'530330047002053','17',6.00
'530330047002053','2',19.00
'530330047002053','3',49.00
'530330047002053','6',6.00
'530330047002053','7',6.00
'530330047002054','17',5.00
'530330047002056','16',200.00
'530330047002056','3',10.00
'530330047002057','3',145.00
'530330047002059','14',17.00
'530330047002059','3',8.00
'530330047002059','6',10.00
'530330047002060','12',3.00
'530330047002060','3',17.00
'530330047002060','7',108.00
'530330047002065','2',16.00
'530330047002065','3',3.00
'530330047002066','12',1.00
'530330047002066','13',4.00
'530330047002066','15',40.00
'530330047002066','17',3.00
'530330047002066','2',7.00
'530330047002066','3',60.00
'530330047002066','6',4.00
'530330047002066','7',7.00
'530330047002066','8',4.00
'530330047002067','1',31.00
'530330047002067','12',1.00
'530330047002067','13',3.00
'530330047002067','17',14.00
'530330047002067','2',6.00
'530330047002067','3',34.00
'530330047002067','6',6.00
'530330047002070','13',7.00
'530330047002070','7',15.00
'530330047002071','17',6.00
'530330047002072','13',49.00
'530330047002072','6',1.00
'530330047002072','7',34.00
'530330047002073','12',1.00
'530330047002073','13',1.00
'530330047002073','17',1.00
'530330047002073','3',1.00
'530330047002073','6',3.00
'530330047002073','7',21.00
'530330047002075','12',9.00
'530330047002075','13',13.00
'530330047002075','16',3.00
'530330047002075','17',9.00
'530330047002075','3',4.00
'530330047002075','6',14.00
'530330047002075','7',549.00
'530330047002077','13',2.00
'530330047002077','2',5.00
'530330047002077','6',7.00
'530330047002077','7',1.00
'530330047002080','13',9.00
'530330047002080','2',15.00
'530330047002080','6',14.00
'530330047002080','7',9.00
'530330047002081','13',3.00
'530330047002081','2',8.00
'530330047002081','6',10.00
'530330047002081','7',1.00
'530330047003001','12',2.00
'530330047003001','13',1.00
'530330047003001','14',20.00
'530330047003002','11',1.00
'530330047003002','14',5.00
'530330047003002','17',10.00
'530330047003002','2',1.00
'530330047003003','13',1.00
'530330047003004','17',6.00
'530330047003005','16',4.00
'530330047003005','17',1.00
'530330047003010','12',5.00
'530330047003010','13',4.00
'530330047003010','14',27.00
'530330047003010','16',4.00
'530330047003010','17',2.00
'530330047003010','2',19.00
'530330047003010','7',1.00
'530330047003011','13',7.00
'530330047003011','16',31.00
'530330047003012','12',1.00
'530330047003012','13',11.00
'530330047003012','16',163.00
'530330047003012','17',1.00
'530330047003012','2',10.00
'530330047003012','6',3.00
'530330047003013','1',43.00
'530330047003013','12',3.00
'530330047003013','13',13.00
'530330047003013','15',1.00
'530330047003013','17',30.00
'530330047003013','3',42.00
'530330047003013','6',4.00
'530330047003014','12',2.00
'530330047003014','14',10.00
'530330047003014','7',177.00
'530330047003017','12',2.00
'530330047003017','13',24.00
'530330047003017','14',5.00
'530330047003017','7',5.00
'530330047003018','12',6.00
'530330047003018','13',1.00
'530330047003018','16',5.00
'530330047003018','6',10.00
'530330047003019','1',6.00
'530330047003019','12',10.00
'530330047003019','13',70.00
'530330047003019','14',23.00
'530330047003019','16',1.00
'530330047003019','17',15.00
'530330047003019','2',10.00
'530330047003019','6',8.00
'530330047003019','7',14.00
'530330047003020','17',1.00
'530330047003020','7',53.00
'530330047004001','12',12.00
'530330047004002','13',15.00
'530330047004002','14',12.00
'530330047004002','17',1.00
'530330047004003','6',5.00
'530330047004004','13',2.00
'530330047004004','17',5.00
'530330047004005','7',4.00
'530330047004006','12',6.00
'530330047004006','17',2.00
'530330047004006','7',75.00
'530330047004007','14',7.00
'530330047004007','17',1.00
'530330047004007','7',5.00
'530330047004008','12',58.00
'530330047004008','14',36.00
'530330047004008','15',4.00
'530330047004008','17',2.00
'530330047004008','6',1.00
'530330047004008','7',15.00
'530330047004009','12',25.00
'530330047004009','13',114.00
'530330047004009','14',77.00
'530330047004009','15',41.00
'530330047004009','16',205.00
'530330047004009','17',38.00
'530330047004009','2',19.00
'530330047004009','3',13.00
'530330047004009','6',1.00
'530330047004009','7',53.00
'530330047004009','8',2.00
'530330047004010','1',122.00
'530330047004010','12',5.00
'530330047004010','13',37.00
'530330047004010','14',160.00
'530330047004010','17',1.00
'530330047004010','2',3.00
'530330047004010','3',118.00
'530330047004010','6',2.00
'530330047004010','7',12.00
'530330047004010','8',1.00
'530330047004011','13',5.00
'530330047004011','14',105.00
'530330047004011','16',2.00
'530330047004011','17',4.00
'530330047004011','7',33.00
'530330047004012','12',1.00
'530330047004012','13',50.00
'530330047004012','14',85.00
'530330047004012','15',7.00
'530330047004012','17',1.00
'530330047004012','7',37.00
'530330047004013','1',22.00
'530330047004013','11',20.00
'530330047004013','12',9.00
'530330047004013','13',455.00
'530330047004013','14',5.00
'530330047004013','17',20.00
'530330047004013','2',45.00
'530330047004013','3',721.00
'530330047004013','6',42.00
'530330047004013','7',26.00
'530330047004014','13',9.00
'530330047004014','14',25.00
'530330047004014','2',4.00
'530330047004014','6',2.00
'530330047004014','7',7.00
'530330047004015','1',29.00
'530330047004015','13',14.00
'530330047004015','17',29.00
'530330047004015','3',75.00
'530330047004015','6',33.00
'530330047004015','7',57.00
'530330047004016','13',8.00
'530330047004016','14',66.00
'530330047004016','17',27.00
'530330047004016','3',81.00
'530330047004016','7',36.00
'530330047004018','14',17.00
'530330047004018','17',6.00
'530330047004019','13',45.00
'530330047004019','16',4.00
'530330047004019','17',1.00
'530330047004019','6',4.00
'530330047004020','12',18.00
'530330047004020','16',103.00
'530330047004020','17',1.00
'530330047004020','7',14.00
'530330047004021','12',2.00
'530330047004021','14',8.00
'530330047004021','16',39.00
'530330047004022','12',6.00
'530330047004023','13',1.00
'530330047004023','14',16.00
'530330047004023','17',11.00
'530330047004023','2',37.00
'530330047004023','7',121.00
'530330047004024','11',13.00
'530330047004024','12',5.00
'530330047004024','14',49.00
'530330047004024','16',4.00
'530330047004024','17',19.00
'530330047004024','7',3.00
'530330047004025','11',2.00
'530330047004025','12',6.00
'530330047004025','13',3.00
'530330047004025','14',65.00
'530330047004025','16',32.00
'530330047004025','17',8.00
'530330047004025','7',39.00
'530330047004025','8',1.00
'530330047004026','13',5.00
'530330047004026','14',2.00
'530330047004026','16',13.00
'530330047004026','17',127.00
'530330047004026','7',3.00
'530330047004027','13',5.00
'530330047004027','14',17.00
'530330047004027','17',3.00
'530330047004027','7',1.00
'530330047004028','2',7.00
'530330047004030','14',26.00
'530330047004030','6',11.00
'530330047004031','14',19.00
'530330047004031','16',5.00
'530330047004031','3',16.00
'530330047004031','7',1.00
'530330047004032','2',25.00
'530330048001006','14',1.00
'530330048001010','13',1.00
'530330048001017','7',3.00
'530330048001025','17',1.00
'530330048001030','17',2.00
'530330048002001','17',1.00
'530330048002004','17',1.00
'530330048002006','16',2.00
'530330048002007','12',1.00
'530330048002007','17',1.00
'530330048002009','7',3.00
'530330048002015','6',2.00
'530330048002021','17',1.00
'530330048002023','6',1.00
'530330048002025','11',2.00
'530330048003001','2',3.00
'530330048003003','13',16.00
'530330048003003','14',34.00
'530330048003003','15',40.00
'530330048003003','17',7.00
'530330048003005','14',17.00
'530330048003005','3',37.00
'530330048003009','12',32.00
'530330048003009','8',10.00
'530330048003010','13',3.00
'530330048003010','14',55.00
'530330048003010','17',9.00
'530330048003012','17',1.00
'530330048003015','17',19.00
'530330048003016','6',6.00
'530330048003019','3',9.00
'530330048003019','6',25.00
'530330048003024','14',1.00
'530330048003024','3',3.00
'530330048003026','3',75.00
'530330048003028','6',1.00
'530330048003028','7',1.00
'530330048003028','8',115.00
'530330048003029','3',40.00
'530330048003031','2',2.00
'530330048003031','3',29.00
'530330048003033','13',3.00
'530330048003033','2',6.00
'530330048003034','7',5.00
'530330048003035','2',12.00
'530330048003036','13',2.00
'530330048003043','13',18.00
'530330048003043','17',21.00
'530330048003043','2',1.00
'530330048003044','13',26.00
'530330048003044','17',23.00
'530330048003044','2',2.00
'530330048003045','13',30.00
'530330048003045','7',6.00
'530330048003047','6',1.00
'530330048003048','13',1.00
'530330048003048','2',10.00
'530330048003048','7',1.00
'530330048003049','13',5.00
'530330048003049','16',57.00
'530330048003049','17',11.00
'530330048003049','3',7.00
'530330048003049','7',78.00
'530330048003051','3',6.00
'530330048003052','13',6.00
'530330048003052','3',16.00
'530330048003052','6',4.00
'530330048003053','13',19.00
'530330048003053','14',31.00
'530330048003053','17',1.00
'530330048003053','2',14.00
'530330048003053','3',15.00
'530330048003053','7',21.00
'530330048003054','14',23.00
'530330048003054','17',3.00
'530330048003054','2',3.00
'530330048003055','13',6.00
'530330048003055','15',24.00
'530330048003055','16',6.00
'530330048003055','17',3.00
'530330048003056','11',30.00
'530330048003056','12',9.00
'530330048003056','13',73.00
'530330048003056','16',3.00
'530330048003056','6',7.00
'530330048003056','7',9.00
'530330048004000','12',22.00
'530330048004000','14',2.00
'530330048004000','7',6.00
'530330048004001','13',1.00
'530330048004001','17',1.00
'530330048004002','17',2.00
'530330048004002','8',1.00
'530330048004005','16',5.00
'530330048004006','12',1.00
'530330048004011','2',1.00
'530330048004012','17',13.00
'530330048004014','11',1.00
'530330048004014','17',6.00
'530330048004018','13',6.00
'530330048004018','17',25.00
'530330048004018','2',2.00
'530330048004018','3',22.00
'530330049001001','15',9.00
'530330049001004','16',1.00
'530330049001004','17',40.00
'530330049001005','13',4.00
'530330049001005','15',10.00
'530330049001006','13',1.00
'530330049001008','13',1.00
'530330049001010','13',1.00
'530330049001010','17',1.00
'530330049001012','12',10.00
'530330049001012','13',2.00
'530330049001012','2',8.00
'530330049001014','13',1.00
'530330049001017','12',2.00
'530330049001017','16',223.00
'530330049001018','2',1.00
'530330049001019','13',1.00
'530330049001022','12',2.00
'530330049001022','7',21.00
'530330049001023','7',3.00
'530330049002001','13',1.00
'530330049002002','11',1.00
'530330049002002','12',1.00
'530330049002002','6',6.00
'530330049002006','13',6.00
'530330049002011','13',4.00
'530330049002013','13',1.00
'530330049002017','12',9.00
'530330049002017','13',48.00
'530330049002017','14',37.00
'530330049002017','15',31.00
'530330049002017','16',12.00
'530330049002017','17',9.00
'530330049002017','3',1.00
'530330049002017','7',5.00
'530330049002017','8',4.00
'530330049002018','14',33.00
'530330049002018','3',1.00
'530330049002018','7',3.00
'530330049002019','13',72.00
'530330049002019','14',14.00
'530330049002019','17',1.00
'530330049002020','11',2.00
'530330049002020','13',12.00
'530330049002020','14',142.00
'530330049002020','17',17.00
'530330049002020','3',127.00
'530330049002020','6',22.00
'530330049002020','7',8.00
'530330049002021','1',3.00
'530330049002021','12',4.00
'530330049002021','13',180.00
'530330049002021','15',14.00
'530330049002021','16',5.00
'530330049002021','18',5.00
'530330049002021','2',77.00
'530330049002021','3',132.00
'530330049002021','6',38.00
'530330049002021','7',1.00
'530330049002022','12',3.00
'530330049002022','13',16.00
'530330049002022','14',112.00
'530330049002022','16',4.00
'530330049002022','17',8.00
'530330049002022','6',24.00
'530330049002022','7',14.00
'530330049002023','11',4.00
'530330049002023','12',7.00
'530330049002023','13',26.00
'530330049002023','14',92.00
'530330049002023','3',6.00
'530330049002023','6',3.00
'530330049002023','7',147.00
'530330049002024','11',379.00
'530330049002024','13',5.00
'530330049002024','16',8.00
'530330049002024','17',5.00
'530330049002024','7',41.00
'530330049002025','11',24.00
'530330049002025','13',53.00
'530330049002025','16',47.00
'530330049002025','17',17.00
'530330049003002','13',2.00
'530330049003002','2',1.00
'530330049003007','13',2.00
'530330049003008','17',1.00
'530330049003008','2',7.00
'530330049003009','14',16.00
'530330049003009','3',48.00
'530330049003009','6',1.00
'530330049003010','12',8.00
'530330049003010','14',77.00
'530330049003010','17',2.00
'530330049003010','2',1.00
'530330049003011','12',1.00
'530330049003011','17',2.00
'530330049003011','6',1.00
'530330049003012','12',7.00
'530330049003012','13',23.00
'530330049003012','14',26.00
'530330049003012','16',18.00
'530330049003012','17',11.00
'530330049003012','3',2.00
'530330049003012','6',10.00
'530330049003012','7',6.00
'530330049004000','14',24.00
'530330049004000','6',3.00
'530330049004002','13',1.00
'530330049004002','17',1.00
'530330049004003','3',20.00
'530330049004006','6',1.00
'530330049004008','6',1.00
'530330049004009','13',3.00
'530330049004009','14',23.00
'530330049004011','13',5.00
'530330049004017','2',2.00
'530330049004018','17',1.00
'530330049005007','12',1.00
'530330049005007','13',6.00
'530330049005007','16',5.00
'530330049005008','13',2.00
'530330049005008','16',18.00
'530330049005008','7',7.00
'530330049005009','6',1.00
'530330049005015','13',25.00
'530330049005015','17',16.00
'530330049005016','13',1.00
'530330049005016','2',23.00
'530330049005016','7',35.00
'530330049005017','14',1.00
'530330049005017','17',2.00
'530330049005017','6',5.00
'530330049005017','7',8.00
'530330049005018','12',3.00
'530330049005021','13',1.00
'530330049005021','17',1.00
'530330049005023','13',2.00
'530330049005023','6',2.00
'530330049005024','12',2.00
'530330049005024','6',4.00
'530330049005025','13',3.00
'530330049005025','14',9.00
'530330050001001','6',1.00
'530330050001003','14',11.00
'530330050001004','16',21.00
'530330050001008','12',2.00
'530330050001008','2',2.00
'530330050001009','13',5.00
'530330050001014','14',28.00
'530330050001016','16',10.00
'530330050001016','2',4.00
'530330050001021','13',1.00
'530330050001021','15',3.00
'530330050001021','17',1.00
'530330050001026','16',8.00
'530330050001029','13',21.00
'530330050001030','12',2.00
'530330050001031','3',6.00
'530330050001035','13',1.00
'530330050001035','14',34.00
'530330050001036','13',2.00
'530330050001036','7',3.00
'530330050001039','13',3.00
'530330050001040','12',5.00
'530330050001040','14',22.00
'530330050001040','17',6.00
'530330050001040','2',6.00
'530330050001040','7',5.00
'530330050001041','14',37.00
'530330050001041','16',2.00
'530330050001041','17',5.00
'530330050001041','3',1.00
'530330050001041','6',35.00
'530330050001042','13',3.00
'530330050001042','14',4.00
'530330050001042','7',4.00
'530330050001043','14',25.00
'530330050001043','16',123.00
'530330050001044','14',2.00
'530330050001044','16',5.00
'530330050001046','12',18.00
'530330050001046','13',9.00
'530330050001046','14',62.00
'530330050001046','3',2.00
'530330050001046','6',1.00
'530330050001046','7',11.00
'530330050001047','13',1.00
'530330050001047','17',1.00
'530330050001048','17',1.00
'530330050002003','11',18.00
'530330050002003','15',2.00
'530330050002003','16',21.00
'530330050002004','2',15.00
'530330050002004','7',1.00
'530330050002008','11',1.00
'530330050002008','12',16.00
'530330050002008','13',1.00
'530330050002008','3',2.00
'530330050002009','12',11.00
'530330050002009','14',6.00
'530330050002012','13',12.00
'530330050002012','17',3.00
'530330050002012','2',49.00
'530330050002012','7',44.00
'530330050002013','13',13.00
'530330050002013','16',41.00
'530330050002013','17',2.00
'530330050002014','17',1.00
'530330050003000','12',1.00
'530330050003000','14',64.00
'530330050003000','15',1.00
'530330050003000','7',3.00
'530330050003001','11',4.00
'530330050003001','14',1.00
'530330050003004','13',2.00
'530330050003004','6',1.00
'530330050003009','17',3.00
'530330050003009','7',5.00
'530330050003010','16',2.00
'530330050003012','17',1.00
'530330050003015','13',53.00
'530330050003016','12',1.00
'530330050003016','14',64.00
'530330050003016','17',8.00
'530330050003016','6',1.00
'530330050003016','7',4.00
'530330050003017','16',91.00
'530330050003017','17',5.00
'530330050003018','12',3.00
'530330050003018','16',3.00
'530330050003022','16',23.00
'530330050003024','11',1.00
'530330050003024','13',1.00
'530330050003024','6',1.00
'530330050003028','14',3.00
'530330050003028','6',6.00
'530330050003028','7',9.00
'530330051001001','11',1.00
'530330051001001','16',5.00
'530330051001002','15',66.00
'530330051001002','16',34.00
'530330051001002','17',50.00
'530330051001003','17',1.00
'530330051001004','17',2.00
'530330051001005','13',2.00
'530330051001005','17',2.00
'530330051001010','17',2.00
'530330051001011','13',6.00
'530330051001011','14',22.00
'530330051001011','16',1.00
'530330051001011','17',2.00
'530330051001012','14',33.00
'530330051001012','7',11.00
'530330051001013','12',3.00
'530330051001013','14',2.00
'530330051001013','15',3.00
'530330051001014','12',6.00
'530330051001014','13',14.00
'530330051001014','16',11.00
'530330051001014','7',12.00
'530330051001015','3',9.00
'530330051001016','16',36.00
'530330051001017','12',1.00
'530330051001017','16',41.00
'530330051001018','13',3.00
'530330051001018','14',26.00
'530330051001018','3',4.00
'530330051001018','8',5.00
'530330051001019','13',1.00
'530330051001019','16',8.00
'530330051001019','7',5.00
'530330051001020','11',130.00
'530330051001020','14',6.00
'530330051001020','6',1.00
'530330051001021','12',13.00
'530330051001021','14',16.00
'530330051001021','7',5.00
'530330051001022','12',7.00
'530330051001022','13',2.00
'530330051001022','14',33.00
'530330051001022','7',12.00
'530330051001023','7',21.00
'530330051001024','14',61.00
'530330051001024','16',58.00
'530330051001024','17',10.00
'530330051001024','6',2.00
'530330051001024','7',82.00
'530330051002004','3',2.00
'530330051002007','13',3.00
'530330051002008','13',1.00
'530330051002009','13',2.00
'530330051002010','17',1.00
'530330051002010','6',1.00
'530330051002011','17',3.00
'530330051002013','17',1.00
'530330051002014','13',6.00
'530330051002014','17',1.00
'530330051002015','17',1.00
'530330051002016','12',1.00
'530330051002017','17',1.00
'530330051002018','17',7.00
'530330051002018','3',1.00
'530330051002023','17',1.00
'530330051003000','13',3.00
'530330051003000','2',1.00
'530330051003001','17',2.00
'530330051003002','6',1.00
'530330051003004','13',5.00
'530330051003004','14',12.00
'530330051003007','17',1.00
'530330051003008','12',1.00
'530330051003009','17',2.00
'530330051003011','13',1.00
'530330051003013','13',2.00
'530330051003015','14',15.00
'530330051003016','11',2.00
'530330051003016','17',1.00
'530330051003019','13',17.00
'530330052001000','13',1.00
'530330052002000','11',5.00
'530330052002000','12',28.00
'530330052002000','13',1.00
'530330052002000','17',18.00
'530330052002000','7',98.00
'530330052002002','17',10.00
'530330052002003','12',20.00
'530330052002003','13',15.00
'530330052002003','14',1.00
'530330052002003','6',7.00
'530330052002015','11',2.00
'530330052002015','14',4.00
'530330052002015','2',3.00
'530330052002019','13',52.00
'530330052002019','17',9.00
'530330052002019','7',2.00
'530330052002019','8',8.00
'530330052002021','11',9.00
'530330052002021','12',3.00
'530330052002021','14',5.00
'530330052002021','2',12.00
'530330052003006','17',1.00
'530330052003008','17',1.00
'530330052003009','17',4.00
'530330052003009','2',3.00
'530330052003011','11',1.00
'530330052003011','6',2.00
'530330052003012','16',15.00
'530330052003020','12',4.00
'530330052003020','13',10.00
'530330052003020','16',4.00
'530330052003020','2',8.00
'530330052003021','6',1.00
'530330052003024','1',33.00
'530330052003024','13',5.00
'530330052003024','14',145.00
'530330052003024','2',28.00
'530330052003026','13',9.00
'530330052003032','6',1.00
'530330052003032','7',176.00
'530330052004004','6',2.00
'530330052004006','13',13.00
'530330052004006','17',1.00
'530330052004007','13',2.00
'530330052004007','17',1.00
'530330052004007','7',6.00
'530330052004009','7',1.00
'530330052004010','13',1.00
'530330052004010','14',13.00
'530330052004010','16',1.00
'530330052004010','7',9.00
'530330052004011','7',13.00
'530330052004012','12',3.00
'530330052004012','7',13.00
'530330052004014','12',13.00
'530330052004014','14',45.00
'530330052004015','13',23.00
'530330052004016','12',2.00
'530330052004016','14',15.00
'530330052004016','17',7.00
'530330052004017','14',5.00
'530330052004017','7',7.00
'530330052004018','14',5.00
'530330052004018','7',2.00
'530330052004023','12',1.00
'530330052005000','14',3.00
'530330052005000','7',30.00
'530330052005005','14',9.00
'530330052005005','17',11.00
'530330052005006','12',2.00
'530330052005006','13',31.00
'530330052005006','15',16.00
'530330052005006','17',9.00
'530330052005008','16',12.00
'530330052005008','17',1.00
'530330052005008','7',11.00
'530330052005009','12',11.00
'530330052005009','13',16.00
'530330052005009','14',9.00
'530330052005009','15',11.00
'530330052005009','16',25.00
'530330052005009','17',7.00
'530330052005009','3',9.00
'530330052005009','6',8.00
'530330052005009','7',85.00
'530330052005010','7',76.00
'530330052005010','8',3.00
'530330053011001','13',1.00
'530330053011001','14',1.00
'530330053011002','14',1.00
'530330053011002','15',2.00
'530330053011002','17',6.00
'530330053011004','13',2.00
'530330053011004','14',9.00
'530330053011004','17',16.00
'530330053011005','12',11.00
'530330053011005','14',12.00
'530330053011005','17',1.00
'530330053011007','14',25.00
'530330053011008','14',27.00
'530330053011008','17',6.00
'530330053011009','14',21.00
'530330053011009','17',1.00
'530330053012000','13',3.00
'530330053012000','14',3.00
'530330053012000','17',6.00
'530330053012000','7',5.00
'530330053012001','11',1.00
'530330053012001','12',5.00
'530330053012001','14',34.00
'530330053012001','16',26.00
'530330053012001','17',27.00
'530330053012001','3',4.00
'530330053012001','7',8.00
'530330053012002','12',23.00
'530330053012002','13',19.00
'530330053012002','14',46.00
'530330053012002','16',5.00
'530330053012002','17',25.00
'530330053012002','7',91.00
'530330053012003','13',7.00
'530330053012003','14',10.00
'530330053012003','17',17.00
'530330053012003','3',7.00
'530330053012003','7',42.00
'530330053012004','12',29.00
'530330053012004','13',2.00
'530330053012004','14',41.00
'530330053012004','15',1.00
'530330053012004','16',17.00
'530330053012004','17',5.00
'530330053012005','7',134.00
'530330053012006','7',38.00
'530330053012007','14',3.00
'530330053012007','16',6.00
'530330053012007','3',24.00
'530330053012008','12',7.00
'530330053012008','14',98.00
'530330053012008','7',5.00
'530330053012009','11',5.00
'530330053012009','12',8.00
'530330053012009','14',98.00
'530330053012009','16',12.00
'530330053012009','17',15.00
'530330053012009','7',67.00
'530330053012010','11',23.00
'530330053012010','12',43.00
'530330053012010','13',4.00
'530330053012010','14',15.00
'530330053012010','16',6.00
'530330053012010','17',19.00
'530330053012010','6',1.00
'530330053012010','7',114.00
'530330053012011','13',4.00
'530330053012011','16',79.00
'530330053012011','7',6.00
'530330053013000','12',3.00
'530330053013000','13',1.00
'530330053013000','16',5.00
'530330053013000','17',8.00
'530330053013000','6',1.00
'530330053013000','7',454.00
'530330053013001','12',32.00
'530330053013001','13',8.00
'530330053013001','14',29.00
'530330053013001','15',5.00
'530330053013001','17',4.00
'530330053013001','6',1.00
'530330053013001','7',83.00
'530330053013003','12',4.00
'530330053013003','13',17.00
'530330053013003','14',6.00
'530330053013003','16',43.00
'530330053013004','12',105.00
'530330053013004','13',5.00
'530330053013004','14',2.00
