blockgroup_geoid,industry_id,number_of_jobs
5.3033E+11,13,60
5.3033E+11,12,41
5.3033E+11,13,58
5.3033E+11,12,12
5.3033E+11,12,1
5.3033E+11,12,2
5.3033E+11,12,28
5.3033E+11,12,456
5.3033E+11,12,625
5.3033E+11,13,39
5.3033E+11,12,11
5.3033E+11,12,2
5.3033E+11,12,48
5.3033E+11,12,2
5.3033E+11,12,824
5.3033E+11,13,42
5.3033E+11,12,229
5.3033E+11,12,8
5.3033E+11,12,199
5.3033E+11,12,255
5.3033E+11,12,3
5.3033E+11,12,373
5.3033E+11,12,6
5.3033E+11,12,66
5.3033E+11,12,14
5.3033E+11,12,3
5.3033E+11,12,2
5.3033E+11,12,1
5.3033E+11,12,40
5.3033E+11,12,145
5.3033E+11,12,9
5.3033E+11,13,74
5.3033E+11,13,65
5.3033E+11,12,8
5.3033E+11,13,42
5.3033E+11,13,54
5.3033E+11,12,1
5.3033E+11,12,32
5.3033E+11,13,5
5.3033E+11,12,694
5.3033E+11,12,434
5.3033E+11,12,138
5.3033E+11,12,143
5.3033E+11,12,1
5.3033E+11,12,1675
5.3033E+11,12,6856
5.3033E+11,12,849
5.3033E+11,13,141
5.3033E+11,13,706
5.3033E+11,13,5
5.3033E+11,12,5392
5.3033E+11,12,100
5.3033E+11,12,7261
5.3033E+11,12,329
5.3033E+11,12,199
5.3033E+11,12,79
5.3033E+11,12,42
5.3033E+11,13,198
5.3033E+11,12,14
5.3033E+11,13,78
5.3033E+11,12,32
5.3033E+11,13,146
5.3033E+11,12,43
5.3033E+11,12,67
5.3033E+11,12,239
5.3033E+11,12,248
5.3033E+11,12,1041
5.3033E+11,12,4515
5.3033E+11,12,2846
5.3033E+11,13,852
5.3033E+11,13,59
5.3033E+11,12,5
5.3033E+11,12,27
5.3033E+11,12,45
5.3033E+11,13,94
5.3033E+11,12,2
5.3033E+11,13,64
5.3033E+11,12,12
5.3033E+11,13,181
5.3033E+11,12,12
5.3033E+11,12,11
5.3033E+11,12,2
5.3033E+11,13,42
5.3033E+11,13,106
5.3033E+11,13,76
5.3033E+11,12,13
5.3033E+11,13,216
5.3033E+11,12,46
5.3033E+11,12,23
5.3033E+11,12,229
5.3033E+11,13,87
5.3033E+11,12,20
5.3033E+11,12,29
5.3033E+11,13,81
5.3033E+11,12,3605
5.3033E+11,13,140
5.3033E+11,12,53
5.3033E+11,12,11
5.3033E+11,12,13
5.3033E+11,12,61
5.3033E+11,12,25
5.3033E+11,13,53
5.3033E+11,12,3
5.3033E+11,12,33
5.3033E+11,13,64
5.3033E+11,13,123
5.3033E+11,12,48
5.3033E+11,12,45
5.3033E+11,13,65
5.3033E+11,12,29
5.3033E+11,13,117
5.3033E+11,13,65
5.3033E+11,12,32
5.3033E+11,12,26
5.3033E+11,12,1
5.3033E+11,12,17
5.3033E+11,13,49
5.3033E+11,12,100
5.3033E+11,12,6
5.3033E+11,12,9
5.3033E+11,12,9
5.3033E+11,12,50
5.3033E+11,13,87
5.3033E+11,12,14
5.3033E+11,13,509
5.3033E+11,13,145
5.3033E+11,12,396
5.3033E+11,12,394
5.3033E+11,12,52
5.3033E+11,12,10
5.3033E+11,12,145
5.3033E+11,13,58
5.3033E+11,12,3
5.3033E+11,13,58
5.3033E+11,12,53
5.3033E+11,13,58
5.3033E+11,12,29
5.3033E+11,12,30
5.3033E+11,13,54
5.3033E+11,13,352
5.3033E+11,12,34
5.3033E+11,12,98
5.3033E+11,12,3
5.3033E+11,13,52
5.3033E+11,12,10
5.3033E+11,12,15
5.3033E+11,12,92
5.3033E+11,12,31
5.3033E+11,13,86
5.3033E+11,13,69
5.3033E+11,12,80
5.3033E+11,13,329
5.3033E+11,13,75
5.3033E+11,12,11
5.3033E+11,12,16
5.3033E+11,13,37
5.3033E+11,13,89
5.3033E+11,12,8
5.3033E+11,13,81
5.3033E+11,13,124
5.3033E+11,12,46
5.3033E+11,13,86
5.3033E+11,12,13
5.3033E+11,13,87
5.3033E+11,13,16
5.3033E+11,13,36
5.3033E+11,12,13
5.3033E+11,13,70
5.3033E+11,12,37
5.3033E+11,12,36
5.3033E+11,12,14
5.3033E+11,13,82
5.3033E+11,12,73
5.3033E+11,12,22
5.3033E+11,12,21
5.3033E+11,13,187
5.3033E+11,12,202
5.3033E+11,12,97
5.3033E+11,13,195
5.3033E+11,12,734
5.3033E+11,12,11
5.3033E+11,13,732
5.3033E+11,12,31
5.3033E+11,13,86
5.3033E+11,12,395
5.3033E+11,12,662
5.3033E+11,13,302
5.3033E+11,13,79
5.3033E+11,12,77
5.3033E+11,13,73
5.3033E+11,13,116
5.3033E+11,12,21
5.3033E+11,13,82
5.3033E+11,13,169
5.3033E+11,12,119
5.3033E+11,13,80
5.3033E+11,13,236
5.3033E+11,13,196
5.3033E+11,12,43
5.3033E+11,12,29
5.3033E+11,13,236
5.3033E+11,12,246
5.3033E+11,13,88
5.3033E+11,12,147
5.3033E+11,13,902
5.3033E+11,12,49
5.3033E+11,12,5057
5.3033E+11,13,78
5.3033E+11,12,12
5.3033E+11,13,68
5.3033E+11,13,88
5.3033E+11,13,282
5.3033E+11,12,2
5.3033E+11,13,3
5.3033E+11,12,26
5.3033E+11,13,73
5.3033E+11,12,215
5.3033E+11,12,5
5.3033E+11,13,232
5.3033E+11,13,93
5.3033E+11,13,68
5.3033E+11,13,214
5.3033E+11,13,86
5.3033E+11,13,173
5.3033E+11,13,79
5.3033E+11,12,9
5.3033E+11,12,18
5.3033E+11,12,9
5.3033E+11,12,29
5.3033E+11,13,64
5.3033E+11,12,4
5.3033E+11,12,75
5.3033E+11,12,15
5.3033E+11,13,151
5.3033E+11,12,287
5.3033E+11,12,92
5.3033E+11,12,120
5.3033E+11,13,70
5.3033E+11,13,522
5.3033E+11,12,26
5.3033E+11,13,108
5.3033E+11,13,75
5.3033E+11,13,260
5.3033E+11,13,130
5.3033E+11,13,223
5.3033E+11,12,26
5.3033E+11,13,62
5.3033E+11,13,62
5.3033E+11,13,66
5.3033E+11,13,95
5.3033E+11,12,2
5.3033E+11,12,34
5.3033E+11,12,25
5.3033E+11,13,85
5.3033E+11,13,77
5.3033E+11,13,348
5.3033E+11,13,73
5.3033E+11,12,45
5.3033E+11,13,117
5.3033E+11,12,42
5.3033E+11,12,109
5.3033E+11,12,27
5.3033E+11,13,199
5.3033E+11,12,17
5.3033E+11,12,14
5.3033E+11,13,71
5.3033E+11,12,202
5.3033E+11,13,931
5.3033E+11,12,166
5.3033E+11,13,116
5.3033E+11,12,16
5.3033E+11,13,81
5.3033E+11,12,19
5.3033E+11,13,82
5.3033E+11,12,8
5.3033E+11,12,99
5.3033E+11,13,380
5.3033E+11,12,13
5.3033E+11,12,26
5.3033E+11,13,105
5.3033E+11,13,121
5.3033E+11,12,11
5.3033E+11,13,194
5.3033E+11,13,97
5.3033E+11,12,385
5.3033E+11,13,71
5.3033E+11,12,402
5.3033E+11,12,357
5.3033E+11,12,25
5.3033E+11,13,198
5.3033E+11,12,92
5.3033E+11,12,53
5.3033E+11,12,59
5.3033E+11,12,36
5.3033E+11,12,1018
5.3033E+11,12,2
5.3033E+11,13,83
5.3033E+11,12,3
5.3033E+11,12,7
5.3033E+11,12,83
5.3033E+11,12,5
5.3033E+11,12,7
5.3033E+11,12,37
5.3033E+11,13,174
5.3033E+11,12,4
5.3033E+11,12,25
5.3033E+11,13,62
5.3033E+11,12,74
5.3033E+11,13,2
5.3033E+11,12,29
5.3033E+11,12,161
5.3033E+11,13,222
5.3033E+11,12,10
5.3033E+11,13,198
5.3033E+11,13,70
5.3033E+11,13,119
5.3033E+11,13,69
5.3033E+11,13,155
5.3033E+11,13,192
5.3033E+11,12,23
5.3033E+11,13,114
5.3033E+11,12,17
5.3033E+11,13,292
5.3033E+11,12,11
5.3033E+11,13,87
5.3033E+11,13,88
5.3033E+11,12,17
5.3033E+11,12,9
5.3033E+11,12,41
5.3033E+11,12,17
5.3033E+11,13,77
5.3033E+11,12,21
5.3033E+11,13,83
5.3033E+11,12,10
5.3033E+11,12,2
5.3033E+11,13,92
5.3033E+11,13,190
5.3033E+11,13,79
5.3033E+11,12,13
5.3033E+11,13,94
5.3033E+11,13,76
5.3033E+11,13,82
5.3033E+11,12,12
5.3033E+11,13,259
5.3033E+11,12,457
5.3033E+11,12,4
5.3033E+11,12,61
5.3033E+11,13,163
5.3033E+11,12,4
5.3033E+11,12,36
5.3033E+11,13,79
5.3033E+11,12,38
5.3033E+11,13,2
5.3033E+11,12,13
5.3033E+11,13,389
5.3033E+11,13,98
5.3033E+11,12,65
5.3033E+11,12,612
5.3033E+11,12,10
5.3033E+11,13,87
5.3033E+11,13,79
5.3033E+11,12,14
5.3033E+11,12,42
5.3033E+11,13,85
5.3033E+11,12,21
5.3033E+11,13,241
5.3033E+11,13,174
5.3033E+11,12,4084
5.3033E+11,13,61
5.3033E+11,13,159
5.3033E+11,12,61
5.3033E+11,13,114
5.3033E+11,13,62
5.3033E+11,13,74
5.3033E+11,12,10
5.3033E+11,12,1995
5.3033E+11,13,686
5.3033E+11,13,76
5.3033E+11,12,63
5.3033E+11,12,42
5.3033E+11,13,47
5.3033E+11,12,19
5.3033E+11,12,1054
5.3033E+11,13,113
5.3033E+11,12,16
5.3033E+11,13,86
5.3033E+11,12,46
5.3033E+11,13,82
5.3033E+11,12,22
5.3033E+11,13,78
5.3033E+11,12,50
5.3033E+11,13,263
5.3033E+11,13,89
5.3033E+11,13,2
5.3033E+11,13,80
5.3033E+11,12,35
5.3033E+11,12,108
5.3033E+11,12,860
5.3033E+11,13,240
5.3033E+11,13,74
5.3033E+11,12,58
5.3033E+11,13,109
5.3033E+11,12,28
5.3033E+11,12,13
5.3033E+11,13,62
5.3033E+11,12,13
5.3033E+11,13,82
5.3033E+11,12,40
5.3033E+11,12,2
5.3033E+11,12,30
5.3033E+11,12,50
5.3033E+11,13,257
5.3033E+11,12,30
5.3033E+11,12,43
5.3033E+11,12,2
5.3033E+11,13,95
5.3033E+11,13,77
5.3033E+11,13,57
5.3033E+11,12,206
5.3033E+11,12,111
5.3033E+11,12,55
5.3033E+11,13,273
5.3033E+11,12,3
5.3033E+11,12,24
5.3033E+11,12,215
5.3033E+11,13,73
5.3033E+11,12,47
5.3033E+11,12,10
5.3033E+11,13,99
5.3033E+11,12,4044
5.3033E+11,13,54
5.3033E+11,12,11
5.3033E+11,13,95
5.3033E+11,13,284
5.3033E+11,12,35
5.3033E+11,12,82
5.3033E+11,13,64
5.3033E+11,12,30
5.3033E+11,13,73
5.3033E+11,12,14
5.3033E+11,13,188
5.3033E+11,13,76
5.3033E+11,12,132
5.3033E+11,12,141
5.3033E+11,12,189
5.3033E+11,13,67
5.3033E+11,12,240
5.3033E+11,12,13
5.3033E+11,12,25
5.3033E+11,13,360
5.3033E+11,13,84
5.3033E+11,12,3
5.3033E+11,13,754
5.3033E+11,13,73
5.3033E+11,12,63
5.3033E+11,12,21
5.3033E+11,13,94
5.3033E+11,13,88
5.3033E+11,12,119
5.3033E+11,13,120
5.3033E+11,12,556
5.3033E+11,13,12
5.3033E+11,13,80
5.3033E+11,12,231
5.3033E+11,12,1131
5.3033E+11,12,103
5.3033E+11,12,4
5.3033E+11,13,75
5.3033E+11,12,17
5.3033E+11,13,92
5.3033E+11,13,62
5.3033E+11,13,66
5.3033E+11,13,256
5.3033E+11,13,78
5.3033E+11,12,179
5.3033E+11,13,69
5.3033E+11,13,143
5.3033E+11,13,63
5.3033E+11,13,82
5.3033E+11,13,90
5.3033E+11,12,77
5.3033E+11,13,78
5.3033E+11,13,94
5.3033E+11,13,74
5.3033E+11,13,259
5.3033E+11,13,26
5.3033E+11,13,335
5.3033E+11,13,84
5.3033E+11,12,22
5.3033E+11,13,244
5.3033E+11,13,38
5.3033E+11,12,37
5.3033E+11,13,229
5.3033E+11,12,599
5.3033E+11,12,144
5.3033E+11,13,101
5.3033E+11,12,146
5.3033E+11,12,91
5.3033E+11,13,90
5.3033E+11,13,168
5.3033E+11,12,19
5.3033E+11,13,76
5.3033E+11,13,192
5.3033E+11,13,141
5.3033E+11,12,34
5.3033E+11,13,62
5.3033E+11,13,77
5.3033E+11,12,7
5.3033E+11,13,64
5.3033E+11,13,63
5.3033E+11,12,14
5.3033E+11,13,90
5.3033E+11,12,1
5.3033E+11,12,71
5.3033E+11,13,105
5.3033E+11,13,82
5.3033E+11,13,67
5.3033E+11,12,2
5.3033E+11,13,66
5.3033E+11,12,7
5.3033E+11,13,69
5.3033E+11,12,114
5.3033E+11,12,15
5.3033E+11,13,91
5.3033E+11,13,83
5.3033E+11,13,278
5.3033E+11,13,96
5.3033E+11,12,7
5.3033E+11,13,169
5.3033E+11,12,58
5.3033E+11,13,150
5.3033E+11,13,61
5.3033E+11,13,62
5.3033E+11,12,6
5.3033E+11,13,65
5.3033E+11,13,60
5.3033E+11,12,19
5.3033E+11,13,24
5.3033E+11,12,63
5.3033E+11,13,79
5.3033E+11,12,83
5.3033E+11,13,87
5.3033E+11,13,72
5.3033E+11,13,67
5.3033E+11,12,786
5.3033E+11,13,102
5.3033E+11,12,471
5.3033E+11,13,174
5.3033E+11,12,14
5.3033E+11,13,154
5.3033E+11,13,61
5.3033E+11,12,44
5.3033E+11,12,90
5.3033E+11,13,37
5.3033E+11,12,273
5.3033E+11,12,75
5.3033E+11,13,105
5.3033E+11,12,50
5.3033E+11,13,117
5.3033E+11,12,195
5.3033E+11,13,627
5.3033E+11,12,98
5.3033E+11,13,69
5.3033E+11,12,117
5.3033E+11,13,121
5.3033E+11,13,75
5.3033E+11,12,22
5.3033E+11,13,200
5.3033E+11,12,7
5.3033E+11,12,21
5.3033E+11,12,14
5.3033E+11,12,53
5.3033E+11,13,94
5.3033E+11,13,261
5.3033E+11,13,113
5.3033E+11,12,1816
5.3033E+11,13,90
5.3033E+11,12,15
5.3033E+11,12,436
5.3033E+11,12,8
5.3033E+11,13,62
5.3033E+11,12,1271
5.3033E+11,13,243
5.3033E+11,12,12
5.3033E+11,13,63
5.3033E+11,12,27
5.3033E+11,12,13
5.3033E+11,13,865
5.3033E+11,12,22
5.3033E+11,13,188
5.3033E+11,13,93
5.3033E+11,12,8
5.3033E+11,13,445
5.3033E+11,12,173
5.3033E+11,13,38
5.3033E+11,12,106
5.3033E+11,13,63
5.3033E+11,12,29
5.3033E+11,12,6
5.3033E+11,12,21
5.3033E+11,13,86
5.3033E+11,12,6
5.3033E+11,13,212
5.3033E+11,12,39
5.3033E+11,12,13
5.3033E+11,12,25
5.3033E+11,13,62
5.3033E+11,12,32
5.3033E+11,13,453
5.3033E+11,13,61
5.3033E+11,12,5
5.3033E+11,12,10
5.3033E+11,13,63
5.3033E+11,12,16
5.3033E+11,13,169
5.3033E+11,12,15
5.3033E+11,13,86
5.3033E+11,13,91
5.3033E+11,13,234
5.3033E+11,12,104
5.3033E+11,12,20
5.3033E+11,12,18
5.3033E+11,13,66
5.3033E+11,12,116
5.3033E+11,13,152
5.3033E+11,12,294
5.3033E+11,13,67
5.3033E+11,13,87
5.3033E+11,12,50
5.3033E+11,13,61
5.3033E+11,13,55
5.3033E+11,13,114
5.3033E+11,13,270
5.3033E+11,13,137
5.3033E+11,12,5
5.3033E+11,13,67
5.3033E+11,13,99
5.3033E+11,13,74
5.3033E+11,13,55
5.3033E+11,13,220
5.3033E+11,12,120
5.3033E+11,13,164
5.3033E+11,12,66
5.3033E+11,13,360
5.3033E+11,12,36
5.3033E+11,12,16
5.3033E+11,13,371
5.3033E+11,12,283
5.3033E+11,12,259
5.3033E+11,12,57
5.3033E+11,13,327
5.3033E+11,12,31
5.3033E+11,12,14
5.3033E+11,12,29
5.3033E+11,13,136
5.3033E+11,12,12
5.3033E+11,13,89
5.3033E+11,13,179
5.3033E+11,12,1
5.3033E+11,13,65
5.3033E+11,12,184
5.3033E+11,13,99
5.3033E+11,12,13
5.3033E+11,13,158
5.3033E+11,12,23
5.3033E+11,12,96
5.3033E+11,13,88
5.3033E+11,12,22
5.3033E+11,13,88
5.3033E+11,12,15
5.3033E+11,13,78
5.3033E+11,12,39
5.3033E+11,12,68
5.3033E+11,13,101
5.3033E+11,13,232
5.3033E+11,13,267
5.3033E+11,12,13
5.3033E+11,13,2
5.3033E+11,12,26
5.3033E+11,13,65
5.3033E+11,13,91
5.3033E+11,13,58
5.3033E+11,12,155
5.3033E+11,12,190
5.3033E+11,12,5
5.3033E+11,13,66
5.3033E+11,13,73
5.3033E+11,12,13
5.3033E+11,12,10
5.3033E+11,13,73
5.3033E+11,12,31
5.3033E+11,13,298
5.3033E+11,12,10
5.3033E+11,12,60
5.3033E+11,12,93
5.3033E+11,12,39
5.3033E+11,13,176
5.3033E+11,13,67
5.3033E+11,13,85
5.3033E+11,13,65
5.3033E+11,13,72
5.3033E+11,13,248
5.3033E+11,13,62
5.3033E+11,13,142
5.3033E+11,13,127
5.3033E+11,12,5
5.3033E+11,13,68
5.3033E+11,12,11
5.3033E+11,12,13
5.3033E+11,13,60
5.3033E+11,13,146
5.3033E+11,13,170
5.3033E+11,12,473
5.3033E+11,12,11
5.3033E+11,13,273
5.3033E+11,12,204
5.3033E+11,13,84
5.3033E+11,12,2
5.3033E+11,13,69
5.3033E+11,13,88
5.3033E+11,12,37
5.3033E+11,13,151
5.3033E+11,12,63
5.3033E+11,13,95
5.3033E+11,12,3
5.3033E+11,13,70
5.3033E+11,12,7
5.3033E+11,12,47
5.3033E+11,13,175
5.3033E+11,12,6
5.3033E+11,12,35
5.3033E+11,13,136
5.3033E+11,12,14
5.3033E+11,12,120
5.3033E+11,12,669
5.3033E+11,13,128
5.3033E+11,12,6
5.3033E+11,13,92
5.3033E+11,12,1257
5.3033E+11,13,57
5.3033E+11,13,470
5.3033E+11,13,79
5.3033E+11,12,57
5.3033E+11,13,93
5.3033E+11,12,38
5.3033E+11,13,94
5.3033E+11,12,28
5.3033E+11,12,49
5.3033E+11,12,16
5.3033E+11,12,29
5.3033E+11,12,16
5.3033E+11,13,27
5.30351E+11,13,73
5.30351E+11,12,174
5.30351E+11,13,75
5.30351E+11,12,80
5.30351E+11,12,24
5.30351E+11,12,2
5.30351E+11,13,128
5.30351E+11,12,284
5.30351E+11,12,118
5.30351E+11,13,822
5.30351E+11,12,34
5.30351E+11,13,68
5.30351E+11,12,287
5.30351E+11,13,67
5.30351E+11,12,232
5.30351E+11,13,76
5.30351E+11,12,32
5.30351E+11,12,182
5.30351E+11,13,262
5.30351E+11,12,55
5.30351E+11,13,76
5.30351E+11,12,23
5.30351E+11,12,4
5.30351E+11,12,341
5.30351E+11,13,78
5.30351E+11,13,61
5.30351E+11,12,3
5.30351E+11,12,13777
5.30351E+11,12,3
5.30351E+11,12,685
5.30351E+11,13,81
5.30351E+11,12,6
5.30351E+11,12,87
5.30351E+11,12,56
5.30351E+11,13,308
5.30351E+11,12,6
5.30351E+11,12,2
5.30351E+11,13,82
5.30351E+11,12,2
5.30351E+11,12,51
5.30351E+11,12,8
5.30351E+11,13,78
5.30351E+11,12,3498
5.30351E+11,13,83
5.30351E+11,12,81
5.30351E+11,12,276
5.30351E+11,12,155
5.30351E+11,12,8
5.30351E+11,12,78
5.30351E+11,13,163
5.30351E+11,13,224
5.30351E+11,12,6
5.30351E+11,12,2
5.30351E+11,13,75
5.30351E+11,12,1
5.30351E+11,13,144
5.30351E+11,12,29
5.30351E+11,12,26
5.30351E+11,12,535
5.30351E+11,12,2
5.30351E+11,12,132
5.30351E+11,13,359
5.30351E+11,12,36
5.30351E+11,12,94
5.30351E+11,13,65
5.30351E+11,12,1803
5.30351E+11,13,54
5.30351E+11,12,72
5.30351E+11,12,104
5.30351E+11,13,459
5.30351E+11,12,93
5.30351E+11,13,69
5.30351E+11,12,25
5.30351E+11,12,32
5.30351E+11,13,67
5.30351E+11,13,175
5.30351E+11,12,2
5.30351E+11,13,53
5.30351E+11,12,14
5.30351E+11,13,167
5.30351E+11,12,12
5.30351E+11,13,102
5.30351E+11,12,64
5.30351E+11,13,189
5.30351E+11,12,16
5.30351E+11,13,70
5.30351E+11,12,2
5.30351E+11,13,75
5.30351E+11,13,40
5.30351E+11,13,71
5.30351E+11,13,56
5.30351E+11,12,49
5.30351E+11,12,9
5.30351E+11,13,69
5.30351E+11,12,3
5.30351E+11,12,4
5.30351E+11,12,104
5.30351E+11,13,86
5.30351E+11,12,40
5.30351E+11,12,211
5.30351E+11,12,3
5.30351E+11,13,63
5.30351E+11,12,830
5.30351E+11,13,28
5.30351E+11,13,96
5.30351E+11,12,20
5.30351E+11,12,2
5.30351E+11,12,74
5.30351E+11,13,189
5.30351E+11,12,66
5.30351E+11,13,327
5.30351E+11,12,4
5.30351E+11,12,316
5.30351E+11,13,338
5.30351E+11,12,21
5.30351E+11,12,58
5.30351E+11,13,70
5.30351E+11,12,5
5.30351E+11,13,160
5.30351E+11,12,10
5.30351E+11,12,45
5.30351E+11,13,77
5.30351E+11,13,63
5.30351E+11,12,8
5.30351E+11,13,59
5.30351E+11,12,17
5.30351E+11,13,62
5.30359E+11,12,3
5.30359E+11,12,1077
5.30359E+11,12,14
5.30359E+11,13,60
5.30531E+11,12,740
5.30531E+11,12,36
5.30531E+11,13,54
5.30531E+11,12,20
5.30531E+11,12,7
5.30531E+11,13,44
5.30531E+11,12,51
5.30531E+11,13,47
5.30531E+11,13,39
5.30531E+11,13,71
5.30531E+11,13,49
5.30531E+11,13,69
5.30531E+11,13,52
5.30531E+11,13,46
5.30531E+11,13,54
5.30531E+11,12,163
5.30531E+11,13,112
5.30531E+11,13,43
5.30531E+11,13,54
5.30531E+11,13,81
5.30531E+11,12,7
5.30531E+11,13,810
5.30531E+11,12,930
5.30531E+11,13,147
5.30531E+11,13,55
5.30531E+11,12,1
5.30531E+11,13,76
5.30531E+11,12,170
5.30531E+11,13,64
5.30531E+11,12,11
5.30531E+11,12,987
5.30531E+11,13,925
5.30531E+11,12,3
5.30531E+11,12,21
5.30531E+11,13,140
5.30531E+11,12,1606
5.30531E+11,13,71
5.30531E+11,12,714
5.30531E+11,12,203
5.30531E+11,13,712
5.30531E+11,13,60
5.30531E+11,12,551
5.30531E+11,13,69
5.30531E+11,12,126
5.30531E+11,13,167
5.30531E+11,13,68
5.30531E+11,13,29
5.30531E+11,12,760
5.30531E+11,13,69
5.30531E+11,12,2
5.30531E+11,13,68
5.30531E+11,13,60
5.30531E+11,12,12
5.30531E+11,13,74
5.30531E+11,12,15
5.30531E+11,13,60
5.30531E+11,12,2
5.30531E+11,13,74
5.30531E+11,13,47
5.30531E+11,12,1349
5.30531E+11,13,102
5.30531E+11,12,1309
5.30531E+11,13,26
5.30531E+11,12,65
5.30531E+11,12,194
5.30531E+11,12,26
5.30531E+11,12,13
5.30531E+11,13,217
5.30531E+11,12,7
5.30531E+11,13,64
5.30531E+11,13,61
5.30531E+11,13,127
5.30531E+11,13,54
5.30531E+11,13,43
5.30531E+11,12,124
5.30531E+11,13,63
5.30531E+11,13,58
5.30531E+11,13,83
5.30531E+11,12,8
5.30531E+11,13,84
5.30531E+11,13,66
5.30531E+11,13,46
5.30531E+11,12,5
5.30531E+11,13,51
5.30531E+11,12,8
5.30531E+11,12,8
5.30531E+11,12,22
5.30531E+11,13,79
5.30531E+11,13,289
5.30531E+11,12,9
5.30531E+11,13,34
5.30531E+11,12,2
5.30531E+11,12,7
5.30531E+11,12,44
5.30531E+11,12,689
5.30531E+11,13,282
5.30531E+11,13,158
5.30531E+11,12,23
5.30531E+11,13,70
5.30531E+11,13,72
5.30531E+11,12,4
5.30531E+11,13,66
5.30531E+11,12,144
5.30531E+11,12,57
5.30531E+11,13,326
5.30531E+11,13,63
5.30531E+11,12,23
5.30531E+11,12,18
5.30531E+11,13,75
5.30531E+11,12,9
5.30531E+11,13,99
5.30531E+11,13,65
5.30531E+11,12,26
5.30531E+11,13,70
5.30531E+11,12,22
5.30531E+11,13,102
5.30531E+11,13,74
5.30531E+11,12,154
5.30531E+11,12,31
5.30531E+11,13,96
5.30531E+11,12,71
5.30531E+11,13,226
5.30531E+11,13,103
5.30531E+11,12,17
5.30531E+11,12,15
5.30531E+11,13,60
5.30531E+11,12,31
5.30531E+11,13,85
5.30531E+11,13,71
5.30531E+11,12,22
5.30531E+11,13,157
5.30531E+11,13,84
5.30531E+11,12,28
5.30531E+11,13,79
5.30531E+11,12,64
5.30531E+11,13,251
5.30531E+11,13,176
5.30531E+11,12,36
5.30531E+11,13,101
5.30531E+11,12,13
5.30531E+11,12,102
5.30531E+11,12,11
5.30531E+11,13,278
5.30531E+11,12,13
5.30531E+11,12,116
5.30531E+11,12,175
