"FIPS","CDP_id","Estimate"
"033","033rmd",2992.00
"033","5301290",79.00
"033","5303180",1348.00
"033","5305210",4849.00
"033","5306330",81.00
"033","5307397",36.00
"033","5308552",163.00
"033","5308850",713.00
"033","5310215",71.00
"033","5314940",494.00
"033","5315290",211.00
"033","5317635",463.00
"033","5319035",251.00
"033","5319420",102.00
"033","5319515",397.00
"033","5319857",201.00
"033","5322045",450.00
"033","5323160",299.00
"033","5323515",1894.00
"033","5331495",181.00
"033","5333380",393.00
"033","5333805",1034.00
"033","5335170",426.00
"033","5335415",1980.00
"033","5335835",290.00
"033","5335940",2012.00
"033","5336100",140.00
"033","5337270",177.00
"033","5337420",177.00
"033","5337430",188.00
"033","5337567",190.00
"033","5343150",360.00
"033","5344725",84.00
"033","5345005",920.00
"033","5348645",153.00
"033","5349415",142.00
"033","5349485",194.00
"033","5352495",93.00
"033","5357535",1964.00
"033","5357745",1694.00
"033","5358865",185.00
"033","5361115",645.00
"033","5362288",751.00
"033","5363000",27212.00
"033","5363960",1565.00
"033","5365205",164.00
"033","5372625",681.00
"033","5373307",383.00
"033","5374305",913.00
"033","5378225",164.00
"033","5379590",730.00
"035","035rmd",2386.00
"035","5303736",1430.00
"035","5304100",52.00
"035","5307695",962.00
"035","5319770",97.00
"035","5335625",18.00
"035","5335870",176.00
"035","5353440",103.00
"035","5355612",33.00
"035","5355785",475.00
"035","5355995",401.00
"035","5364365",801.00
"035","5369170",59.00
"035","5372205",138.00
"053","053rmd",2490.00
"053","5301045",0.00
"053","5302910",341.00
"053","5307170",334.00
"053","5308570",97.00
"053","5313215",201.00
"053","5318965",76.00
"053","5320260",222.00
"053","5320645",186.00
"053","5320890",0.00
"053","5321205",123.00
"053","5323795",391.00
"053","5323830",17.00
"053","5323970",90.00
"053","5324915",279.00
"053","5325475",226.00
"053","5326735",786.00
"053","5327785",227.00
"053","5335450",0.00
"053","5337920",177.00
"053","5338038",1241.00
"053","5341155",32.00
"053","5345495",124.00
"053","5346020",259.00
"053","5352005",133.00
"053","5353335",537.00
"053","5356660",27.00
"053","5356695",1468.00
"053","5359880",85.00
"053","5365922",672.00
"053","5366255",462.00
"053","5367770",94.00
"053","5368365",146.00
"053","5368410",19.00
"053","5368435",317.00
"053","5370000",5911.00
"053","5373465",840.00
"053","5375905",177.00
"053","5379555",141.00
"061","061rmd",2917.00
"061","5301185",97.00
"061","5302585",403.00
"061","5307380",1100.00
"061","5307395",229.00
"061","5319630",217.00
"061","5320750",1686.00
"061","5322640",3073.00
"061","5327995",54.00
"061","5330030",0.00
"061","5337077",0.00
"061","5337900",328.00
"061","5337917",122.00
"061","5338420",112.00
"061","5340840",1107.00
"061","5342415",315.00
"061","5343815",215.00
"061","5343955",1203.00
"061","5345865",293.00
"061","5345870",178.00
"061","5346685",311.00
"061","5347490",170.00
"061","5347735",471.00
"061","5349940",255.00
"061","5349992",0.00
"061","5354213",78.00
"061","5364380",216.00
"061","5365170",329.00
"061","5367455",158.00
"061","5368260",136.00
