"FIPS","Sector_Code","SectorJobs"
"033","HC06_EST_VC02",790.00
"033","HC06_EST_VC03",7185.00
"033","HC06_EST_VC04",1818.00
"033","HC06_EST_VC05",1275.00
"033","HC06_EST_VC06",3996.00
"033","HC06_EST_VC07",1839.00
"033","HC06_EST_VC08",1222.00
"033","HC06_EST_VC09",5847.00
"033","HC06_EST_VC10",16863.00
"033","HC06_EST_VC11",8420.00
"033","HC06_EST_VC12",4550.00
"033","HC06_EST_VC13",7474.00
"035","HC06_EST_VC02",33.00
"035","HC06_EST_VC03",1117.00
"035","HC06_EST_VC04",219.00
"035","HC06_EST_VC05",93.00
"035","HC06_EST_VC06",486.00
"035","HC06_EST_VC07",213.00
"035","HC06_EST_VC08",143.00
"035","HC06_EST_VC09",631.00
"035","HC06_EST_VC10",1781.00
"035","HC06_EST_VC11",882.00
"035","HC06_EST_VC12",511.00
"035","HC06_EST_VC13",1024.00
"053","HC06_EST_VC02",316.00
"053","HC06_EST_VC03",2809.00
"053","HC06_EST_VC04",573.00
"053","HC06_EST_VC05",475.00
"053","HC06_EST_VC06",1518.00
"053","HC06_EST_VC07",633.00
"053","HC06_EST_VC08",243.00
"053","HC06_EST_VC09",1803.00
"053","HC06_EST_VC10",3846.00
"053","HC06_EST_VC11",2551.00
"053","HC06_EST_VC12",1100.00
"053","HC06_EST_VC13",3082.00
"061","HC06_EST_VC02",390.00
"061","HC06_EST_VC03",2953.00
"061","HC06_EST_VC04",629.00
"061","HC06_EST_VC05",310.00
"061","HC06_EST_VC06",1361.00
"061","HC06_EST_VC07",426.00
"061","HC06_EST_VC08",178.00
"061","HC06_EST_VC09",1524.00
"061","HC06_EST_VC10",3263.00
"061","HC06_EST_VC11",1566.00
"061","HC06_EST_VC12",653.00
"061","HC06_EST_VC13",2521.00
