"census_2010_block_group_id",census_block_group_id,census_tract_id
"530330001001",1137,1
"530330001002",1229,1
"530330001003",1136,1
"530330001004",1159,1
"530330001005",1135,1
"530330002001",1276,2
"530330002002",391,2
"530330002003",1245,2
"530330002004",998,2
"530330002005",954,2
"530330002006",760,2
"530330003001",305,3
"530330003002",1144,3
"530330004011",268,4
"530330004012",791,4
"530330004013",269,4
"530330004021",1243,5
"530330004022",839,5
"530330004023",678,5
"530330004024",985,5
"530330005001",845,6
"530330005002",869,6
"530330005003",988,6
"530330006001",1246,7
"530330006002",819,7
"530330006003",1205,7
"530330006004",544,7
"530330006005",1342,7
"530330006006",818,7
"530330007001",1140,8
"530330007002",617,8
"530330007003",1263,8
"530330007004",1390,8
"530330008001",814,9
"530330008002",1385,9
"530330009001",815,10
"530330009002",1384,10
"530330010001",792,11
"530330010002",1369,11
"530330011001",1444,12
"530330011002",1402,12
"530330012001",1022,13
"530330012002",1392,13
"530330012003",1370,13
"530330012004",1391,13
"530330012005",455,13
"530330013001",763,14
"530330013002",1345,14
"530330013003",419,14
"530330014001",1100,15
"530330014002",1006,15
"530330014003",148,15
"530330014004",852,15
"530330015001",609,16
"530330015002",610,16
"530330016001",613,17
"530330016002",676,17
"530330016003",511,17
"530330017011",895,18
"530330017012",806,18
"530330017013",1168,18
"530330017021",912,19
"530330017022",896,19
"530330017023",1184,19
"530330017024",659,19
"530330018001",848,20
"530330018002",906,20
"530330018003",1169,20
"530330019001",854,21
"530330019002",1343,21
"530330019003",1296,21
"530330020001",1403,22
"530330020002",1433,22
"530330020003",1432,22
"530330021001",1181,23
"530330021002",1180,23
"530330021003",599,23
"530330022001",249,24
"530330022002",250,24
"530330022003",600,24
"530330022004",345,24
"530330024001",525,25
"530330024002",1437,25
"530330024003",1436,25
"530330025001",592,26
"530330025002",68,26
"530330026001",593,27
"530330026002",1400,27
"530330026003",648,27
"530330026004",647,27
"530330027001",646,28
"530330027002",1311,28
"530330027003",707,28
"530330027004",457,28
"530330028001",126,29
"530330028002",1379,29
"530330028003",708,29
"530330028004",1420,29
"530330029001",1207,30
"530330029002",216,30
"530330029003",218,30
"530330030001",217,31
"530330030002",607,31
"530330030003",219,31
"530330030004",1043,31
"530330031001",344,32
"530330031002",342,32
"530330031003",343,32
"530330031004",1049,32
"530330031005",341,32
"530330032001",1386,33
"530330032002",611,33
"530330032003",604,33
"530330032004",1026,33
"530330032005",1025,33
"530330032006",524,33
"530330032007",615,33
"530330033001",1308,34
"530330033002",187,34
"530330033003",608,34
"530330033004",1387,34
"530330033005",1440,34
"530330034001",784,35
"530330034002",612,35
"530330034003",603,35
"530330035001",709,36
"530330035002",1439,36
"530330035003",602,36
"530330036001",826,37
"530330036002",861,37
"530330036003",1050,37
"530330036004",1373,37
"530330038001",594,38
"530330038002",595,38
"530330039001",312,39
"530330039002",559,39
"530330040001",220,40
"530330040002",526,40
"530330041001",992,41
"530330041002",764,41
"530330041003",1430,41
"530330041004",561,41
"530330041005",772,41
"530330041006",773,41
"530330042001",922,42
"530330042002",923,42
"530330042003",877,42
"530330042004",924,42
"530330042005",876,42
"530330043011",844,43
"530330043012",875,43
"530330043013",142,43
"530330043021",874,44
"530330043022",847,44
"530330044001",724,45
"530330044002",108,45
"530330044003",1442,45
"530330044004",1013,45
"530330045001",828,46
"530330045002",1421,46
"530330046001",649,47
"530330046002",1422,47
"530330046003",1371,47
"530330047001",1388,48
"530330047002",606,48
"530330047003",555,48
"530330047004",605,48
"530330048001",614,49
"530330048002",1254,49
"530330048003",202,49
"530330048004",201,49
"530330049001",841,50
"530330049002",1261,50
"530330049003",909,50
"530330049004",1285,50
"530330049005",264,50
"530330050001",484,51
"530330050002",111,51
"530330050003",1260,51
"530330051001",548,52
"530330051002",619,52
"530330051003",1188,52
"530330052001",1427,53
"530330052002",1014,53
"530330052003",1399,53
"530330052004",1275,53
"530330052005",827,53
"530330053011",1443,54
"530330053012",829,54
"530330053013",1009,54
"530330053014",1010,54
"530330053021",1011,55
"530330053022",1012,55
"530330053023",774,55
"530330054001",616,56
"530330054002",550,56
"530330054003",130,56
"530330054004",953,56
"530330056001",855,57
"530330056002",946,57
"530330056003",947,57
"530330056004",945,57
"530330056005",309,57
"530330057001",673,58
"530330057002",425,58
"530330057003",427,58
"530330057004",677,58
"530330057005",474,58
"530330057006",1310,58
"530330058011",955,59
"530330058012",800,59
"530330058013",552,59
"530330058014",1092,59
"530330058021",389,60
"530330058022",663,60
"530330058023",426,60
"530330059001",418,61
"530330059002",1299,61
"530330059003",902,61
"530330059004",433,61
"530330059005",901,61
"530330060001",473,62
"530330060002",889,62
"530330060003",1125,62
"530330060004",441,62
"530330061001",929,63
