county_id,census_2010_block_group_id,sector_id,number_of_jobs
053,530530615003,8,2
033,530330322031,5,3
033,530330323114,11,6
053,530530723073,2,1
061,530610521042,11,55
061,530610512003,8,2
033,530330033004,1,3
033,530330219053,11,2
033,530330219062,1,8
053,530530721071,7,6
053,530530613003,9,78
053,530530628023,2,11
061,530610413013,2,18
033,530330317063,5,2
061,530610519222,2,7
061,530610527011,1,15
033,530330215004,9,1
061,530610504021,10,156
033,530330035001,1,2
035,530350907003,3,204
053,530530723074,8,1
033,530330065001,9,12
035,530350922001,3,2
053,530530726033,3,1
053,530530729011,9,39
033,530330260011,2,8
033,530330271002,10,4
061,530610416012,2,43
053,530530712063,11,29
033,530330305042,3,3
033,530330277011,9,13
053,530530724051,2,20
053,530530731231,10,51
033,530330118005,9,59
033,530330094003,10,77
053,530530714063,8,2
033,530330323271,3,1
033,530330218033,11,99
053,530530614003,1,4
061,530610537001,12,54
033,530330257023,2,20
033,530330322033,8,1
033,530330322102,2,35
061,530610521041,4,3
035,530350807003,10,124
033,530330210002,9,149
053,530530702073,4,2
053,530530731082,11,17
033,530330019002,4,2
033,530330026002,1,2
033,530330093003,12,1831
061,530610522074,8,5
061,530610507003,4,14
033,530330095002,9,47
053,530530732001,9,3
061,530610511003,8,1
033,530330276003,9,7
033,530330315012,5,2
033,530330253013,11,126
061,530610519263,2,16
053,530530724092,9,1
061,530610531012,1,7
061,530610503004,8,3
033,530330032003,2,36
033,530330303093,7,121
035,530350802001,13,80
033,530330260021,2,10
061,530610515003,3,15
053,530530723103,9,188
033,530330230001,2,17
033,530330012003,3,15
033,530330220063,9,172
053,530530721072,7,17
033,530330302025,10,3
061,530610420061,8,7
033,530330117002,4,573
033,530330214001,8,1
053,530530728001,1,68
053,530530609031,3,2
035,530350929021,8,-2
053,530530702061,8,38
035,530350801011,9,102
061,530610529051,3,50
033,530330325001,1,5
061,530610516011,9,17
053,530530703122,3,1
033,530330277022,7,48
061,530610519163,10,48
053,530530616011,5,81
033,530330274001,2,14
053,530530723112,7,93
033,530330007001,7,141
033,530330052005,7,155
033,530330294054,3,1
033,530330317041,2,100
033,530330019001,7,709
033,530330112001,11,17
053,530530717053,7,2
053,530530731143,9,1
033,530330322152,2,19
053,530530634006,3,1
061,530610416014,5,28
033,530330292061,2,5058
033,530330301007,2,17
033,530330250062,9,283
053,530530633001,11,11
061,530610510001,7,510
033,530330262004,3,4
033,530330317043,1,8
033,530330292063,7,113
053,530530625007,9,20
033,530330247025,11,519
053,530539400112,5,4
033,530330218034,8,1
053,530530733023,8,3
033,530330031003,9,10
033,530330041002,11,39
033,530330092002,3,58
035,530350920002,3,3
033,530330297002,2,350
033,530330046002,8,18
033,530330260011,8,1
061,530610522041,5,99
033,530330224005,7,171
053,530530620002,12,2
033,530330018002,11,70
033,530330219035,8,2
035,530350927041,4,-13
053,530530721072,10,-4
033,530330247024,8,1
033,530330218022,9,162
061,530610505005,8,25
033,530330268013,5,169
053,530530715033,12,65
033,530330033004,4,16
033,530330042002,3,4
033,530330219062,4,6
035,530350929022,8,1
033,530330323162,4,12
033,530330057004,9,19
053,530530730014,1,24
061,530610512003,5,4
033,530330063002,2,7
061,530610521141,3,7
033,530330110012,2,12
061,530610419011,11,129
033,530330070004,11,28
061,530610420013,9,4
033,530330019001,4,111
033,530330261003,10,28
033,530330327041,8,40
053,530530734073,5,134
033,530330022002,9,20
033,530330053014,12,3
053,530530721071,4,2
035,530350803001,9,2732
033,530330317063,2,32
033,530330323184,9,11
033,530330323223,3,1
053,530530634003,2,18
033,530330209003,13,1002
061,530610524012,8,1
033,530330260021,8,1
061,530619400012,4,2
061,530610514004,7,39
033,530330034001,5,2
033,530330213001,12,1
033,530330256013,7,113
033,530330028001,10,8
053,530530724073,7,24
033,530330327043,7,50
053,530530731221,10,275
033,530330020002,9,26
033,530330204021,9,4
053,530530703103,10,71
061,530610416072,11,1
053,530530702073,7,13
053,530530628012,5,13
035,530350925004,2,28
061,530610417034,3,8
061,530610536031,5,1
053,530530720001,3,2
053,530530633003,5,19
035,530350806004,5,3
061,530610526041,1,1
033,530330100011,4,3
033,530330047004,7,1345
033,530330114012,10,1
033,530330316031,2,21
033,530330320104,9,30
033,530330322033,11,18
053,530530603002,2,6
053,530530619001,10,55
053,530530723112,4,34
033,530330303092,9,404
053,530530731082,8,31
061,530610526071,9,36
033,530330209001,7,184
061,530610528051,4,5
033,530330238032,4,385
033,530330325001,7,10
033,530330082003,11,28
033,530330103002,11,66
033,530330323072,10,3
035,530350915001,2,1
033,530330062003,4,2
053,530530703113,12,16
035,530350929021,11,2
061,530610501021,5,2
033,530330068002,5,401
033,530330326022,3,10
053,530530634001,5,3
033,530330013002,11,25
033,530330110022,7,22
033,530330104013,4,7
033,530330114013,11,14
053,530530634002,11,10
061,530610507005,10,18
053,530530723102,2,12
033,530330249013,5,-87
033,530330304043,7,6
033,530330072001,3,594
033,530330119001,2,2
053,530530731212,1,2
061,530610412023,9,70
033,530330101003,11,94
053,530530707032,2,72
033,530330228012,4,6
053,530530628012,2,15
033,530330004021,12,21
053,530530723091,7,5
053,530530733012,2,60
061,530610526041,4,106
053,530530734071,11,200
061,530610522071,7,24
061,530610536032,11,3
033,530330104021,4,38
033,530330073003,12,484
035,530350806004,2,23
061,530610504022,11,19
061,530610519163,7,84
033,530330097012,11,32
033,530330302025,7,32
033,530330242001,11,121
035,530350910002,9,0
033,530330007001,10,121
033,530330047004,4,86
033,530330052005,10,22
033,530330290011,10,2
033,530330246012,3,2
061,530610528051,7,88
033,530330274003,2,19
035,530359400001,2,18
033,530330322122,4,12
061,530610519222,5,568
061,530610506001,9,3
033,530330292043,9,6
033,530330300033,5,138
033,530330301007,5,4
033,530330103002,8,3
033,530330320063,3,1
053,530530609044,13,99
033,530330033003,7,115
033,530330035001,4,4
033,530330084002,5,13
061,530610509001,2,132
035,530350916004,1,1
061,530610528044,2,14
033,530330013002,8,8
061,530610418112,5,2
033,530330303082,4,5
053,530530605002,5,1
033,530330029003,4,1
033,530330303063,11,63
053,530539400045,9,6
033,530330271002,13,100
053,530530714063,11,13
033,530330327043,4,7
033,530330263002,12,86
033,530330303084,13,37
033,530330297002,5,6
033,530330202001,7,19
033,530330046002,5,12
033,530330277011,12,39
053,530530731231,13,284
033,530330011002,2,21
061,530610519142,4,5
033,530330220013,5,6
033,530330328001,10,4
033,530330268013,8,7
053,530530713064,11,-3
033,530330312022,4,-20
053,530530713051,1,3
033,530330258032,9,55
033,530330290042,5,311
035,530350807003,7,41
053,530530731192,3,2
033,530330317041,5,138
033,530330034001,8,12
033,530330083001,1,2
033,530330219062,7,22
053,530530734073,2,82
061,530610511003,5,12
033,530330312025,11,-2
061,530610416012,5,165
033,530330260021,5,3
061,530619400012,7,-13
061,530610519262,13,109
053,530530703123,11,14
061,530610529042,9,17
033,530330232022,7,234
033,530330294033,10,58
033,530330294031,3,5
033,530330304015,9,4
053,530530614003,7,89
033,530330256013,10,110
053,530530702041,9,2
053,530530731082,5,175
033,530330205005,3,1
033,530330323194,5,182
061,530610522093,10,43
033,530330292041,4,11
061,530610519281,8,4
061,530610536042,1,-1
061,530610517021,10,470
053,530530726033,9,1
035,530350802002,7,156
033,530330102001,9,24
053,530530614001,12,92
033,530330277015,9,29
035,530350916001,4,11
033,530330009001,5,2
033,530330209001,10,232
033,530330258043,11,3
053,530530603002,5,16
033,530330053012,5,427
033,530330290042,2,13
061,530610526062,11,68
033,530330274003,8,1
053,530530703142,4,10
033,530330222033,7,354
033,530330322032,10,1
053,530530624002,11,7
061,530610519273,2,9
033,530330068002,2,22
053,530530608001,5,3
061,530610522083,11,9
033,530330227011,3,2
053,530530723101,5,78
061,530610518022,9,75
033,530330226034,2,45
053,530530723092,10,1
053,530530724101,10,0
061,530610536043,4,1
033,530330031002,4,6
061,530610520042,9,61
033,530330060002,9,182
033,530330245002,3,1
033,530330082003,8,3
061,530610507005,13,111
053,530530731212,4,7
053,530539400023,7,16
033,530330057003,13,96
033,530330018001,11,58
033,530330005002,2,12
033,530330284032,13,126
035,530350910003,13,45
033,530330293032,3,1
061,530610522041,8,30
033,530330091002,9,106
033,530330322071,5,21
033,530330224005,4,33
033,530330031003,12,5
033,530330120001,8,1
035,530350814001,8,11
061,530610522061,10,7
061,530610505005,5,40
033,530330255003,10,1
033,530330018002,8,10
053,530530721123,2,14
033,530330327026,7,4
053,530530731153,11,1
053,530530606003,3,2
033,530330031001,7,50
033,530330277024,7,10
061,530610538022,3,29
061,530610420032,9,6
053,530530604001,2,3
033,530330208004,3,22
033,530330317062,4,16
033,530330110012,5,144
053,530530731131,12,11
061,530610519153,3,11
053,530539400081,9,3
061,530610529053,13,93
033,530330118002,2,19
033,530330327041,11,35
061,530610528052,11,70
033,530330274004,2,7
033,530330322081,3,1
033,530330202004,2,7
033,530330316031,5,149
061,530610506001,12,31
033,530330034001,2,15
033,530330249034,4,51
035,530350810001,2,2
061,530610526054,5,10
061,530610419054,11,20
033,530330080013,12,354
053,530530606002,2,14
053,530530609044,10,40
033,530330053014,9,22
035,530350917002,9,7
061,530610418066,7,34
061,530610419043,10,58
033,530330316042,9,32
033,530330226031,8,106
033,530330298023,4,2
035,530350926003,13,57
061,530610524022,4,18
033,530330235002,2,2
033,530330290032,11,4
033,530330074014,8,14
033,530330268014,2,5
033,530330268022,9,10
061,530610519231,5,160
053,530539400052,9,5
033,530330263002,9,9
033,530330031001,10,38
033,530330260013,13,88
061,530610521182,2,6
061,530610403001,7,25
033,530330284032,10,-6
033,530330320062,11,61
033,530330304032,9,57
033,530330111014,7,11
053,530530631004,4,4
033,530330218041,10,3
033,530330282002,2,21
035,530350925001,2,10
053,530530712064,12,128
053,530530724102,7,21
033,530330325004,8,-4
033,530330058011,5,7
033,530330039002,7,32
033,530330316012,8,1
061,530610511002,11,29
033,530330051003,11,65
033,530330323253,9,75
033,530330104021,7,126
033,530330043011,3,36
053,530530605003,3,1
033,530330119003,2,14
033,530330250012,9,91
033,530330243001,11,52
061,530610419043,13,147
061,530610507001,4,3
033,530330032006,10,208
033,530330289023,9,188
033,530330014001,11,17
033,530330097022,11,13
033,530330226031,11,13
033,530330232022,4,33
035,530350926002,4,15
061,530610519055,2,2
033,530330041005,5,11
033,530330119004,9,50
061,530610504022,8,1
061,530610522071,4,9
033,530330030001,3,3
033,530330226033,2,14
053,530530628021,4,6
033,530330111011,8,4
053,530530734071,8,552
035,530350917003,11,44
033,530330220035,11,2
033,530330290011,7,2
053,530530607004,8,7
053,530530723081,11,2
061,530610412012,9,15
053,530530735004,11,22
033,530330039001,7,60
033,530330097011,3,2
033,530330280003,5,172
053,530539400112,2,10
061,530610413032,8,26
033,530330058022,11,306
033,530330312051,7,58
033,530330274003,5,563
033,530330323194,8,11
033,530330323241,2,18
061,530610504016,3,1
061,530610536041,1,15
033,530330032001,3,3
033,530330294072,3,2
053,530530723101,2,12
033,530330063002,5,8
061,530610529032,9,375
033,530330009001,8,10
033,530330030003,8,11
035,530350801022,9,18
033,530330234012,11,541
033,530330321041,12,1
053,530530634004,10,8
033,530330219035,11,9
033,530330268011,4,5
053,530530606001,8,192
033,530330303063,8,1
061,530610520041,2,39
061,530610522093,13,35
033,530330257011,8,4
053,530530605002,8,3
061,530610413011,8,3
033,530330246013,9,9
033,530330277014,9,95
053,530530723092,13,85
053,530530731221,7,90
053,530530726034,12,1
033,530330002004,5,172
035,530350907003,9,5
033,530330303082,7,20
053,530530733021,8,7
061,530610519163,13,88
053,530530703162,9,2
033,530330303102,2,11
061,530610412023,3,2
053,530530723053,2,11
061,530610505003,5,156
033,530330323153,2,55
053,530530626001,1,142
061,530610520053,2,8
033,530330001002,10,15
033,530330303083,5,1
061,530610536023,3,84
033,530330117003,2,42
033,530330322031,2,11
053,530530602001,3,2982
033,530330082001,1,144
033,530330258061,8,14
035,530359400001,8,1
033,530330290011,4,1
033,530330011001,2,12
033,530330302011,11,16
033,530330322102,8,12
033,530330100012,1,5
033,530330088002,8,40
033,530330322101,2,229
053,530530630001,5,159
061,530610519055,8,1
033,530330013002,2,9
033,530330121001,10,1
061,530610520041,5,3
061,530610409002,8,98
035,530350804002,5,5
033,530330311002,11,28
053,530530734044,11,6
053,530530609054,8,1
035,530350810002,11,37
053,530530720001,9,3
033,530330013001,7,154
053,530530717052,11,3
053,530530730062,5,42
061,530610503001,11,52
061,530610532023,12,6
033,530330084003,13,5
061,530610529051,9,75
053,530530604003,10,1
053,530530713042,7,65
053,530530717061,2,298
033,530330041004,2,7
033,530330042003,9,112
033,530330272002,12,634
061,530610535052,2,298
033,530330058022,5,314
033,530330017024,3,2
061,530610519233,4,4
053,530530734051,4,5
061,530610537002,12,2
033,530330032002,3,20
033,530330293053,7,68
033,530330234042,2,7
033,530330110023,4,8
053,530530713064,5,3
033,530330320055,3,1
053,530530730015,10,2
061,530610535071,4,192
033,530330009001,2,8
033,530330205002,9,100
035,530350928031,1,1
033,530330292061,8,325
061,530610416012,11,87
053,530530714111,2,37
061,530619400012,13,110
033,530330092002,12,1178
033,530330064002,10,3
061,530610511003,11,30
053,530530731242,2,13
033,530330314001,13,4
061,530610417011,4,6
061,530610507003,7,84
033,530330003002,7,35
061,530610527083,7,7
061,530610527092,8,2
061,530610512002,4,1
033,530330030002,3,2
033,530330323193,5,877
053,530530731141,3,30
033,530330207003,9,53
053,530530625007,3,20
033,530330041004,5,25
033,530330219034,2,17
035,530350905011,4,34
053,530530702061,11,15
053,530530734073,11,141
061,530610528044,5,2
033,530330002003,5,21
033,530330058022,8,31
033,530330293051,3,1
035,530350916001,10,81
033,530330292044,3,80
061,530610416014,8,4
061,530610504024,4,13
033,530330287003,3,1
061,530610417011,7,28
061,530610411004,7,33
033,530330004022,7,57
033,530330321043,2,18
035,530350928031,4,2
033,530330323242,5,17
053,530530731083,2,14
033,530330320083,9,2
033,530330303122,11,14
061,530610535093,11,70
033,530330018002,5,40
033,530330214003,9,12
053,530530713042,4,1
053,530530721072,4,2
033,530330300031,4,-5
053,530530723054,5,5
033,530330312051,4,21
033,530330323194,11,177
033,530330095004,11,75
033,530330303061,10,39
061,530610419013,2,166
053,530530729061,7,933
061,530610535073,4,3
061,530610527011,4,35
033,530330074013,7,67
033,530330061003,7,469
053,530530620001,5,5
061,530610535052,5,4
033,530330100013,7,22
033,530330060001,4,28
033,530330111024,10,12
033,530330323221,9,18
033,530330298015,2,98
053,530530719023,11,38
033,530330110011,11,3
061,530610521131,4,7
061,530610529033,5,7
061,530610505003,8,2
033,530330101001,5,1
061,530610416085,3,1
061,530610521041,7,5
033,530330044001,8,3
035,530350904002,1,2
033,530330053022,3,-4
033,530330114011,13,172
033,530330248001,10,74
061,530610519122,11,148
061,530610521082,2,351
061,530610507004,1,2
053,530530714094,11,3
053,530530725053,5,563
033,530330295035,2,26
033,530330322081,9,302
035,530350806004,11,18
033,530330087003,10,21
033,530330292043,3,1
053,530530609054,11,16
033,530330041001,2,13
035,530350926002,7,11
033,530330303062,13,68
053,530530703161,2,61
053,530530613002,2,7
033,530330085003,5,1
033,530330220052,11,138
033,530330322101,5,5
033,530330300035,4,5
033,530330303083,2,10
033,530330301006,7,15
033,530330078004,3,8
053,530530628012,11,32
053,530530633004,10,10
061,530610535072,7,32
035,530350907002,3,19
053,530530715051,3,89
061,530610402004,4,11
061,530610527084,11,4
033,530330018001,8,5
061,530610536042,7,18
033,530330072001,9,-547
053,530530608006,9,2
033,530330013001,4,4
035,530350925003,2,19
053,530530734044,8,3
053,530530609044,4,5
053,530530735001,5,55
033,530330312041,12,14
033,530330322084,10,54
033,530330114011,10,1
053,530530721052,5,3
033,530330312044,9,3
033,530330320111,4,108
033,530330249012,9,2
033,530330219051,9,505
061,530610519154,2,81
053,530530610011,8,1
035,530350909002,7,699
035,530350915003,10,49
061,530610419051,8,2
033,530330002005,7,58
033,530330089001,2,5
053,530530713064,8,1
053,530530723055,8,2
033,530330100012,4,6
033,530330208002,3,3
033,530330087003,7,49
053,530530713071,7,-30
033,530330216004,1,1
061,530610419041,2,61
033,530330243001,5,1
033,530330325002,3,16
053,530530704033,4,0
033,530330298026,11,15
033,530330049002,11,190
033,530330018001,5,2
033,530330220052,8,164
061,530610522081,11,187
061,530610536024,7,6
033,530330325004,2,17
061,530610535081,10,104
053,530530733023,5,4
061,530610418053,11,122
035,530350929014,8,7
061,530610521131,1,1
033,530330048003,11,240
035,530350925003,5,-43
033,530330057005,9,4
033,530330102002,5,6
033,530330323073,1,1
033,530330003002,10,46
033,530330111021,11,36
033,530330290042,11,35
053,530530733021,11,119
033,530330082001,4,-1832
033,530330094003,7,272
033,530330239001,3,2
053,530530702052,10,3
061,530610538024,4,13
061,530610535054,9,3
033,530330323071,2,20
053,530530604004,7,7
033,530330061004,13,68
053,530530734073,8,4
061,530610513003,11,52
053,530539400012,2,1
053,530530603002,11,-16
033,530330322102,5,12
033,530330077003,3,2
035,530350916002,2,59
061,530610520041,8,2
053,530530730062,2,21
053,530530634003,5,81
033,530330057002,10,33
033,530330316053,1,17
053,530530731162,12,14
033,530330025001,3,1
033,530330294061,4,14
053,530530723122,9,3
033,530330290033,5,3
061,530610416071,2,25
061,530610535053,2,45
053,530530704011,3,11
035,530350920001,1,3
033,530330316051,2,19
035,530350804002,8,6
033,530330303123,9,13
033,530330101005,4,11
061,530610419034,7,40
033,530330290035,4,1
033,530330060001,1,22
053,530530703133,3,6
035,530350804001,4,3
033,530330101001,2,12
053,530530613005,2,26
053,530530620004,12,11
061,530610516023,4,9
033,530330074013,10,16
053,530530731153,2,14
033,530330320081,9,1
053,530530633002,11,73
033,530330235003,3,4
033,530330080022,3,20
033,530330251021,3,17
033,530330320112,7,41
053,530530734062,13,57
053,530530712091,9,8
061,530610519173,13,63
061,530610519182,4,9
061,530610525042,7,74
061,530610529033,2,5
033,530330222014,4,2
033,530330312051,1,7
061,530610414001,13,90
053,530530730015,13,52
033,530330114012,13,162
033,530330320056,8,1
061,530610536042,10,27
033,530330317063,8,1
053,530530634003,8,1
061,530610520072,13,84
061,530610413031,3,2
033,530330320101,7,168
061,530610519273,8,2
033,530330250031,2,16
061,530610420041,11,3
061,530610521141,9,24
033,530330299022,9,-3
061,530610413013,5,2
033,530330205003,7,20
053,530539400112,11,4
033,530330025002,11,127
033,530330279003,9,1319
053,530530725054,11,5
061,530610525023,2,16
061,530619400012,10,93
035,530350909002,4,23
033,530330323242,8,34
033,530330061003,10,46
033,530330322071,11,6
033,530330323113,11,5
033,530330091001,11,118
033,530330100012,7,147
033,530330113005,9,5
033,530330080011,4,1147
061,530610418051,12,4
033,530330018002,2,4
033,530330300031,7,8
061,530610519153,9,12
033,530330104013,10,37
033,530330323163,9,5
061,530610519055,11,12
033,530330321043,5,36
053,530530620001,8,108
061,530610522073,7,23
053,530530725053,8,-138
061,530610538024,7,9
033,530330311001,13,92
053,530530603003,9,32
033,530330323282,13,278
061,530610528053,11,15
033,530330278002,9,6
053,530530723121,9,-7
053,530530717073,4,0
053,530530611001,2,14
061,530610519241,8,2
061,530610520052,3,1
061,530610538011,1,5
033,530330031002,7,28
033,530330077002,3,5
053,530530721123,5,4
061,530610412022,2,16
061,530610508004,10,5
033,530330027001,2,26
033,530330302023,11,10
061,530610535081,7,48
033,530330085003,11,3
033,530330048004,3,21
061,530610414003,2,40
033,530330097023,4,4
033,530330224004,9,51
033,530330323203,11,53
061,530610538024,1,10
033,530330119005,5,13
061,530610519052,9,9
033,530330102003,8,1
033,530330051002,5,6
061,530610522032,7,36
033,530330111021,8,2
061,530610420061,11,240
061,530610536041,7,19
035,530350814001,11,4
035,530350913023,5,2
053,530530735005,9,11
033,530330303084,10,33
033,530330101002,5,47
033,530330258062,3,-66
061,530610418066,4,16
033,530330115001,10,1
033,530330294061,7,78
053,530530734051,10,2
053,530530610011,5,5
061,530610519231,11,274
053,530530610021,4,28
061,530610528064,4,6
053,530530725052,4,45
053,530530624001,2,16
061,530610535053,5,1
053,530530633001,8,1
033,530330002004,8,8
033,530330114011,7,30
033,530330289022,2,1
035,530350806001,8,1
061,530610524022,7,31
061,530610504024,10,2
033,530330257013,4,8
035,530350919003,9,4
033,530330267003,3,1
035,530350929014,11,14
061,530610519171,10,5
053,530530718061,2,134
033,530330313011,2,85
053,530530718051,2,33
033,530330319032,13,497
033,530330054001,9,16
033,530330044004,12,28
033,530330312044,12,34
053,530530723091,10,1
033,530330056001,9,5
053,530530702062,1,5
033,530330222021,4,1
033,530330323181,12,7
033,530330030003,11,48
033,530330254001,10,64
033,530330324012,13,273
061,530610520054,9,1
033,530330205006,2,2
035,530350929012,5,2
053,530530704033,7,93
053,530530712082,9,13
033,530330293062,11,7
053,530530610024,2,17
033,530330316012,5,1
033,530330320102,10,-326
053,530530724051,8,2
033,530330325004,5,-4
035,530350812002,4,6
061,530610522081,8,2
033,530330243001,8,12
061,530610529043,2,10
033,530330317043,7,61
053,530530611002,4,3
033,530330007002,9,94
033,530330256011,11,28
033,530330060002,12,22
053,530530713071,4,-8
033,530330322112,2,9
061,530610517023,4,9
033,530330268021,5,4
053,530539400023,4,8
053,530530605002,2,5
033,530330304043,10,1
033,530330036002,9,186
033,530330102002,2,1
053,530530702052,7,36
053,530530702062,4,9
053,530530609033,11,17
033,530330204025,9,115
033,530330279003,12,60
061,530610538012,4,13
053,530530720002,9,4
035,530359401002,2,73
033,530330318002,12,19
033,530330284021,7,57
061,530610535092,8,1
053,530530605005,3,1
053,530530614001,3,15
033,530330293031,9,22
061,530610418092,2,18
033,530330227031,4,15
033,530330218041,13,105
033,530330327032,10,101
053,530530606001,11,34
033,530330254004,9,10
053,530530704033,10,84
033,530330323243,2,15
061,530610524023,13,47
033,530330317043,4,13
033,530330290033,2,21
053,530530603003,12,33
053,530530724051,5,6
061,530610522073,10,-52
061,530610419034,4,5
061,530610522062,1,3
033,530330310001,1,10
053,530530711002,2,45
033,530330221024,9,12
033,530330220012,13,9
033,530330326024,5,8
033,530330228023,11,32
033,530330235002,5,5
033,530330051002,2,9
053,530530702031,11,15
061,530610418053,8,7
061,530610536043,10,145
033,530330317064,4,9
033,530330320111,7,29
