county_id,census_2010_block_group_id,sector_id,number_of_jobs
033,530330098002,3,5
053,530530724052,5,4
061,530610413032,11,-78
061,530610403002,4,7
061,530610418061,3,3
033,530330236012,1,6
033,530330224006,9,57
033,530330305044,9,5
061,530610522061,7,26
033,530330039001,10,1
033,530330219053,8,2
033,530330026001,7,56
033,530330294081,2,13
053,530530609032,3,1
053,530530714033,3,3
053,530530605005,9,2
061,530610524023,7,273
033,530330214001,11,41
033,530330031001,4,14
053,530530723074,11,6
033,530330030003,5,19
061,530610507002,2,16
033,530330226031,5,17
033,530330267002,11,7
061,530610413011,11,11
033,530330293041,4,10
033,530330294083,9,18
053,530530615003,5,9
033,530330293043,11,4
033,530330238031,9,144
033,530330323241,8,12
053,530530728002,4,32
061,530610536033,11,17
033,530330091002,12,115
061,530610536042,4,11
061,530610529032,12,241
033,530330062001,12,33
033,530330322084,7,41
033,530330299022,3,-12
033,530330221014,2,30
033,530330320101,13,136
033,530330221024,3,1
053,530530609044,7,27
033,530330065001,12,29
033,530330014001,8,6
033,530330220051,13,245
053,530530731231,7,120
061,530610521121,10,1
061,530610417032,9,3
053,530530717053,1,2
053,530530609031,9,10
033,530330224002,13,156
033,530330321033,4,34
033,530330042002,9,52
035,530350916001,7,14
033,530330315012,8,2
053,530530725031,11,-59
033,530330202004,5,5
053,530530702072,8,698
033,530330317061,9,-18
053,530530726021,11,182
053,530530731131,9,62
033,530330026002,4,16
033,530330234012,5,437
033,530330053012,2,2
033,530330289025,4,63
053,530530703135,3,2
053,530530704041,11,0
033,530330317042,3,3
033,530330305032,2,81
033,530330051003,8,17
033,530330111022,2,5
053,530530614001,9,79
061,530610536043,1,2
033,530330320031,1,1
033,530330219054,2,2
053,530530725071,12,7
033,530330323242,2,9
061,530610410001,4,35
061,530610418111,12,26
061,530610514003,12,9
061,530610502002,4,2
033,530330120001,11,6
033,530330039002,4,8
061,530610504013,11,16
053,530530723121,3,10
033,530330045002,9,20
053,530530703142,7,15
053,530530712051,3,149
053,530539400082,2,8
061,530610509002,11,11
033,530330075002,12,31
053,530530611004,5,626
033,530330253021,4,132
033,530330277014,12,14
033,530330277022,4,6
033,530330320103,9,3
053,530539400041,9,2
033,530330305032,5,80
035,530350802001,10,114
061,530610521121,7,27
061,530610522041,11,123
033,530330219041,4,457
061,530610525023,5,486
033,530330041005,2,15
053,530530714074,11,4
061,530610502002,7,16
033,530330264002,11,78
033,530330285002,1,1
061,530610503004,5,2
033,530330280003,2,13
053,530530717053,4,0
033,530330206002,9,14
033,530330111011,11,10
033,530330089002,11,34
053,530530607004,5,94
053,530530721073,11,2
061,530610420061,5,209
053,530530616011,2,133
061,530610536024,1,48
033,530330298023,7,31
033,530330234012,8,427
053,530530731221,4,28
033,530330302024,2,12
061,530610521182,5,7
061,530610504014,5,2
035,530350928032,11,2
035,530350929022,2,1
061,530610419012,3,933
035,530350909001,2,112
053,530530624001,8,1
061,530610526054,2,17
033,530330292061,5,2491
053,530530716011,3,164
053,530530624002,5,14
033,530330002004,2,19
061,530610519161,4,25
033,530330075005,5,41
033,530330110012,8,7
033,530330323193,2,367
033,530330074014,5,3
033,530330117004,3,4
033,530330297001,3,5
033,530330032003,5,103
053,530530726034,9,6
061,530610537001,9,35
033,530330253013,8,18
033,530330258061,11,18
033,530330228031,8,7
033,530330297003,10,167
033,530330258063,4,14
035,530350919002,10,20
061,530610510001,10,42
033,530330033001,2,21
033,530330320062,8,33
053,530539400073,13,57
061,530610519271,9,2
033,530330218033,8,15
035,530350812002,10,30
033,530330320063,9,12
053,530530735005,3,25
033,530330322033,5,9
053,530530603002,8,4
053,530530614003,4,34
053,530530619001,4,39
033,530330222033,10,1
033,530330291022,13,96
033,530330303143,8,21
033,530330282002,5,21
053,530530608001,8,2
061,530610519052,3,139
033,530330104021,10,298
033,530330300045,7,15
033,530330323241,5,7
033,530330031004,9,15
035,530350922002,3,1
033,530330308021,4,4
033,530330293041,7,17
033,530330093003,9,132
033,530330316012,11,11
053,530530723073,8,1
033,530330325004,11,8
033,530330320101,10,88
033,530330289024,7,28
033,530330323261,5,15
033,530330082003,5,7
033,530330303093,10,50
033,530330113001,11,14
033,530330324021,7,29
033,530330056002,10,3
033,530330285001,4,4
033,530330213001,9,130
035,530350806004,8,4
053,530530703103,7,67
053,530530721071,1,2
061,530610501021,8,1
061,530610503003,11,8
053,530530619001,7,19
061,530610519261,3,314
033,530330202004,8,1
035,530350905021,11,-12
053,530530713042,10,1
033,530330325001,4,30
061,530610507002,5,4
033,530330017023,3,12
033,530330323262,2,122
053,530530726032,2,7
033,530330320062,5,45
035,530350812002,7,46
061,530610505005,11,135
035,530350905012,9,1099
033,530330321043,8,55
033,530330254003,9,87
033,530330310002,2,38
033,530330104013,7,22
033,530330289024,4,8
061,530610410004,12,79
033,530330320031,4,49
033,530330206003,7,4
033,530330297001,9,97
033,530330311001,10,-84
053,530530703123,8,2
033,530330233003,1,3
053,530530731182,3,1
033,530330210001,12,16
033,530330292063,4,352
033,530330298022,1,18
033,530330075002,9,85
033,530330319075,4,4
033,530330002003,2,8
033,530330247024,11,6
061,530610519252,9,225
033,530330046002,11,76
053,530530611004,8,8
061,530610526073,3,16
033,530330236043,9,75
053,530539400112,8,1
053,530530608003,7,8
053,530530634001,2,29
061,530610418111,9,135
033,530330026001,10,22
033,530330314001,10,527
061,530610524023,10,358
061,530610538023,3,1
033,530330289021,2,26
033,530330004022,10,65
033,530330218043,9,-4
053,530530707032,5,358
061,530610521041,1,2
033,530330030003,2,9
033,530330295024,2,10
053,530530610011,2,9
061,530610521182,8,1
033,530330276003,12,2
053,530530607004,2,13
