county,juris,industry,emp_all
33,Algona,1,0
33,Auburn,1,350
33,Bellevue,1,997
33,Black Diamond,1,44
33,Bothell,1,24
33,Burien,1,174
33,Carnation,1,-99
33,Covington,1,0
33,Des Moines,1,109
33,Duvall,1,0
33,Enumclaw,1,156
33,Federal Way,1,315
33,Hunts Point,1,-99
33,Issaquah,1,319
33,Kenmore,1,96
33,Kent,1,612
33,Kirkland,1,515
33,Lake Forest Park,1,0
33,Maple Valley,1,63
33,Medina,1,0
33,Mercer Island,1,94
33,Newcastle,1,0
33,Normandy Park,1,0
33,North Bend,1,-99
33,Pacific,1,-99
33,Redmond,1,379
33,Renton,1,670
33,Sammamish,1,328
33,SeaTac,1,0
33,Seattle,1,4783
33,Shoreline,1,180
33,Snoqualmie,1,122
33,Tukwila,1,0
33,Unincorporated,1,4838
33,Woodinville,1,95
35,Bainbridge Island,1,136
35,Bremerton,1,67
35,Port Orchard,1,0
35,Poulsbo,1,43
35,Unincorporated,1,665
53,Auburn,1,0
53,Bonney Lake,1,0
53,Buckley,1,99
53,DuPont,1,-99
53,Eatonville,1,37
53,Edgewood,1,39
53,Fife,1,0
53,Gig Harbor,1,73
53,Lakewood,1,146
53,Milton,1,0
53,Orting,1,0
53,Pacific,1,-99
53,Puyallup,1,164
53,Roy,1,-99
53,Ruston,1,0
53,South Prairie,1,0
53,Steilacoom,1,0
53,Sumner,1,102
53,Tacoma,1,931
53,Unincorporated,1,3169
53,University Place,1,0
53,Wilkeson,1,0
61,Arlington,1,483
61,Bothell,1,44
61,Brier,1,0
61,Darrington,1,36
61,Edmonds,1,126
61,Everett,1,427
61,Gold Bar,1,32
61,Lake Stevens,1,101
61,Lynnwood,1,0
61,Marysville,1,204
61,Mill Creek,1,29
61,Monroe,1,132
61,Mountlake Terrace,1,0
61,Mukilteo,1,-99
61,Snohomish,1,98
61,Stanwood,1,54
61,Sultan,1,57
61,Unincorporated,1,3848
99,Region,1,27831
33,Algona,10,60
33,Auburn,10,2394
33,Beaux Arts,10,-99
33,Bellevue,10,7912
33,Black Diamond,10,59
33,Bothell,10,981
33,Burien,10,2007
33,Carnation,10,87
33,Clyde Hill,10,-99
33,Covington,10,984
33,Des Moines,10,1101
33,Duvall,10,244
33,Enumclaw,10,708
33,Federal Way,10,3618
33,Issaquah,10,2100
33,Kenmore,10,295
33,Kent,10,3706
33,Kirkland,10,3438
33,Lake Forest Park,10,223
33,Maple Valley,10,1001
33,Medina,10,-99
33,Mercer Island,10,541
33,Newcastle,10,298
33,Normandy Park,10,124
33,North Bend,10,527
33,Pacific,10,74
33,Redmond,10,4433
33,Renton,10,4038
33,Sammamish,10,561
33,SeaTac,10,2838
33,Seattle,10,41044
33,Shoreline,10,1425
33,Skykomish,10,11
33,Snoqualmie,10,306
33,Tukwila,10,3737
33,Unincorporated,10,1942
33,Woodinville,10,1579
33,Yarrow Point,10,-99
35,Bainbridge Island,10,791
35,Bremerton,10,1625
35,Port Orchard,10,1092
35,Poulsbo,10,1102
35,Unincorporated,10,3823
53,Auburn,10,426
53,Bonney Lake,10,1324
53,Buckley,10,180
53,DuPont,10,390
53,Eatonville,10,135
53,Edgewood,10,76
53,Fife,10,761
53,Fircrest,10,182
53,Gig Harbor,10,1965
53,Lakewood,10,3125
53,Milton,10,339
53,Orting,10,196
53,Pacific,10,-99
53,Puyallup,10,3176
53,Roy,10,-99
53,Ruston,10,212
53,South Prairie,10,-99
53,Steilacoom,10,108
53,Sumner,10,808
53,Tacoma,10,10331
53,Unincorporated,10,6613
53,University Place,10,600
53,Wilkeson,10,8
61,Arlington,10,1148
61,Bothell,10,1071
61,Brier,10,-99
61,Darrington,10,17
61,Edmonds,10,1981
61,Everett,10,4099
61,Gold Bar,10,47
61,Granite Falls,10,206
61,Lake Stevens,10,952
61,Lynnwood,10,3202
61,Marysville,10,2111
61,Mill Creek,10,1059
61,Monroe,10,967
61,Mountlake Terrace,10,263
61,Mukilteo,10,596
61,Snohomish,10,1085
61,Stanwood,10,523
61,Sultan,10,129
61,Unincorporated,10,3606
99,Region,10,156935
33,Algona,11,16
33,Auburn,11,2694
33,Beaux Arts,11,-99
33,Bellevue,11,10390
33,Black Diamond,11,59
33,Bothell,11,638
33,Burien,11,1203
33,Carnation,11,6
33,Clyde Hill,11,46
33,Covington,11,430
33,Des Moines,11,646
33,Duvall,11,140
33,Enumclaw,11,316
33,Federal Way,11,2108
33,Hunts Point,11,20
33,Issaquah,11,1923
33,Kenmore,11,485
33,Kent,11,3523
33,Kirkland,11,3872
33,Lake Forest Park,11,223
33,Maple Valley,11,535
33,Medina,11,211
33,Mercer Island,11,1056
33,Milton,11,0
33,Newcastle,11,497
33,Normandy Park,11,135
33,North Bend,11,241
33,Pacific,11,111
33,Redmond,11,2847
33,Renton,11,4232
33,Sammamish,11,930
33,SeaTac,11,2596
33,Seattle,11,54980
33,Shoreline,11,1749
33,Skykomish,11,-99
33,Snoqualmie,11,842
33,Tukwila,11,2737
33,Unincorporated,11,3991
33,Woodinville,11,859
33,Yarrow Point,11,32
35,Bainbridge Island,11,1396
35,Bremerton,11,1174
35,Port Orchard,11,733
35,Poulsbo,11,397
35,Unincorporated,11,3086
53,Auburn,11,132
53,Bonney Lake,11,656
53,Buckley,11,127
53,Carbonado,11,0
53,DuPont,11,365
53,Eatonville,11,48
53,Edgewood,11,189
53,Fife,11,1091
53,Fircrest,11,298
53,Gig Harbor,11,1309
53,Lakewood,11,2747
53,Milton,11,197
53,Orting,11,98
53,Pacific,11,144
53,Puyallup,11,2732
53,Roy,11,5
53,Ruston,11,173
53,South Prairie,11,14
53,Steilacoom,11,112
53,Sumner,11,776
53,Tacoma,11,8425
53,Unincorporated,11,5909
53,University Place,11,825
53,Wilkeson,11,0
61,Arlington,11,744
61,Bothell,11,444
61,Brier,11,28
61,Darrington,11,7
61,Edmonds,11,1585
61,Everett,11,4127
61,Gold Bar,11,12
61,Granite Falls,11,102
61,Index,11,-99
61,Lake Stevens,11,628
61,Lynnwood,11,2407
61,Marysville,11,1158
61,Mill Creek,11,853
61,Monroe,11,618
61,Mountlake Terrace,11,539
61,Mukilteo,11,655
61,Snohomish,11,480
61,Stanwood,11,269
61,Sultan,11,158
61,Unincorporated,11,4909
61,Woodway,11,26
99,Region,11,160236
33,Algona,12,19
33,Auburn,12,3071
33,Beaux Arts,12,2
33,Bellevue,12,3689
33,Black Diamond,12,60
33,Bothell,12,517
33,Burien,12,523
33,Carnation,12,44
33,Clyde Hill,12,35
33,Covington,12,192
33,Des Moines,12,402
33,Duvall,12,82
33,Enumclaw,12,290
33,Federal Way,12,1706
33,Hunts Point,12,3
33,Issaquah,12,781
33,Kenmore,12,170
33,Kent,12,3337
33,Kirkland,12,5723
33,Lake Forest Park,12,129
33,Maple Valley,12,230
33,Medina,12,29
33,Mercer Island,12,265
33,Newcastle,12,66
33,Normandy Park,12,29
33,North Bend,12,139
33,Pacific,12,77
33,Redmond,12,976
33,Renton,12,7114
33,Sammamish,12,302
33,SeaTac,12,4363
33,Seattle,12,49601
33,Shoreline,12,2043
33,Skykomish,12,10
33,Snoqualmie,12,645
33,Tukwila,12,2765
33,Unincorporated,12,3823
33,Woodinville,12,159
33,Yarrow Point,12,4
35,Bainbridge Island,12,802
35,Bremerton,12,15781
35,Port Orchard,12,1124
35,Poulsbo,12,572
35,Unincorporated,12,7829
53,Auburn,12,20
53,Bonney Lake,12,225
53,Buckley,12,745
53,Carbonado,12,6
53,DuPont,12,83
53,Eatonville,12,83
53,Edgewood,12,68
53,Fife,12,955
53,Fircrest,12,65
53,Gig Harbor,12,243
53,Lakewood,12,4485
53,Milton,12,65
53,Orting,12,240
53,Puyallup,12,599
53,Roy,12,27
53,Ruston,12,15
