district_id,HHTS23_District_Targets
1,29550.63259
2,23948.73815
3,27069.80758
4,17465.01519
5,23437.48473
6,57575.68373
7,36862.82396
8,16553.33533
9,12551.97059
10,24338.56291
11,2310.547518
