county,juris,industry,emp_all
33,Algona,1,0
33,Algona,2,186
33,Algona,3,1530
33,Algona,4,439
33,Algona,5,9
33,Algona,7,120
33,Algona,8,S
33,Algona,9,32
33,Algona,10,S
33,Algona,11,43
33,Algona,12,23
33,Algona,Total,2408
33,Auburn,1,81
33,Auburn,2,4807
33,Auburn,3,8941
33,Auburn,4,7631
33,Auburn,5,5277
33,Auburn,7,5405
33,Auburn,8,255
33,Auburn,9,5132
33,Auburn,10,2331
33,Auburn,11,3004
33,Auburn,12,3307
33,Auburn,13,3256
33,Auburn,Total,49720
33,Beaux Arts,7,13
33,Beaux Arts,11,0
33,Beaux Arts,12,2
33,Beaux Arts,Total,16
33,Bellevue,1,108
33,Bellevue,2,6517
33,Bellevue,3,5020
33,Bellevue,4,8524
33,Bellevue,5,15094
33,Bellevue,7,68748
33,Bellevue,8,4019
33,Bellevue,9,14972
33,Bellevue,10,9066
33,Bellevue,11,11555
33,Bellevue,12,3921
33,Bellevue,13,4765
33,Bellevue,Total,152758
33,Black Diamond,1,S
33,Black Diamond,2,157
33,Black Diamond,3,S
33,Black Diamond,4,39
33,Black Diamond,5,21
33,Black Diamond,7,95
33,Black Diamond,8,18
33,Black Diamond,9,21
33,Black Diamond,10,49
33,Black Diamond,11,84
33,Black Diamond,12,46
33,Black Diamond,13,49
33,Black Diamond,Total,606
33,Bothell,1,14
33,Bothell,2,1025
33,Bothell,3,1065
33,Bothell,4,957
33,Bothell,5,1205
33,Bothell,7,6217
33,Bothell,8,377
33,Bothell,9,1958
33,Bothell,10,1065
33,Bothell,11,760
33,Bothell,12,591
33,Bothell,13,1912
33,Bothell,Total,17507
33,Burien,1,36
33,Burien,2,912
33,Burien,3,127
33,Burien,4,560
33,Burien,5,2163
33,Burien,7,1672
33,Burien,8,218
33,Burien,9,3594
33,Burien,10,1479
33,Burien,11,1169
33,Burien,12,469
33,Burien,13,1238
33,Burien,Total,13639
33,Carnation,1,22
33,Carnation,2,74
33,Carnation,3,27
33,Carnation,4,19
33,Carnation,5,55
33,Carnation,7,28
33,Carnation,8,0
33,Carnation,9,289
33,Carnation,10,109
33,Carnation,11,14
33,Carnation,12,49
33,Carnation,13,206
33,Carnation,Total,892
33,Clyde Hill,2,43
33,Clyde Hill,3,S
33,Clyde Hill,4,41
33,Clyde Hill,5,9
33,Clyde Hill,7,105
33,Clyde Hill,8,S
33,Clyde Hill,9,14
33,Clyde Hill,10,29
33,Clyde Hill,11,76
33,Clyde Hill,12,36
33,Clyde Hill,13,80
33,Clyde Hill,Total,815
33,Covington,1,0
33,Covington,2,662
33,Covington,3,18
33,Covington,4,184
33,Covington,5,1697
33,Covington,7,399
33,Covington,8,23
33,Covington,9,493
33,Covington,10,965
33,Covington,11,353
33,Covington,12,233
33,Covington,13,668
33,Covington,Total,5701
33,Des Moines,1,14
33,Des Moines,2,483
33,Des Moines,3,103
33,Des Moines,4,325
33,Des Moines,5,532
33,Des Moines,7,602
33,Des Moines,8,72
33,Des Moines,9,1508
33,Des Moines,10,988
33,Des Moines,11,621
33,Des Moines,12,293
33,Des Moines,13,1574
33,Des Moines,Total,7394
33,Duvall,1,0
33,Duvall,2,113
33,Duvall,3,65
33,Duvall,4,47
33,Duvall,5,116
33,Duvall,7,269
33,Duvall,8,111
33,Duvall,9,135
33,Duvall,10,249
33,Duvall,11,134
33,Duvall,12,83
33,Duvall,13,237
33,Duvall,Total,1562
33,Edgewood,11,0
33,Edgewood,Total,0
33,Enumclaw,1,21
33,Enumclaw,2,615
33,Enumclaw,3,549
33,Enumclaw,4,145
33,Enumclaw,5,736
33,Enumclaw,7,803
33,Enumclaw,8,49
33,Enumclaw,9,967
33,Enumclaw,10,656
33,Enumclaw,11,262
33,Enumclaw,12,326
33,Enumclaw,13,585
33,Enumclaw,Total,5716
33,Federal Way,1,102
33,Federal Way,2,1454
33,Federal Way,3,362
33,Federal Way,4,1777
33,Federal Way,5,5041
33,Federal Way,7,5810
33,Federal Way,8,447
33,Federal Way,9,8162
33,Federal Way,10,3515
33,Federal Way,11,2231
33,Federal Way,12,1768
33,Federal Way,13,2295
33,Federal Way,Total,32963
33,Hunts Point,2,S
33,Hunts Point,4,S
33,Hunts Point,5,0
33,Hunts Point,7,21
33,Hunts Point,11,26
33,Hunts Point,12,3
33,Hunts Point,Total,58
33,Issaquah,1,46
33,Issaquah,2,712
33,Issaquah,3,950
33,Issaquah,4,1380
33,Issaquah,5,3367
33,Issaquah,7,10716
33,Issaquah,8,540
33,Issaquah,9,4800
33,Issaquah,10,2234
33,Issaquah,11,2619
33,Issaquah,12,835
33,Issaquah,13,862
33,Issaquah,Total,29061
33,Kenmore,1,4
33,Kenmore,2,563
33,Kenmore,3,86
33,Kenmore,4,367
33,Kenmore,5,425
33,Kenmore,7,726
33,Kenmore,8,571
33,Kenmore,9,396
33,Kenmore,10,313
33,Kenmore,11,405
33,Kenmore,12,126
33,Kenmore,13,543
33,Kenmore,Total,4523
33,Kent,1,132
33,Kent,2,8333
33,Kent,3,14422
33,Kent,4,21354
33,Kent,5,6276
33,Kent,7,10450
33,Kent,8,637
33,Kent,9,6422
33,Kent,10,3565
33,Kent,11,4314
