census_2020_tract_id,"census_2020_tract_geoid",county_id
1,"53033000101",33
2,"53033000102",33
3,"53033000201",33
4,"53033000202",33
5,"53033000300",33
6,"53033000402",33
7,"53033000403",33
8,"53033000404",33
9,"53033000500",33
10,"53033000601",33
11,"53033000602",33
12,"53033000700",33
13,"53033000800",33
14,"53033000900",33
15,"53033001000",33
16,"53033001100",33
17,"53033001201",33
18,"53033001202",33
19,"53033001300",33
20,"53033001400",33
21,"53033001500",33
22,"53033001600",33
23,"53033001701",33
24,"53033001702",33
25,"53033001800",33
26,"53033001900",33
27,"53033002000",33
28,"53033002100",33
29,"53033002200",33
30,"53033002400",33
31,"53033002500",33
32,"53033002600",33
33,"53033002700",33
34,"53033002800",33
35,"53033002900",33
36,"53033003000",33
37,"53033003100",33
38,"53033003201",33
39,"53033003202",33
40,"53033003301",33
41,"53033003302",33
42,"53033003400",33
43,"53033003500",33
44,"53033003601",33
45,"53033003602",33
46,"53033003800",33
47,"53033003900",33
48,"53033004000",33
49,"53033004101",33
50,"53033004102",33
51,"53033004201",33
52,"53033004202",33
53,"53033004301",33
54,"53033004302",33
55,"53033004401",33
56,"53033004402",33
57,"53033004500",33
58,"53033004600",33
59,"53033004701",33
60,"53033004702",33
61,"53033004703",33
62,"53033004800",33
63,"53033004901",33
64,"53033004902",33
65,"53033005000",33
66,"53033005100",33
67,"53033005201",33
68,"53033005202",33
69,"53033005303",33
70,"53033005304",33
71,"53033005305",33
72,"53033005306",33
73,"53033005307",33
74,"53033005401",33
75,"53033005402",33
76,"53033005600",33
77,"53033005700",33
78,"53033005801",33
79,"53033005803",33
80,"53033005804",33
81,"53033005901",33
82,"53033005902",33
83,"53033006000",33
84,"53033006100",33
85,"53033006200",33
86,"53033006300",33
87,"53033006400",33
88,"53033006500",33
89,"53033006600",33
90,"53033006701",33
91,"53033006702",33
92,"53033006703",33
93,"53033006800",33
94,"53033006900",33
95,"53033007001",33
96,"53033007002",33
97,"53033007101",33
98,"53033007102",33
99,"53033007201",33
100,"53033007202",33
101,"53033007203",33
102,"53033007301",33
103,"53033007302",33
104,"53033007303",33
105,"53033007403",33
106,"53033007404",33
107,"53033007405",33
108,"53033007406",33
109,"53033007501",33
110,"53033007502",33
111,"53033007503",33
112,"53033007600",33
113,"53033007700",33
114,"53033007800",33
115,"53033007901",33
116,"53033007902",33
117,"53033008002",33
118,"53033008003",33
119,"53033008004",33
120,"53033008101",33
121,"53033008102",33
122,"53033008200",33
123,"53033008300",33
124,"53033008401",33
125,"53033008402",33
126,"53033008500",33
127,"53033008600",33
128,"53033008700",33
129,"53033008800",33
130,"53033008900",33
131,"53033009000",33
132,"53033009100",33
133,"53033009200",33
134,"53033009300",33
135,"53033009400",33
136,"53033009500",33
137,"53033009600",33
138,"53033009701",33
139,"53033009702",33
140,"53033009801",33
141,"53033009802",33
142,"53033009900",33
143,"53033010001",33
144,"53033010002",33
145,"53033010101",33
146,"53033010102",33
147,"53033010200",33
148,"53033010301",33
149,"53033010302",33
150,"53033010401",33
151,"53033010402",33
152,"53033010501",33
153,"53033010502",33
154,"53033010601",33
155,"53033010602",33
156,"53033010701",33
157,"53033010702",33
158,"53033010800",33
159,"53033010900",33
160,"53033011001",33
161,"53033011002",33
162,"53033011101",33
163,"53033011102",33
164,"53033011200",33
165,"53033011300",33
166,"53033011401",33
167,"53033011402",33
168,"53033011500",33
169,"53033011601",33
170,"53033011602",33
171,"53033011700",33
172,"53033011801",33
173,"53033011802",33
174,"53033011901",33
175,"53033011902",33
176,"53033012000",33
177,"53033012100",33
178,"53033020100",33
179,"53033020200",33
180,"53033020301",33
181,"53033020302",33
182,"53033020401",33
183,"53033020402",33
184,"53033020500",33
185,"53033020600",33
186,"53033020700",33
187,"53033020800",33
188,"53033020900",33
189,"53033021000",33
190,"53033021100",33
191,"53033021300",33
192,"53033021400",33
193,"53033021500",33
194,"53033021600",33
195,"53033021701",33
196,"53033021702",33
197,"53033021802",33
198,"53033021803",33
199,"53033021804",33
200,"53033021903",33
201,"53033021904",33
202,"53033021905",33
203,"53033021906",33
204,"53033022001",33
205,"53033022003",33
206,"53033022005",33
207,"53033022006",33
208,"53033022101",33
209,"53033022102",33
210,"53033022201",33
211,"53033022203",33
212,"53033022204",33
213,"53033022205",33
214,"53033022300",33
215,"53033022401",33
216,"53033022402",33
217,"53033022501",33
218,"53033022502",33
219,"53033022603",33
220,"53033022604",33
221,"53033022605",33
222,"53033022606",33
223,"53033022701",33
224,"53033022702",33
225,"53033022703",33
226,"53033022802",33
227,"53033022803",33
228,"53033022804",33
229,"53033022805",33
230,"53033022901",33
231,"53033022902",33
232,"53033023000",33
233,"53033023100",33
234,"53033023201",33
235,"53033023202",33
236,"53033023300",33
237,"53033023401",33
238,"53033023403",33
239,"53033023404",33
240,"53033023500",33
241,"53033023601",33
242,"53033023603",33
243,"53033023604",33
244,"53033023701",33
245,"53033023702",33
246,"53033023801",33
247,"53033023805",33
248,"53033023806",33
249,"53033023807",33
250,"53033023808",33
251,"53033023901",33
252,"53033023902",33
253,"53033024001",33
254,"53033024002",33
255,"53033024100",33
256,"53033024200",33
257,"53033024301",33
258,"53033024302",33
259,"53033024400",33
260,"53033024500",33
261,"53033024601",33
262,"53033024602",33
263,"53033024701",33
264,"53033024703",33
265,"53033024704",33
266,"53033024800",33
267,"53033024901",33
268,"53033024902",33
269,"53033024904",33
270,"53033024905",33
271,"53033025001",33
272,"53033025005",33
273,"53033025006",33
274,"53033025007",33
275,"53033025008",33
