blockgroup_geoid,industry_id,number_of_jobs
530330218033,12,230
530330052011,13,59
530330058042,12,64
530530703074,12,7
530530714112,12,21
530530731201,12,11
530619400012,12,923
530530712071,13,301
530539400123,12,7
530330288012,12,127
530610519142,12,6
530330320112,12,26
530530714081,13,174
530330327031,12,1494
530530624003,13,87
530330112002,12,28
530610515003,12,223
530610519121,12,47
530330057003,13,66
530330323193,12,92
530530724051,13,153
530530721072,12,1
530330240013,12,78
530330030003,13,63
530330317042,12,11
530610535091,13,33
530330119013,13,43
530530712071,12,67
530610521141,13,176
530350912053,13,152
530610515004,13,77
530610519173,12,20
530330279021,12,203
530330285002,12,70
530330265001,12,16
530330323312,12,2
530530707033,12,17
530330087001,12,203
530330100022,12,11
530530703131,12,17
530330322203,12,19
530530625022,13,51
530330251012,12,14
530330238012,12,85
530610523013,12,1
530330258061,13,65
530330279012,13,67
530530731103,13,70
530330316011,12,6
530330305032,12,47
530330301021,13,68
530330229022,13,67
530330232023,12,27
530330323312,13,234
530539400092,12,23
530330289025,12,21
530330074062,12,3
530530728021,12,17
530330080022,12,1
530530717072,13,67
530610532021,12,6
530330204012,13,90
530330248002,13,116
530330323071,12,10
530330299023,12,7
530610526031,13,87
530530723152,12,171
530330277022,12,2
530610419072,13,129
530530731162,12,38
530330032022,12,13
530350804002,13,125
530330241003,13,179
530330325003,12,41
530610536051,12,2
530330224011,12,14
530330204024,12,35
530530716013,13,72
530530635012,13,97
530330205003,13,88
530330323233,13,74
530530703103,13,72
530330211003,13,338
530350921021,12,163
530330295071,13,232
530610407002,12,98
530330323272,13,61
530530721053,12,2784
530330012011,12,6
530330116012,12,87
530330319101,13,65
530330219034,12,12
530330323112,13,71
530330081012,12,15
530530715054,12,33
530610519313,12,13
530530715044,13,254
530330250053,13,94
530330303062,12,4
530330317091,13,210
530330309021,12,14
530330274001,12,13
530330053051,12,53
530330058032,13,44
530330244001,12,149
530330300031,13,59
530330264004,13,70
530330304041,12,8
530610535111,12,14
530610517012,13,80
530330297021,13,100
530530721092,13,30
530330321034,12,23
530350917013,13,60
530610420051,13,69
530330081022,12,7242
530330047021,12,4
530330118021,13,79
530539400044,13,48
530330088002,13,198
530530728022,12,14
530530714132,12,274
530610526052,12,100
530610528072,13,119
530530629023,13,58
530330308022,12,19
530610402004,13,89
530530733021,12,114
530330075013,12,1
530330260014,13,103
530330308012,13,70
530530735011,13,99
530619400015,12,2569
530330292052,12,212
530330001023,12,27
530330098011,12,13
530330236042,13,88
530350925003,12,313
530330238011,13,163
530610420052,12,11
530330237022,12,372
530530613001,13,76
530610410001,13,179
530330097023,13,84
530330080023,12,32
530330258041,13,90
530530635024,13,52
530530729032,12,1531
530330050001,12,77
530330327031,13,60
530330303102,13,85
530610522062,13,53
530330300033,12,13
530530721073,13,694
530330274004,12,11
530610524023,12,91
530610529063,13,108
530530614001,12,12
530530713051,12,185
530330114023,12,3
530610405002,13,73
530330038001,13,140
530330293082,13,85
530530635011,13,86
530330320063,13,65
530330104013,12,30
530330320113,12,12
530530715031,13,110
530330074032,12,14
530330306003,12,180
530330246012,13,75
530530731221,13,20
530530721073,12,9
530530734071,13,57
530610522111,12,1291
530330228032,12,2
530530702071,12,7
530539400023,12,57
530330248003,12,17
530330041022,13,52
530330304041,13,149
530330092001,12,431
530610535071,13,90
530330028002,12,17
530530734072,12,64
530350805002,12,110
530530626002,12,1302
530530617004,12,124
530330240011,12,3
530330298032,13,118
530610510001,12,206
530610528051,13,8
530530615021,13,144
530330065002,13,86
530330226034,13,95
530530617001,13,71
530330033023,12,29
530330327042,13,78
530330252021,13,81
530330233002,12,18
530330315012,12,29
530330220054,13,189
530330327063,12,16
530610521202,13,81
530350811002,12,328
530610537001,13,89
530330307001,12,93
530330323323,12,2
530610523021,13,67
530350909013,12,2
530530702072,12,39
530330323184,12,29
530350902022,12,50
530330293043,12,9
530330294073,12,74
530530716033,13,116
530530714142,13,380
530330303104,13,85
530330113004,13,69
530330311023,12,427
530610519173,13,54
530330243022,12,27
530330296042,13,244
530610529044,13,74
530330321042,13,158
530530731222,13,99
530610420052,13,66
530330289013,12,11
530350812002,12,3
530330281002,12,218
530610520062,13,65
530530721091,13,58
530330216002,12,18
530330050001,13,106
530330204021,13,45
530330323263,12,10
530530628023,13,216
530530731113,13,77
530330258051,13,198
530330220061,13,92
530330100012,12,3532
530330094003,13,63
530330242001,12,4
530350924001,13,335
530330219043,13,83
530330118023,12,11
530330099002,12,22
530530715051,13,79
530530713042,12,11
530610531021,12,2
530330314003,13,67
530330100011,13,80
530330010001,13,124
530530604003,12,15
530610529051,12,6
530330097013,12,2
530330279023,12,54
530610533022,13,83
530610522111,13,176
530330053031,13,29054
530330320073,12,121
530610522102,12,16
530330118013,13,351
530530724091,12,28
530330036023,12,12
530330069002,12,12
530330256022,12,9
530350810001,12,162
530330010001,12,27
530330301023,12,5
530330229012,13,88
530610531021,13,372
530330323183,13,74
530530620002,13,74
530330258061,12,4049
530330204013,13,20
530330063002,12,15
530350926003,13,63
530610414004,12,35
530330036023,13,28
530330292032,12,110
530330253031,13,81
530330010002,13,147
530330322252,13,240
530330034003,13,71
530610512002,13,78
530530611004,12,772
530530728021,13,83
530610411002,12,14
530610538013,12,9
530530724052,12,1
530330303043,13,168
530350915002,12,70
530610522032,12,26
530330292071,12,2
530330317052,12,13
530330218021,13,69
530330323114,13,54
530530731221,12,154
530330253041,12,34
530330253031,12,32
530350919002,12,2
530330293042,13,79
530530633023,13,68
530530610022,13,760
530330096001,12,12
530530701001,13,50
530330249052,12,17
530330002022,12,115
530610512002,12,66
530330326032,12,9
530330240022,12,5
530610519331,12,3
530350919001,13,70
530350916004,13,92
530330325003,13,184
530350912042,12,26
530530725071,13,72
530330220032,13,74
530330312025,13,213
530610538033,12,19
530530726032,13,58
530350912013,13,77
530330102003,12,32
530610525041,12,30
530330117003,13,70
530330101023,12,3
530330265001,13,97
530330295052,13,257
530330036022,12,10
530330218021,12,76
530330258032,12,44
530330326033,12,12
530610411004,13,73
530610506001,12,14
530330305011,12,84
530330103023,12,45
530330027004,12,70
530330250014,13,57
530330323153,12,7
530610413042,13,9
530330302032,13,69
530330075031,12,144
530330323071,13,29
530330312025,12,1119
530330316011,13,185
530530731151,12,41
530610419043,12,11
530330101022,13,65
530530713052,12,149
530610525023,13,76
530330068001,13,75
530350908001,13,149
530610517012,12,322
530610505011,12,85
530330297021,12,132
530530702083,13,150
530530732005,12,32
530610536043,12,34
530330205003,12,12
530610504031,13,53
530330320055,13,71
530530628014,12,27
530330005001,13,2
530330283002,12,9
530330323172,12,10
530539400121,12,146
530330304062,13,64
530330091002,12,73
530530628013,12,209
530350905021,12,74
530330109001,12,389
530330239013,12,2
530610519293,13,87
530330211003,12,669
530330092002,12,266
530330300062,12,1
530330319122,13,115
530330063002,13,33
530330277014,12,20
530350925003,13,358
530330064003,13,48
530330093002,12,4040
530330248003,13,251
530330323322,13,97
530530719013,13,60
530330268021,12,51
530330107022,12,9
530330100011,12,29
530330062001,12,39
