home_based_status,year,sector_id,total_number_of_jobs,subreg_id
0,2024,1,7038,-1
0,2026,1,7384,-1
0,2027,1,7531,-1
0,2028,1,7689,-1
0,2029,1,7860,-1
0,2031,1,8124,-1
0,2032,1,8263,-1
0,2033,1,8386,-1
0,2034,1,8488,-1
0,2036,1,8631,-1
0,2037,1,8674,-1
0,2038,1,8716,-1
0,2039,1,8755,-1
0,2041,1,8816,-1
0,2042,1,8838,-1
0,2043,1,8844,-1
0,2045,1,8805,-1
0,2046,1,8786,-1
0,2047,1,8787,-1
0,2048,1,8804,-1
0,2049,1,8840,-1
1,2024,1,770,-1
1,2026,1,809,-1
1,2027,1,825,-1
1,2028,1,842,-1
1,2029,1,860,-1
1,2031,1,890,-1
1,2032,1,905,-1
1,2033,1,919,-1
1,2034,1,929,-1
1,2036,1,945,-1
1,2037,1,951,-1
1,2038,1,955,-1
1,2039,1,960,-1
1,2041,1,965,-1
1,2042,1,968,-1
1,2043,1,969,-1
1,2045,1,965,-1
1,2046,1,962,-1
1,2047,1,963,-1
1,2048,1,964,-1
1,2049,1,969,-1
0,2024,2,129392,-1
0,2026,2,132363,-1
0,2027,2,134189,-1
0,2028,2,136452,-1
0,2029,2,138317,-1
0,2031,2,142257,-1
0,2032,2,143965,-1
0,2033,2,145222,-1
0,2034,2,146364,-1
0,2036,2,148106,-1
0,2037,2,149599,-1
0,2038,2,151336,-1
0,2039,2,152129,-1
0,2041,2,152377,-1
0,2042,2,152666,-1
0,2043,2,152746,-1
0,2045,2,152437,-1
0,2046,2,151930,-1
0,2047,2,151842,-1
0,2048,2,151543,-1
0,2049,2,151223,-1
1,2024,2,4982,-1
1,2026,2,5095,-1
1,2027,2,5165,-1
1,2028,2,5253,-1
1,2029,2,5324,-1
1,2031,2,5476,-1
1,2032,2,5542,-1
1,2033,2,5590,-1
1,2034,2,5635,-1
1,2036,2,5701,-1
1,2037,2,5759,-1
1,2038,2,5826,-1
1,2039,2,5857,-1
1,2041,2,5866,-1
1,2042,2,5877,-1
1,2043,2,5881,-1
1,2045,2,5868,-1
1,2046,2,5849,-1
1,2047,2,5845,-1
1,2048,2,5833,-1
1,2049,2,5822,-1
0,2024,3,170079,-1
0,2026,3,171951,-1
0,2027,3,172917,-1
0,2028,3,173756,-1
0,2029,3,174375,-1
0,2031,3,175569,-1
0,2032,3,175410,-1
0,2033,3,175088,-1
0,2034,3,174801,-1
0,2036,3,174401,-1
0,2037,3,174281,-1
0,2038,3,173965,-1
0,2039,3,173055,-1
0,2041,3,170936,-1
0,2042,3,169980,-1
0,2043,3,169110,-1
0,2045,3,166873,-1
0,2046,3,165671,-1
0,2047,3,164421,-1
0,2048,3,163130,-1
0,2049,3,161787,-1
1,2024,3,6743,-1
1,2026,3,6817,-1
1,2027,3,6855,-1
1,2028,3,6887,-1
1,2029,3,6912,-1
1,2031,3,6959,-1
1,2032,3,6954,-1
1,2033,3,6941,-1
1,2034,3,6931,-1
1,2036,3,6914,-1
1,2037,3,6909,-1
1,2038,3,6896,-1
1,2039,3,6861,-1
1,2041,3,6776,-1
1,2042,3,6738,-1
1,2043,3,6704,-1
1,2045,3,6615,-1
1,2046,3,6567,-1
1,2047,3,6518,-1
1,2048,3,6467,-1
1,2049,3,6414,-1
0,2024,4,155538,-1
0,2026,4,159179,-1
0,2027,4,161780,-1
0,2028,4,163971,-1
0,2029,4,165626,-1
0,2031,4,170158,-1
0,2032,4,172218,-1
0,2033,4,174320,-1
0,2034,4,176357,-1
0,2036,4,179712,-1
0,2037,4,181693,-1
0,2038,4,183574,-1
0,2039,4,185462,-1
0,2041,4,188850,-1
0,2042,4,190441,-1
0,2043,4,191901,-1
0,2045,4,193978,-1
0,2046,4,194846,-1
0,2047,4,195857,-1
0,2048,4,196845,-1
0,2049,4,197781,-1
1,2024,4,9266,-1
1,2026,4,9476,-1
1,2027,4,9661,-1
1,2028,4,9805,-1
1,2029,4,9898,-1
1,2031,4,10212,-1
1,2032,4,10344,-1
1,2033,4,10486,-1
1,2034,4,10626,-1
1,2036,4,10846,-1
1,2037,4,10988,-1
1,2038,4,11119,-1
1,2039,4,11251,-1
1,2041,4,11489,-1
1,2042,4,11600,-1
1,2043,4,11705,-1
1,2045,4,11859,-1
1,2046,4,11925,-1
1,2047,4,12005,-1
1,2048,4,12082,-1
1,2049,4,12155,-1
0,2024,5,247110,-1
0,2026,5,256020,-1
0,2027,5,262436,-1
0,2028,5,267692,-1
0,2029,5,272114,-1
0,2031,5,283865,-1
0,2032,5,289185,-1
0,2033,5,294892,-1
0,2034,5,300483,-1
0,2036,5,310488,-1
0,2037,5,316211,-1
0,2038,5,321713,-1
0,2039,5,327283,-1
0,2041,5,337900,-1
0,2042,5,343279,-1
0,2043,5,348433,-1
0,2045,5,357310,-1
0,2046,5,361415,-1
0,2047,5,365889,-1
0,2048,5,370294,-1
0,2049,5,374630,-1
1,2024,5,8024,-1
1,2026,5,8314,-1
1,2027,5,8522,-1
1,2028,5,8692,-1
1,2029,5,8836,-1
1,2031,5,9218,-1
1,2032,5,9390,-1
1,2033,5,9576,-1
1,2034,5,9757,-1
1,2036,5,10082,-1
1,2037,5,10268,-1
1,2038,5,10447,-1
1,2039,5,10628,-1
1,2041,5,10973,-1
1,2042,5,11148,-1
1,2043,5,11314,-1
1,2045,5,11603,-1
1,2046,5,11736,-1
1,2047,5,11881,-1
1,2048,5,12024,-1
1,2049,5,12165,-1
0,2024,7,530153,-1
0,2026,7,560461,-1
0,2027,7,574235,-1
0,2028,7,588908,-1
0,2029,7,604385,-1
0,2031,7,633960,-1
0,2032,7,648881,-1
0,2033,7,663960,-1
0,2034,7,679641,-1
0,2036,7,713295,-1
0,2037,7,729498,-1
0,2038,7,745829,-1
0,2039,7,762293,-1
0,2041,7,796706,-1
0,2042,7,814121,-1
0,2043,7,832317,-1
0,2045,7,867158,-1
0,2046,7,884581,-1
0,2047,7,901360,-1
0,2048,7,918444,-1
0,2049,7,935500,-1
