year,income_min,income_max,persons_min,persons_max,workers_min,workers_max,total_number_of_households,subreg_id
2025,0,-1,1,1,0,-1,5839,1
2030,0,-1,1,1,0,-1,6030,1
2035,0,-1,1,1,0,-1,6220,1
2040,0,-1,1,1,0,-1,6411,1
2044,0,-1,1,1,0,-1,6564,1
2050,0,-1,1,1,0,-1,6703,1
2025,0,-1,2,2,0,-1,10451,1
2030,0,-1,2,2,0,-1,10792,1
2035,0,-1,2,2,0,-1,11135,1
2040,0,-1,2,2,0,-1,11476,1
2044,0,-1,2,2,0,-1,11751,1
2050,0,-1,2,2,0,-1,11996,1
2025,0,-1,3,3,0,-1,6539,1
2030,0,-1,3,3,0,-1,6694,1
2035,0,-1,3,3,0,-1,6852,1
2040,0,-1,3,3,0,-1,7008,1
2044,0,-1,3,3,0,-1,7131,1
2050,0,-1,3,3,0,-1,7303,1
2025,0,-1,4,4,0,-1,6423,1
2030,0,-1,4,4,0,-1,6579,1
2035,0,-1,4,4,0,-1,6731,1
2040,0,-1,4,4,0,-1,6885,1
2044,0,-1,4,4,0,-1,7007,1
2050,0,-1,4,4,0,-1,7174,1
2025,0,-1,5,5,0,-1,1930,1
2030,0,-1,5,5,0,-1,1978,1
2035,0,-1,5,5,0,-1,2023,1
2040,0,-1,5,5,0,-1,2070,1
2044,0,-1,5,5,0,-1,2108,1
2050,0,-1,5,5,0,-1,2157,1
2025,0,-1,6,6,0,-1,711,1
2030,0,-1,6,6,0,-1,727,1
2035,0,-1,6,6,0,-1,744,1
2040,0,-1,6,6,0,-1,762,1
2044,0,-1,6,6,0,-1,775,1
2050,0,-1,6,6,0,-1,793,1
2025,0,-1,7,-1,0,-1,218,1
2030,0,-1,7,-1,0,-1,223,1
2035,0,-1,7,-1,0,-1,229,1
2040,0,-1,7,-1,0,-1,233,1
2044,0,-1,7,-1,0,-1,238,1
2050,0,-1,7,-1,0,-1,244,1
2025,0,-1,1,1,0,-1,25324,2
2030,0,-1,1,1,0,-1,26289,2
2035,0,-1,1,1,0,-1,27255,2
2040,0,-1,1,1,0,-1,28221,2
2044,0,-1,1,1,0,-1,28990,2
2050,0,-1,1,1,0,-1,29798,2
2025,0,-1,2,2,0,-1,33428,2
2030,0,-1,2,2,0,-1,34703,2
2035,0,-1,2,2,0,-1,35976,2
2040,0,-1,2,2,0,-1,37250,2
2044,0,-1,2,2,0,-1,38271,2
2050,0,-1,2,2,0,-1,39337,2
2025,0,-1,3,3,0,-1,14205,2
2030,0,-1,3,3,0,-1,14469,2
2035,0,-1,3,3,0,-1,14730,2
2040,0,-1,3,3,0,-1,14993,2
2044,0,-1,3,3,0,-1,15204,2
2050,0,-1,3,3,0,-1,15611,2
2025,0,-1,4,4,0,-1,12527,2
2030,0,-1,4,4,0,-1,12757,2
2035,0,-1,4,4,0,-1,12988,2
2040,0,-1,4,4,0,-1,13220,2
2044,0,-1,4,4,0,-1,13406,2
2050,0,-1,4,4,0,-1,13764,2
2025,0,-1,5,5,0,-1,3587,2
2030,0,-1,5,5,0,-1,3655,2
2035,0,-1,5,5,0,-1,3722,2
2040,0,-1,5,5,0,-1,3789,2
2044,0,-1,5,5,0,-1,3841,2
2050,0,-1,5,5,0,-1,3945,2
2025,0,-1,6,6,0,-1,1156,2
2030,0,-1,6,6,0,-1,1177,2
2035,0,-1,6,6,0,-1,1199,2
2040,0,-1,6,6,0,-1,1220,2
2044,0,-1,6,6,0,-1,1238,2
2050,0,-1,6,6,0,-1,1270,2
2025,0,-1,7,-1,0,-1,488,2
2030,0,-1,7,-1,0,-1,496,2
2035,0,-1,7,-1,0,-1,506,2
2040,0,-1,7,-1,0,-1,514,2
2044,0,-1,7,-1,0,-1,521,2
2050,0,-1,7,-1,0,-1,537,2
2025,0,-1,1,1,0,-1,4490,3
2030,0,-1,1,1,0,-1,4899,3
2035,0,-1,1,1,0,-1,5310,3
2040,0,-1,1,1,0,-1,5723,3
2044,0,-1,1,1,0,-1,6050,3
2050,0,-1,1,1,0,-1,6468,3
2025,0,-1,2,2,0,-1,5677,3
2030,0,-1,2,2,0,-1,6197,3
2035,0,-1,2,2,0,-1,6719,3
2040,0,-1,2,2,0,-1,7238,3
2044,0,-1,2,2,0,-1,7653,3
2050,0,-1,2,2,0,-1,8181,3
2025,0,-1,3,3,0,-1,3573,3
2030,0,-1,3,3,0,-1,3723,3
2035,0,-1,3,3,0,-1,3870,3
2040,0,-1,3,3,0,-1,4018,3
2044,0,-1,3,3,0,-1,4140,3
2050,0,-1,3,3,0,-1,4299,3
2025,0,-1,4,4,0,-1,3078,3
2030,0,-1,4,4,0,-1,3208,3
2035,0,-1,4,4,0,-1,3335,3
2040,0,-1,4,4,0,-1,3463,3
2044,0,-1,4,4,0,-1,3566,3
2050,0,-1,4,4,0,-1,3704,3
2025,0,-1,5,5,0,-1,1736,3
2030,0,-1,5,5,0,-1,1807,3
2035,0,-1,5,5,0,-1,1879,3
2040,0,-1,5,5,0,-1,1953,3
2044,0,-1,5,5,0,-1,2011,3
2050,0,-1,5,5,0,-1,2089,3
2025,0,-1,6,6,0,-1,806,3
2030,0,-1,6,6,0,-1,841,3
2035,0,-1,6,6,0,-1,873,3
2040,0,-1,6,6,0,-1,906,3
2044,0,-1,6,6,0,-1,932,3
2050,0,-1,6,6,0,-1,969,3
2025,0,-1,7,-1,0,-1,477,3
2030,0,-1,7,-1,0,-1,495,3
2035,0,-1,7,-1,0,-1,517,3
2040,0,-1,7,-1,0,-1,536,3
2044,0,-1,7,-1,0,-1,551,3
2050,0,-1,7,-1,0,-1,571,3
2025,0,-1,1,1,0,-1,2358,4
2030,0,-1,1,1,0,-1,2565,4
2035,0,-1,1,1,0,-1,2774,4
2040,0,-1,1,1,0,-1,2983,4
2044,0,-1,1,1,0,-1,3149,4
2050,0,-1,1,1,0,-1,3317,4
2025,0,-1,2,2,0,-1,2793,4
2030,0,-1,2,2,0,-1,3041,4
2035,0,-1,2,2,0,-1,3287,4
2040,0,-1,2,2,0,-1,3535,4
2044,0,-1,2,2,0,-1,3732,4
2050,0,-1,2,2,0,-1,3930,4
2025,0,-1,3,3,0,-1,1465,4
2030,0,-1,3,3,0,-1,1527,4
2035,0,-1,3,3,0,-1,1588,4
2040,0,-1,3,3,0,-1,1647,4
2044,0,-1,3,3,0,-1,1695,4
2050,0,-1,3,3,0,-1,1766,4
2025,0,-1,4,4,0,-1,1386,4
2030,0,-1,4,4,0,-1,1444,4
2035,0,-1,4,4,0,-1,1501,4
2040,0,-1,4,4,0,-1,1559,4
2044,0,-1,4,4,0,-1,1606,4
2050,0,-1,4,4,0,-1,1671,4
2025,0,-1,5,5,0,-1,463,4
2030,0,-1,5,5,0,-1,482,4
2035,0,-1,5,5,0,-1,502,4
2040,0,-1,5,5,0,-1,521,4
2044,0,-1,5,5,0,-1,538,4
2050,0,-1,5,5,0,-1,559,4
2025,0,-1,6,6,0,-1,165,4
2030,0,-1,6,6,0,-1,171,4
2035,0,-1,6,6,0,-1,178,4
2040,0,-1,6,6,0,-1,185,4
2044,0,-1,6,6,0,-1,191,4
2050,0,-1,6,6,0,-1,199,4
2025,0,-1,7,-1,0,-1,90,4
2030,0,-1,7,-1,0,-1,94,4
2035,0,-1,7,-1,0,-1,98,4
2040,0,-1,7,-1,0,-1,102,4
2044,0,-1,7,-1,0,-1,104,4
2050,0,-1,7,-1,0,-1,108,4
2025,0,-1,1,1,0,-1,3008,5
2030,0,-1,1,1,0,-1,3050,5
2035,0,-1,1,1,0,-1,3092,5
2040,0,-1,1,1,0,-1,3135,5
2044,0,-1,1,1,0,-1,3168,5
2050,0,-1,1,1,0,-1,3216,5
2025,0,-1,2,2,0,-1,3866,5
2030,0,-1,2,2,0,-1,3921,5
2035,0,-1,2,2,0,-1,3975,5
2040,0,-1,2,2,0,-1,4026,5
2044,0,-1,2,2,0,-1,4068,5
2050,0,-1,2,2,0,-1,4129,5
2025,0,-1,3,3,0,-1,2075,5
2030,0,-1,3,3,0,-1,2082,5
2035,0,-1,3,3,0,-1,2089,5
2040,0,-1,3,3,0,-1,2097,5
2044,0,-1,3,3,0,-1,2105,5
2050,0,-1,3,3,0,-1,2133,5
2025,0,-1,4,4,0,-1,1660,5
2030,0,-1,4,4,0,-1,1665,5
2035,0,-1,4,4,0,-1,1672,5
2040,0,-1,4,4,0,-1,1678,5
2044,0,-1,4,4,0,-1,1682,5
2050,0,-1,4,4,0,-1,1707,5
2025,0,-1,5,5,0,-1,862,5
2030,0,-1,5,5,0,-1,864,5
2035,0,-1,5,5,0,-1,867,5
2040,0,-1,5,5,0,-1,871,5
2044,0,-1,5,5,0,-1,875,5
2050,0,-1,5,5,0,-1,885,5
2025,0,-1,6,6,0,-1,396,5
2030,0,-1,6,6,0,-1,397,5
2035,0,-1,6,6,0,-1,398,5
2040,0,-1,6,6,0,-1,401,5
2044,0,-1,6,6,0,-1,401,5
2050,0,-1,6,6,0,-1,405,5
2025,0,-1,7,-1,0,-1,222,5
2030,0,-1,7,-1,0,-1,224,5
2035,0,-1,7,-1,0,-1,224,5
2040,0,-1,7,-1,0,-1,224,5
2044,0,-1,7,-1,0,-1,224,5
2050,0,-1,7,-1,0,-1,229,5
2025,0,-1,1,1,0,-1,5289,6
2030,0,-1,1,1,0,-1,5331,6
2035,0,-1,1,1,0,-1,5373,6
2040,0,-1,1,1,0,-1,5418,6
2044,0,-1,1,1,0,-1,5454,6
2050,0,-1,1,1,0,-1,5515,6
2025,0,-1,2,2,0,-1,7590,6
2030,0,-1,2,2,0,-1,7654,6
2035,0,-1,2,2,0,-1,7718,6
2040,0,-1,2,2,0,-1,7778,6
2044,0,-1,2,2,0,-1,7827,6
2050,0,-1,2,2,0,-1,7918,6
2025,0,-1,3,3,0,-1,4475,6
2030,0,-1,3,3,0,-1,4535,6
2035,0,-1,3,3,0,-1,4595,6
2040,0,-1,3,3,0,-1,4654,6
2044,0,-1,3,3,0,-1,4705,6
2050,0,-1,3,3,0,-1,4745,6
2025,0,-1,4,4,0,-1,3548,6
2030,0,-1,4,4,0,-1,3597,6
2035,0,-1,4,4,0,-1,3646,6
2040,0,-1,4,4,0,-1,3694,6
2044,0,-1,4,4,0,-1,3731,6
2050,0,-1,4,4,0,-1,3763,6
2025,0,-1,5,5,0,-1,1865,6
2030,0,-1,5,5,0,-1,1890,6
2035,0,-1,5,5,0,-1,1915,6
2040,0,-1,5,5,0,-1,1941,6
2044,0,-1,5,5,0,-1,1960,6
2050,0,-1,5,5,0,-1,1977,6
2025,0,-1,6,6,0,-1,1091,6
2030,0,-1,6,6,0,-1,1105,6
2035,0,-1,6,6,0,-1,1121,6
2040,0,-1,6,6,0,-1,1134,6
2044,0,-1,6,6,0,-1,1144,6
2050,0,-1,6,6,0,-1,1158,6
2025,0,-1,7,-1,0,-1,571,6
2030,0,-1,7,-1,0,-1,579,6
2035,0,-1,7,-1,0,-1,585,6
2040,0,-1,7,-1,0,-1,595,6
2044,0,-1,7,-1,0,-1,603,6
2050,0,-1,7,-1,0,-1,604,6
2025,0,-1,1,1,0,-1,4639,7
2030,0,-1,1,1,0,-1,4680,7
2035,0,-1,1,1,0,-1,4723,7
2040,0,-1,1,1,0,-1,4766,7
2044,0,-1,1,1,0,-1,4800,7
2050,0,-1,1,1,0,-1,4949,7
2025,0,-1,2,2,0,-1,5636,7
2030,0,-1,2,2,0,-1,5689,7
2035,0,-1,2,2,0,-1,5739,7
2040,0,-1,2,2,0,-1,5791,7
2044,0,-1,2,2,0,-1,5833,7
2050,0,-1,2,2,0,-1,6012,7
2025,0,-1,3,3,0,-1,2769,7
2030,0,-1,3,3,0,-1,2752,7
2035,0,-1,3,3,0,-1,2736,7
2040,0,-1,3,3,0,-1,2718,7
2044,0,-1,3,3,0,-1,2705,7
2050,0,-1,3,3,0,-1,2647,7
2025,0,-1,4,4,0,-1,2515,7
2030,0,-1,4,4,0,-1,2500,7
2035,0,-1,4,4,0,-1,2485,7
2040,0,-1,4,4,0,-1,2471,7
2044,0,-1,4,4,0,-1,2458,7
2050,0,-1,4,4,0,-1,2407,7
2025,0,-1,5,5,0,-1,759,7
2030,0,-1,5,5,0,-1,755,7
2035,0,-1,5,5,0,-1,751,7
2040,0,-1,5,5,0,-1,746,7
2044,0,-1,5,5,0,-1,742,7
2050,0,-1,5,5,0,-1,726,7
2025,0,-1,6,6,0,-1,242,7
2030,0,-1,6,6,0,-1,240,7
2035,0,-1,6,6,0,-1,240,7
2040,0,-1,6,6,0,-1,238,7
2044,0,-1,6,6,0,-1,238,7
2050,0,-1,6,6,0,-1,232,7
2025,0,-1,7,-1,0,-1,79,7
2030,0,-1,7,-1,0,-1,79,7
2035,0,-1,7,-1,0,-1,77,7
2040,0,-1,7,-1,0,-1,77,7
2044,0,-1,7,-1,0,-1,76,7
2050,0,-1,7,-1,0,-1,75,7
2025,0,-1,1,1,0,-1,6676,8
2030,0,-1,1,1,0,-1,6769,8
2035,0,-1,1,1,0,-1,6863,8
2040,0,-1,1,1,0,-1,6957,8
2044,0,-1,1,1,0,-1,7033,8
2050,0,-1,1,1,0,-1,7095,8
2025,0,-1,2,2,0,-1,9255,8
2030,0,-1,2,2,0,-1,9386,8
2035,0,-1,2,2,0,-1,9515,8
2040,0,-1,2,2,0,-1,9645,8
2044,0,-1,2,2,0,-1,9748,8
2050,0,-1,2,2,0,-1,9836,8
2025,0,-1,3,3,0,-1,5785,8
2030,0,-1,3,3,0,-1,5790,8
2035,0,-1,3,3,0,-1,5797,8
2040,0,-1,3,3,0,-1,5799,8
2044,0,-1,3,3,0,-1,5805,8
2050,0,-1,3,3,0,-1,5830,8
2025,0,-1,4,4,0,-1,5034,8
2030,0,-1,4,4,0,-1,5038,8
2035,0,-1,4,4,0,-1,5041,8
2040,0,-1,4,4,0,-1,5049,8
2044,0,-1,4,4,0,-1,5049,8
2050,0,-1,4,4,0,-1,5071,8
2025,0,-1,5,5,0,-1,2863,8
2030,0,-1,5,5,0,-1,2866,8
2035,0,-1,5,5,0,-1,2868,8
2040,0,-1,5,5,0,-1,2872,8
2044,0,-1,5,5,0,-1,2873,8
2050,0,-1,5,5,0,-1,2886,8
2025,0,-1,6,6,0,-1,1515,8
2030,0,-1,6,6,0,-1,1517,8
2035,0,-1,6,6,0,-1,1518,8
2040,0,-1,6,6,0,-1,1519,8
2044,0,-1,6,6,0,-1,1523,8
2050,0,-1,6,6,0,-1,1526,8
2025,0,-1,7,-1,0,-1,893,8
2030,0,-1,7,-1,0,-1,893,8
2035,0,-1,7,-1,0,-1,894,8
2040,0,-1,7,-1,0,-1,893,8
2044,0,-1,7,-1,0,-1,893,8
2050,0,-1,7,-1,0,-1,898,8
2025,0,-1,1,1,0,-1,4338,9
2030,0,-1,1,1,0,-1,4733,9
2035,0,-1,1,1,0,-1,5131,9
2040,0,-1,1,1,0,-1,5527,9
2044,0,-1,1,1,0,-1,5844,9
2050,0,-1,1,1,0,-1,6194,9
2025,0,-1,2,2,0,-1,7035,9
2030,0,-1,2,2,0,-1,7678,9
2035,0,-1,2,2,0,-1,8320,9
2040,0,-1,2,2,0,-1,8964,9
2044,0,-1,2,2,0,-1,9478,9
2050,0,-1,2,2,0,-1,10045,9
2025,0,-1,3,3,0,-1,3795,9
2030,0,-1,3,3,0,-1,3945,9
2035,0,-1,3,3,0,-1,4094,9
2040,0,-1,3,3,0,-1,4242,9
2044,0,-1,3,3,0,-1,4361,9
2050,0,-1,3,3,0,-1,4491,9
2025,0,-1,4,4,0,-1,3401,9
2030,0,-1,4,4,0,-1,3535,9
2035,0,-1,4,4,0,-1,3668,9
2040,0,-1,4,4,0,-1,3801,9
2044,0,-1,4,4,0,-1,3908,9
2050,0,-1,4,4,0,-1,4025,9
2025,0,-1,5,5,0,-1,1007,9
2030,0,-1,5,5,0,-1,1046,9
2035,0,-1,5,5,0,-1,1084,9
2040,0,-1,5,5,0,-1,1124,9
2044,0,-1,5,5,0,-1,1156,9
2050,0,-1,5,5,0,-1,1190,9
2025,0,-1,6,6,0,-1,365,9
2030,0,-1,6,6,0,-1,380,9
2035,0,-1,6,6,0,-1,396,9
2040,0,-1,6,6,0,-1,410,9
2044,0,-1,6,6,0,-1,421,9
2050,0,-1,6,6,0,-1,432,9
2025,0,-1,7,-1,0,-1,128,9
2030,0,-1,7,-1,0,-1,132,9
2035,0,-1,7,-1,0,-1,137,9
2040,0,-1,7,-1,0,-1,142,9
2044,0,-1,7,-1,0,-1,146,9
2050,0,-1,7,-1,0,-1,152,9
2025,0,-1,1,1,0,-1,3202,10
2030,0,-1,1,1,0,-1,3436,10
2035,0,-1,1,1,0,-1,3673,10
2040,0,-1,1,1,0,-1,3906,10
2044,0,-1,1,1,0,-1,4096,10
2050,0,-1,1,1,0,-1,4198,10
2025,0,-1,2,2,0,-1,4884,10
2030,0,-1,2,2,0,-1,5243,10
2035,0,-1,2,2,0,-1,5602,10
2040,0,-1,2,2,0,-1,5963,10
2044,0,-1,2,2,0,-1,6249,10
2050,0,-1,2,2,0,-1,6404,10
2025,0,-1,3,3,0,-1,3129,10
2030,0,-1,3,3,0,-1,3179,10
2035,0,-1,3,3,0,-1,3227,10
2040,0,-1,3,3,0,-1,3276,10
2044,0,-1,3,3,0,-1,3317,10
2050,0,-1,3,3,0,-1,3382,10
2025,0,-1,4,4,0,-1,3298,10
2030,0,-1,4,4,0,-1,3351,10
2035,0,-1,4,4,0,-1,3403,10
2040,0,-1,4,4,0,-1,3454,10
2044,0,-1,4,4,0,-1,3496,10
2050,0,-1,4,4,0,-1,3566,10
2025,0,-1,5,5,0,-1,873,10
2030,0,-1,5,5,0,-1,888,10
2035,0,-1,5,5,0,-1,901,10
2040,0,-1,5,5,0,-1,916,10
2044,0,-1,5,5,0,-1,925,10
2050,0,-1,5,5,0,-1,944,10
2025,0,-1,6,6,0,-1,323,10
2030,0,-1,6,6,0,-1,328,10
2035,0,-1,6,6,0,-1,333,10
2040,0,-1,6,6,0,-1,340,10
2044,0,-1,6,6,0,-1,343,10
2050,0,-1,6,6,0,-1,349,10
2025,0,-1,7,-1,0,-1,115,10
2030,0,-1,7,-1,0,-1,115,10
2035,0,-1,7,-1,0,-1,117,10
2040,0,-1,7,-1,0,-1,117,10
2044,0,-1,7,-1,0,-1,119,10
2050,0,-1,7,-1,0,-1,122,10
2025,0,-1,1,1,0,-1,6532,11
2030,0,-1,1,1,0,-1,6578,11
2035,0,-1,1,1,0,-1,6625,11
2040,0,-1,1,1,0,-1,6673,11
2044,0,-1,1,1,0,-1,6710,11
2050,0,-1,1,1,0,-1,6817,11
2025,0,-1,2,2,0,-1,8580,11
2030,0,-1,2,2,0,-1,8639,11
2035,0,-1,2,2,0,-1,8702,11
2040,0,-1,2,2,0,-1,8759,11
2044,0,-1,2,2,0,-1,8809,11
2050,0,-1,2,2,0,-1,8952,11
2025,0,-1,3,3,0,-1,5204,11
2030,0,-1,3,3,0,-1,5203,11
2035,0,-1,3,3,0,-1,5197,11
2040,0,-1,3,3,0,-1,5195,11
2044,0,-1,3,3,0,-1,5192,11
2050,0,-1,3,3,0,-1,5251,11
2025,0,-1,4,4,0,-1,4210,11
2030,0,-1,4,4,0,-1,4206,11
2035,0,-1,4,4,0,-1,4205,11
2040,0,-1,4,4,0,-1,4202,11
2044,0,-1,4,4,0,-1,4200,11
2050,0,-1,4,4,0,-1,4248,11
2025,0,-1,5,5,0,-1,1892,11
2030,0,-1,5,5,0,-1,1893,11
2035,0,-1,5,5,0,-1,1890,11
2040,0,-1,5,5,0,-1,1889,11
2044,0,-1,5,5,0,-1,1888,11
2050,0,-1,5,5,0,-1,1912,11
2025,0,-1,6,6,0,-1,899,11
2030,0,-1,6,6,0,-1,897,11
2035,0,-1,6,6,0,-1,896,11
2040,0,-1,6,6,0,-1,896,11
2044,0,-1,6,6,0,-1,896,11
2050,0,-1,6,6,0,-1,906,11
2025,0,-1,7,-1,0,-1,457,11
2030,0,-1,7,-1,0,-1,457,11
2035,0,-1,7,-1,0,-1,458,11
2040,0,-1,7,-1,0,-1,458,11
2044,0,-1,7,-1,0,-1,457,11
2050,0,-1,7,-1,0,-1,463,11
2025,0,-1,1,1,0,-1,996,12
2030,0,-1,1,1,0,-1,1058,12
2035,0,-1,1,1,0,-1,1120,12
2040,0,-1,1,1,0,-1,1188,12
2044,0,-1,1,1,0,-1,1238,12
2050,0,-1,1,1,0,-1,1266,12
2025,0,-1,2,2,0,-1,1348,12
2030,0,-1,2,2,0,-1,1436,12
2035,0,-1,2,2,0,-1,1519,12
2040,0,-1,2,2,0,-1,1605,12
2044,0,-1,2,2,0,-1,1672,12
2050,0,-1,2,2,0,-1,1718,12
2025,0,-1,3,3,0,-1,951,12
2030,0,-1,3,3,0,-1,957,12
2035,0,-1,3,3,0,-1,964,12
2040,0,-1,3,3,0,-1,966,12
2044,0,-1,3,3,0,-1,971,12
2050,0,-1,3,3,0,-1,990,12
2025,0,-1,4,4,0,-1,830,12
2030,0,-1,4,4,0,-1,833,12
2035,0,-1,4,4,0,-1,840,12
2040,0,-1,4,4,0,-1,844,12
2044,0,-1,4,4,0,-1,848,12
2050,0,-1,4,4,0,-1,861,12
2025,0,-1,5,5,0,-1,494,12
2030,0,-1,5,5,0,-1,497,12
2035,0,-1,5,5,0,-1,500,12
2040,0,-1,5,5,0,-1,501,12
2044,0,-1,5,5,0,-1,505,12
2050,0,-1,5,5,0,-1,513,12
2025,0,-1,6,6,0,-1,267,12
2030,0,-1,6,6,0,-1,267,12
2035,0,-1,6,6,0,-1,270,12
2040,0,-1,6,6,0,-1,270,12
2044,0,-1,6,6,0,-1,271,12
2050,0,-1,6,6,0,-1,277,12
2025,0,-1,7,-1,0,-1,216,12
2030,0,-1,7,-1,0,-1,218,12
2035,0,-1,7,-1,0,-1,217,12
2040,0,-1,7,-1,0,-1,221,12
2044,0,-1,7,-1,0,-1,221,12
2050,0,-1,7,-1,0,-1,224,12
2025,0,-1,1,1,0,-1,1152,13
2030,0,-1,1,1,0,-1,1245,13
2035,0,-1,1,1,0,-1,1334,13
2040,0,-1,1,1,0,-1,1425,13
2044,0,-1,1,1,0,-1,1499,13
2050,0,-1,1,1,0,-1,1551,13
2025,0,-1,2,2,0,-1,1189,13
2030,0,-1,2,2,0,-1,1279,13
2035,0,-1,2,2,0,-1,1375,13
2040,0,-1,2,2,0,-1,1468,13
2044,0,-1,2,2,0,-1,1544,13
2050,0,-1,2,2,0,-1,1596,13
2025,0,-1,3,3,0,-1,697,13
2030,0,-1,3,3,0,-1,712,13
2035,0,-1,3,3,0,-1,726,13
2040,0,-1,3,3,0,-1,741,13
2044,0,-1,3,3,0,-1,750,13
2050,0,-1,3,3,0,-1,770,13
2025,0,-1,4,4,0,-1,528,13
2030,0,-1,4,4,0,-1,540,13
2035,0,-1,4,4,0,-1,551,13
2040,0,-1,4,4,0,-1,561,13
2044,0,-1,4,4,0,-1,570,13
2050,0,-1,4,4,0,-1,583,13
2025,0,-1,5,5,0,-1,336,13
2030,0,-1,5,5,0,-1,343,13
2035,0,-1,5,5,0,-1,349,13
2040,0,-1,5,5,0,-1,357,13
2044,0,-1,5,5,0,-1,360,13
2050,0,-1,5,5,0,-1,371,13
2025,0,-1,6,6,0,-1,193,13
2030,0,-1,6,6,0,-1,198,13
2035,0,-1,6,6,0,-1,201,13
2040,0,-1,6,6,0,-1,206,13
2044,0,-1,6,6,0,-1,210,13
2050,0,-1,6,6,0,-1,214,13
2025,0,-1,7,-1,0,-1,97,13
2030,0,-1,7,-1,0,-1,98,13
2035,0,-1,7,-1,0,-1,101,13
2040,0,-1,7,-1,0,-1,102,13
2044,0,-1,7,-1,0,-1,105,13
2050,0,-1,7,-1,0,-1,106,13
2025,0,-1,1,1,0,-1,2643,14
2030,0,-1,1,1,0,-1,2758,14
2035,0,-1,1,1,0,-1,2872,14
2040,0,-1,1,1,0,-1,2985,14
2044,0,-1,1,1,0,-1,3076,14
2050,0,-1,1,1,0,-1,3148,14
2025,0,-1,2,2,0,-1,3058,14
2030,0,-1,2,2,0,-1,3189,14
2035,0,-1,2,2,0,-1,3321,14
2040,0,-1,2,2,0,-1,3453,14
2044,0,-1,2,2,0,-1,3557,14
2050,0,-1,2,2,0,-1,3641,14
2025,0,-1,3,3,0,-1,1479,14
2030,0,-1,3,3,0,-1,1500,14
2035,0,-1,3,3,0,-1,1520,14
2040,0,-1,3,3,0,-1,1543,14
2044,0,-1,3,3,0,-1,1560,14
2050,0,-1,3,3,0,-1,1577,14
2025,0,-1,4,4,0,-1,1176,14
2030,0,-1,4,4,0,-1,1194,14
2035,0,-1,4,4,0,-1,1209,14
2040,0,-1,4,4,0,-1,1227,14
2044,0,-1,4,4,0,-1,1240,14
2050,0,-1,4,4,0,-1,1255,14
2025,0,-1,5,5,0,-1,610,14
2030,0,-1,5,5,0,-1,617,14
2035,0,-1,5,5,0,-1,627,14
2040,0,-1,5,5,0,-1,635,14
2044,0,-1,5,5,0,-1,641,14
2050,0,-1,5,5,0,-1,649,14
2025,0,-1,6,6,0,-1,300,14
2030,0,-1,6,6,0,-1,304,14
2035,0,-1,6,6,0,-1,308,14
2040,0,-1,6,6,0,-1,312,14
2044,0,-1,6,6,0,-1,316,14
2050,0,-1,6,6,0,-1,319,14
2025,0,-1,7,-1,0,-1,171,14
2030,0,-1,7,-1,0,-1,173,14
2035,0,-1,7,-1,0,-1,176,14
2040,0,-1,7,-1,0,-1,177,14
2044,0,-1,7,-1,0,-1,180,14
2050,0,-1,7,-1,0,-1,181,14
2025,0,-1,1,1,0,-1,1170,15
2030,0,-1,1,1,0,-1,1238,15
2035,0,-1,1,1,0,-1,1300,15
2040,0,-1,1,1,0,-1,1369,15
2044,0,-1,1,1,0,-1,1419,15
2050,0,-1,1,1,0,-1,1484,15
2025,0,-1,2,2,0,-1,2383,15
2030,0,-1,2,2,0,-1,2516,15
2035,0,-1,2,2,0,-1,2652,15
2040,0,-1,2,2,0,-1,2784,15
2044,0,-1,2,2,0,-1,2894,15
2050,0,-1,2,2,0,-1,3026,15
2025,0,-1,3,3,0,-1,1479,15
2030,0,-1,3,3,0,-1,1485,15
2035,0,-1,3,3,0,-1,1490,15
2040,0,-1,3,3,0,-1,1494,15
2044,0,-1,3,3,0,-1,1499,15
2050,0,-1,3,3,0,-1,1498,15
2025,0,-1,4,4,0,-1,1285,15
2030,0,-1,4,4,0,-1,1290,15
2035,0,-1,4,4,0,-1,1297,15
2040,0,-1,4,4,0,-1,1301,15
2044,0,-1,4,4,0,-1,1306,15
2050,0,-1,4,4,0,-1,1302,15
2025,0,-1,5,5,0,-1,648,15
2030,0,-1,5,5,0,-1,649,15
2035,0,-1,5,5,0,-1,653,15
2040,0,-1,5,5,0,-1,655,15
2044,0,-1,5,5,0,-1,657,15
2050,0,-1,5,5,0,-1,654,15
2025,0,-1,6,6,0,-1,324,15
2030,0,-1,6,6,0,-1,325,15
2035,0,-1,6,6,0,-1,326,15
2040,0,-1,6,6,0,-1,329,15
2044,0,-1,6,6,0,-1,329,15
2050,0,-1,6,6,0,-1,329,15
2025,0,-1,7,-1,0,-1,207,15
2030,0,-1,7,-1,0,-1,208,15
2035,0,-1,7,-1,0,-1,207,15
2040,0,-1,7,-1,0,-1,208,15
2044,0,-1,7,-1,0,-1,208,15
2050,0,-1,7,-1,0,-1,209,15
2025,0,-1,1,1,0,-1,956,16
2030,0,-1,1,1,0,-1,999,16
2035,0,-1,1,1,0,-1,1045,16
2040,0,-1,1,1,0,-1,1089,16
2044,0,-1,1,1,0,-1,1125,16
2050,0,-1,1,1,0,-1,1161,16
2025,0,-1,2,2,0,-1,2084,16
2030,0,-1,2,2,0,-1,2183,16
2035,0,-1,2,2,0,-1,2278,16
2040,0,-1,2,2,0,-1,2376,16
2044,0,-1,2,2,0,-1,2454,16
